position relative,comptage relatif,comptage
0.15000000000000002-0.25,0.12247226624405705,1932
0.25-0.35,0.10966719492868462,1730
0.75-0.8500000000000001,0.08031695721077654,1267
0.6499999999999999-0.75,0.08025356576862124,1266
0.95-1,0.05064976228209192,799
0.05-0.15000000000000002,0.13717908082408875,2164
0.35000000000000003-0.45,0.09870047543581617,1557
0.85-0.9500000000000001,0.07435816164817749,1173
0-0.05,0.0722662440570523,1140
0.5499999999999999-0.65,0.08526148969889065,1345
0.45-0.55,0.08887480190174327,1402
