Question ; frequence ; exact_match ; f1 ; pred_in_ans ; loss ; one_of_pred_in_one_of_ans ; inverted_size ; nb_preds ; nb_preds_differentes
 
What / Which NN[*]? ; 3976.0 ; 12.474849094567404 ; 17.877660587433514 ; 20.196177062374247 ; 56.916498993963785 ; 8.400402414486921 ; 20.063864095046092 ; 3.819416498993964 ; 3.6788229376257546
Where? ; 477.0 ; 12.368972746331236 ; 16.78294626407834 ; 12.78825995807128 ; 44.23480083857442 ; 4.40251572327044 ; 25.375011230332664 ; 4.044025157232705 ; 3.949685534591195
Other ; 1072.0 ; 6.809701492537314 ; 11.466617451856461 ; 31.436567164179106 ; 79.19776119402985 ; 7.742537313432836 ; 14.43139650643221 ; 2.8815298507462686 ; 2.75
Who? ; 1185.0 ; 13.839662447257384 ; 17.84520402241922 ; 8.185654008438819 ; 32.48945147679325 ; 1.6877637130801688 ; 26.130037470374333 ; 4.681012658227848 ; 4.50295358649789
What name / is called? ; 325.0 ; 20.0 ; 26.480042180042187 ; 12.0 ; 41.53846153846154 ; 1.8461538461538463 ; 24.191565493687836 ; 4.2153846153846155 ; 4.052307692307692
When / What year? ; 943.0 ; 8.907741251325557 ; 11.55825028041359 ; 9.225874867444327 ; 12.725344644750795 ; 62.3541887592789 ; 27.906788044610625 ; 4.724284199363733 ; 4.530222693531283
What VB[*]? ; 1367.0 ; 4.316020482809071 ; 9.304361379978218 ; 32.77249451353328 ; 87.8566203365033 ; 7.754206291148501 ; 12.55602034748061 ; 2.310899780541331 ; 2.2158010241404535
How much / many? ; 757.0 ; 16.90885072655218 ; 23.11242844928447 ; 14.663143989431969 ; 13.21003963011889 ; 57.59577278731836 ; 27.124038243904888 ; 5.16776750330251 ; 4.965653896961691
How? ; 468.0 ; 7.6923076923076925 ; 15.031263726776544 ; 29.273504273504273 ; 65.38461538461539 ; 32.26495726495727 ; 18.439003648365496 ; 3.1965811965811968 ; 3.1004273504273505
MOYENNE TOUT TYPE ; 10570.0 ; 11.012298959318827 ; 16.015238413261276 ; 20.056764427625353 ; 52.69631031220435 ; 16.50898770104068 ; 20.701716730430867 ; 3.7978240302743616 ; 3.6540208136234624
