nm_words,cosine,class
-1,0.5292271889902582,1
-2,0.6028517373795604,1
-3,0.6441104555376244,1
-4,0.6717386360810046,1
-5,0.687850405800077,1
-6,0.696556212233576,1
-7,0.6994859040427575,1
-8,0.6973020573031484,1
-9,0.6965040568014034,1
-10,0.6932765052436448,1
0,0.3578951845403407,1
1,0.511866472813168,1
2,0.5901268736431795,1
3,0.6406627860804828,1
4,0.6758361656382286,1
5,0.7018507469993733,1
6,0.7220432892259351,1
7,0.7381357625789461,1
8,0.7509898362397874,1
9,0.7609835916137426,1
10,0.7690416116477986,1
