taille,compte relatif,compte
1,0.3455176428954668,30267
2,0.2546946882955285,22311
3,0.14991038710487561,13132
4,0.07298028516307264,6393
5,0.04602792269318143,4032
6,0.0288701925821071,2529
7,0.021096131234374822,1848
8,0.015707941871482552,1376
9,0.011153095354969805,977
10,0.008938458201577643,783
11,0.00731743513053802,641
12,0.006175869587552369,541
13,0.005022888389136862,440
14,0.00447493692850375,392
15,0.003972648089590064,348
16,0.0028082512357447,246
17,0.002762588614025274,242
18,0.0025913537825774267,227
19,0.0018493361796367539,162
20,0.0017351796253381889,152
21,0.0015182821721709153,133
22,0.001381294307012637,121
23,0.0011415655429856506,100
24,0.0007420176029406728,65
25,0.0006963549812212468,61
26,0.00039954794004497767,35
27,0.0002739757303165561,24
28,0.00011415655429856505,10
29,3.4246966289569515e-05,3
30,6.849393257913903e-05,6
31,1.1415655429856505e-05,1
43,1.1415655429856505e-05,1
