,how,many,kilometers,is,warsaw,from,the,carpathian,mountains,?
warsaw,0.13025455176830292,0.1653265357017517,0.1405748724937439,0.09741193056106567,1.0,0.2396499514579773,0.23137180507183075,0.3337365984916687,0.11329389363527298,0.09769917279481888
lies,0.12851229310035706,0.11288461834192276,0.3171968162059784,0.38107678294181824,0.11553283035755157,0.1805601865053177,0.3383781313896179,0.32147249579429626,0.3254375159740448,0.14148172736167908
in,0.2601168751716614,0.41474202275276184,0.3013875186443329,0.5394441485404968,0.22642600536346436,0.4274188280105591,0.6662389636039734,0.21839137375354767,0.27267226576805115,0.20430970191955566
east-central,0.2161085605621338,0.2810036242008209,0.30680224299430847,0.301301509141922,0.2955106198787689,0.30365729331970215,0.3728971481323242,0.44959113001823425,0.3498070538043976,0.20919859409332275
poland,0.14947472512722015,0.1875315010547638,0.20943963527679443,0.13666775822639465,0.6352760195732117,0.20462825894355774,0.24871079623699188,0.41015055775642395,0.15737102925777435,0.14259830117225647
about,0.44264400005340576,0.3800397515296936,0.35618335008621216,0.3532065451145172,0.09913060814142227,0.3421173691749573,0.37995871901512146,0.11987555027008057,0.21396180987358093,0.302409827709198
300,-0.03424505144357681,0.010953327640891075,0.006762662902474403,-0.0613233856856823,0.06973382830619812,-0.04450348764657974,-0.07017405331134796,0.06543842703104019,0.0075652408413589,-0.06213558092713356
km,0.10687907040119171,0.10311309248209,0.7156697511672974,0.24258680641651154,0.10862851142883301,0.21550244092941284,0.21376769244670868,0.2715769410133362,0.3406659662723541,0.08180338144302368
(,0.1676948219537735,0.1455259770154953,0.1371249556541443,0.35393038392066956,0.1835584193468094,0.25806233286857605,0.33289089798927307,0.16008144617080688,0.14249426126480103,0.40561532974243164
190,-0.07855167984962463,-0.11555161327123642,-0.05551563948392868,-0.03477157652378082,0.018010227009654045,-0.14865367114543915,-0.08152423053979874,-0.019009677693247795,0.04346869885921478,-0.003447322640568018
mi,0.0639447420835495,0.09143856912851334,0.41710782051086426,0.17681920528411865,0.10596410930156708,0.19696539640426636,0.12998802959918976,0.16998139023780823,0.2291475385427475,0.10264865309000015
),0.17939934134483337,0.16602720320224762,0.16562522947788239,0.37732169032096863,0.19817118346691132,0.2672361731529236,0.3456730246543884,0.1652006059885025,0.16033703088760376,0.42300865054130554
from,0.22939439117908478,0.33099696040153503,0.23671995103359222,0.27355384826660156,0.2396499514579773,1.0,0.40150508284568787,0.16231632232666016,0.21533413231372833,0.19969791173934937
the,0.33890387415885925,0.4335206151008606,0.3189322352409363,0.5823672413825989,0.23137180507183075,0.40150508284568787,1.0,0.29205647110939026,0.27269288897514343,0.22068053483963013
carpathian,0.0769331157207489,0.10888514667749405,0.3091263473033905,0.23712043464183807,0.3337365984916687,0.16231632232666016,0.29205647110939026,1.0,0.4641340374946594,0.07924292981624603
