,what,did,he,do,with,wardenclyffe,?
eventually,0.28470873832702637,0.36719876527786255,0.3871252238750458,0.1971498727798462,0.32133352756500244,0.26842761039733887,0.13642115890979767
",",0.3087472915649414,0.3015086054801941,0.40251094102859497,0.3283645510673523,0.4120737314224243,0.41914570331573486,0.31091248989105225
he,0.3114890456199646,0.3292143940925598,1.0000001192092896,0.19599148631095886,0.2845253646373749,0.3606281876564026,0.2089974731206894
sold,0.16570822894573212,0.22639408707618713,0.21388459205627441,0.15132653713226318,0.2042074352502823,0.256481796503067,0.14943712949752808
wardenclyffe,0.24065987765789032,0.2182881236076355,0.3606281876564026,0.16262389719486237,0.27392032742500305,0.9999999403953552,0.22984455525875092
for,0.3017193675041199,0.318512886762619,0.4540175199508667,0.29510271549224854,0.39140474796295166,0.29435044527053833,0.264628142118454
$,0.24858909845352173,0.23203131556510925,0.13136541843414307,0.14754830300807953,0.18037788569927216,0.16956602036952972,0.2786129117012024
"20,000",0.1520158350467682,0.17574962973594666,0.19350899755954742,0.11360795050859451,0.16918499767780304,0.22172951698303223,0.10352851450443268
(,0.2411840260028839,0.18979617953300476,0.21137313544750214,0.24216170608997345,0.29503780603408813,0.2715226113796234,0.40561532974243164
$,0.24858909845352173,0.23203131556510925,0.13136541843414307,0.14754830300807953,0.18037788569927216,0.16956602036952972,0.2786129117012024
"472,500",-0.1319543719291687,-0.1315058320760727,0.04453513026237488,-0.11677946150302887,-0.09190299361944199,0.11764956265687943,0.0006275235209614038
in,0.30808621644973755,0.2593238651752472,0.41690486669540405,0.23402775824069977,0.4080928862094879,0.30227306485176086,0.20430970191955566
today,0.3814660608768463,0.30291810631752014,0.2874262034893036,0.3082462251186371,0.22647687792778015,0.2582411468029022,0.17338968813419342
's,0.02692362666130066,0.05069678649306297,0.024063590914011,-0.01994597539305687,-0.04624466598033905,-0.04186249524354935,-0.023395681753754616
dollars,0.2180599719285965,0.2074357569217682,0.17164233326911926,0.16681642830371857,0.14011862874031067,0.18126939237117767,0.21298730373382568
),0.26259949803352356,0.18584993481636047,0.24215729534626007,0.24460165202617645,0.3069596290588379,0.2757582664489746,0.42300865054130554
.,0.3567904531955719,0.35288307070732117,0.38061028718948364,0.3613996207714081,0.4446153938770294,0.3849335312843323,0.4130953550338745
