,how,many,people,belong,to,the,university,'s,board,of,trustees,?
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.27031847834587097,0.535392165184021,1.0,0.263973206281662,-0.01540423184633255,0.2871673107147217,0.733189046382904,0.2802223861217499,0.22068053483963013
board,0.14974001049995422,0.19080935418605804,0.2638312578201294,0.045088570564985275,0.20624859631061554,0.2871673107147217,0.21278244256973267,-0.025999367237091064,1.0000001192092896,0.23488809168338776,0.4285009205341339,0.1261475533246994
of,0.2480744868516922,0.37253960967063904,0.3251037895679474,0.2644003629684448,0.41548454761505127,0.733189046382904,0.30646374821662903,-0.03817026689648628,0.23488809168338776,1.0,0.3031838834285736,0.1826142966747284
trustees,0.16205668449401855,0.15768787264823914,0.18764229118824005,0.18913359940052032,0.19815737009048462,0.2802223861217499,0.3692660927772522,-0.0708838552236557,0.4285009205341339,0.3031838834285736,0.9999999403953552,0.12247486412525177
oversees,0.18424014747142792,0.2796473205089569,0.229599729180336,0.14560167491436005,0.2718123197555542,0.31797218322753906,0.25835758447647095,-0.01164573896676302,0.2776302695274353,0.38254740834236145,0.49143797159194946,0.12969982624053955
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.27031847834587097,0.535392165184021,1.0,0.263973206281662,-0.01540423184633255,0.2871673107147217,0.733189046382904,0.2802223861217499,0.22068053483963013
long-term,0.22739170491695404,0.3118199110031128,0.24767433106899261,0.2614441215991974,0.3287690579891205,0.3756130039691925,0.2547280192375183,0.053442806005477905,0.14850442111492157,0.341103732585907,0.27308034896850586,0.2383396476507187
development,0.2009134739637375,0.27117374539375305,0.15546298027038574,0.12235840409994125,0.27639102935791016,0.3362044394016266,0.19025695323944092,0.004789014346897602,0.2296416014432907,0.28700894117355347,0.22417916357517242,0.1211358830332756
and,0.33647966384887695,0.5296266674995422,0.3016039729118347,0.2474735528230667,0.48971283435821533,0.5171257257461548,0.2665814459323883,0.06895173341035843,0.24616685509681702,0.5116966962814331,0.258476585149765,0.20544172823429108
plans,0.28180965781211853,0.2358754724264145,0.17836248874664307,0.08367102593183517,0.367337167263031,0.30240729451179504,0.1878633052110672,0.036409471184015274,0.14593173563480377,0.2635323703289032,0.17372414469718933,0.13513131439685822
of,0.2480744868516922,0.37253960967063904,0.3251037895679474,0.2644003629684448,0.41548454761505127,0.733189046382904,0.30646374821662903,-0.03817026689648628,0.23488809168338776,1.0,0.3031838834285736,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.27031847834587097,0.535392165184021,1.0,0.263973206281662,-0.01540423184633255,0.2871673107147217,0.733189046382904,0.2802223861217499,0.22068053483963013
university,0.12992997467517853,0.19385361671447754,0.25475627183914185,0.10940403491258621,0.20192374289035797,0.263973206281662,1.0,-0.007441582623869181,0.21278244256973267,0.30646374821662903,0.3692660927772522,0.11887256056070328
and,0.33647966384887695,0.5296266674995422,0.3016039729118347,0.2474735528230667,0.48971283435821533,0.5171257257461548,0.2665814459323883,0.06895173341035843,0.24616685509681702,0.5116966962814331,0.258476585149765,0.20544172823429108
manages,0.2142697274684906,0.20175033807754517,0.20778116583824158,0.13226301968097687,0.32021740078926086,0.2700745761394501,0.1533876657485962,-0.03776712715625763,0.269426554441452,0.2322816550731659,0.27713412046432495,0.10891501605510712
fundraising,0.28641030192375183,0.3043123483657837,0.25898534059524536,0.08793319761753082,0.36934012174606323,0.3023386299610138,0.2356758415699005,0.03279602527618408,0.22615034878253937,0.23001651465892792,0.36580756306648254,0.20534715056419373
efforts,0.23529531061649323,0.31885913014411926,0.14800573885440826,0.07816550135612488,0.36228540539741516,0.26890742778778076,0.19684046506881714,0.11025857925415039,0.19261746108531952,0.23738951981067657,0.2495168298482895,0.16157089173793793
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.3347422182559967,0.44245919585227966,0.4933079481124878,0.3017033040523529,-0.0016132977325469255,0.25734269618988037,0.4946078956127167,0.24503383040428162,0.31091248989105225
