,was,the,skylab,assembled,on,earth,'s,surface,or,in,space,?
dubbed,0.3000064492225647,0.2979377508163452,0.19927963614463806,0.13413092494010925,0.22464123368263245,0.18256023526191711,-0.05134185776114464,0.13322608172893524,0.12929174304008484,0.22426356375217438,0.12794791162014008,0.14647041261196136
skylab,0.304561972618103,0.33710870146751404,0.9999998807907104,0.2881069779396057,0.29204991459846497,0.40659230947494507,0.001553671550936997,0.31424057483673096,0.2458643913269043,0.27669620513916016,0.47681427001953125,0.23833967745304108
",",0.45456063747406006,0.4933079481124878,0.29952821135520935,0.19421221315860748,0.49057599902153015,0.23186853528022766,-0.0016132977325469255,0.23000483214855194,0.3769497275352478,0.5201468467712402,0.2285580337047577,0.31091248989105225
it,0.4577186405658722,0.6251175999641418,0.2710142433643341,0.16488172113895416,0.4529881477355957,0.27391982078552246,0.06608816236257553,0.2949981689453125,0.36389440298080444,0.5130809545516968,0.1662190854549408,0.25732165575027466
was,1.0000001192092896,0.48711544275283813,0.304561972618103,0.268084317445755,0.3909217119216919,0.18661361932754517,0.008974763564765453,0.15540370345115662,0.2330796718597412,0.45514053106307983,0.14677780866622925,0.18412111699581146
constructed,0.2546897530555725,0.29105475544929504,0.2907310128211975,0.41197383403778076,0.22771170735359192,0.17767244577407837,0.01325368694961071,0.2146218866109848,0.23228590190410614,0.31212013959884644,0.202260822057724,0.12459525465965271
complete,0.13758507370948792,0.277624249458313,0.23501715064048767,0.21178776025772095,0.22802568972110748,0.17348459362983704,0.0903397724032402,0.11698359996080399,0.2276586890220642,0.2201821506023407,0.16865666210651398,0.11962060630321503
on,0.3909217119216919,0.5107308030128479,0.29204991459846497,0.23162181675434113,0.9999999403953552,0.20645220577716827,0.0026888418942689896,0.2674844264984131,0.2897229492664337,0.46853652596473694,0.15890881419181824,0.2714994251728058
the,0.48711544275283813,1.0,0.33710870146751404,0.2575589418411255,0.5107308030128479,0.2801888585090637,-0.01540423184633255,0.2555135488510132,0.4174870550632477,0.6662389636039734,0.24495907127857208,0.22068053483963013
ground,0.17532029747962952,0.25776049494743347,0.2452932447195053,0.18041279911994934,0.2408057302236557,0.3194352090358734,0.002188320504501462,0.42432868480682373,0.2636435925960541,0.20377106964588165,0.2075171321630478,0.11401822417974472
rather,0.23478160798549652,0.31983619928359985,0.19070515036582947,0.24503958225250244,0.2960607409477234,0.25817108154296875,0.08959644287824631,0.2988423705101013,0.5221653580665588,0.26646825671195984,0.2570410370826721,0.3053998053073883
than,0.1872616857290268,0.3227543234825134,0.24542738497257233,0.18398740887641907,0.2864885926246643,0.2436409294605255,0.0585811510682106,0.23491397500038147,0.5002588033676147,0.3270052373409271,0.20923641324043274,0.24917294085025787
in,0.45514053106307983,0.6662389636039734,0.27669620513916016,0.187361940741539,0.46853652596473694,0.18566735088825226,-0.037580832839012146,0.20246390998363495,0.3586423695087433,1.0,0.17648501694202423,0.20430970191955566
space,0.14677780866622925,0.24495907127857208,0.47681427001953125,0.18696703016757965,0.15890881419181824,0.3202928602695465,-0.1200559139251709,0.29940780997276306,0.28110602498054504,0.17648501694202423,1.0000001192092896,0.1885536164045334
",",0.45456063747406006,0.4933079481124878,0.29952821135520935,0.19421221315860748,0.49057599902153015,0.23186853528022766,-0.0016132977325469255,0.23000483214855194,0.3769497275352478,0.5201468467712402,0.2285580337047577,0.31091248989105225
and,0.3740963041782379,0.5171257257461548,0.27134448289871216,0.21196071803569794,0.4077630043029785,0.27524080872535706,0.06895173341035843,0.2626544237136841,0.4713204801082611,0.4954058527946472,0.22901733219623566,0.20544172823429108
