,what,was,the,goal,of,this,roman,disobedience,?
unarmed,0.2383277863264084,0.28365594148635864,0.23137632012367249,0.15256021916866302,0.254523903131485,0.22922267019748688,0.20336060225963593,0.4729841649532318,0.14515981078147888
jews,0.22131574153900146,0.1935933530330658,0.24901628494262695,0.18097816407680511,0.2207300066947937,0.2589765787124634,0.29794105887413025,0.40334731340408325,0.16730794310569763
gathered,0.25028154253959656,0.25376200675964355,0.3359522223472595,0.10966315865516663,0.3358455300331116,0.2578016221523285,0.2286403477191925,0.31318071484565735,0.14883534610271454
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2241991013288498,0.5696388483047485,0.45205554366111755,0.24986636638641357,0.3054615259170532,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,0.6274310946464539,0.2862859070301056,0.30963727831840515,0.22068053483963013
streets,0.11891741305589676,0.18835458159446716,0.2026284784078598,0.11300791800022125,0.18885038793087006,0.14466269314289093,0.17412284016609192,0.23159348964691162,0.0894271582365036
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.37094977498054504,0.41548454761505127,0.5759071707725525,0.24710409343242645,0.30665844678878784,0.29463258385658264
prevent,0.2723881006240845,0.1549692153930664,0.2841009497642517,0.2541092336177826,0.22669163346290588,0.35020363330841064,0.129167377948761,0.3227161467075348,0.2547389566898346
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,0.6274310946464539,0.2862859070301056,0.30963727831840515,0.22068053483963013
installation,0.21819424629211426,0.19239191710948944,0.2585393488407135,0.2116316705942154,0.19722063839435577,0.2892632484436035,0.15965227782726288,0.22277559340000153,0.2191753387451172
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.1838325709104538,1.0,0.45148900151252747,0.31028008460998535,0.31932318210601807,0.1826142966747284
pagan,0.18590450286865234,0.2171826809644699,0.19929873943328857,0.11281593143939972,0.2391178011894226,0.18885286152362823,0.41837289929389954,0.28836268186569214,0.16176795959472656
images,0.23456238210201263,0.12238597869873047,0.22232814133167267,0.16674579679965973,0.2139289528131485,0.2721690535545349,0.1253792941570282,0.18061617016792297,0.22502069175243378
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2241991013288498,0.5696388483047485,0.45205554366111755,0.24986636638641357,0.3054615259170532,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,0.6274310946464539,0.2862859070301056,0.30963727831840515,0.22068053483963013
temple,0.12890467047691345,0.23772695660591125,0.2202082872390747,0.07012176513671875,0.17421963810920715,0.20105807483196259,0.29791349172592163,0.2465192824602127,0.0926557183265686
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2241991013288498,0.5696388483047485,0.45205554366111755,0.24986636638641357,0.3054615259170532,0.20430970191955566
jerusalem,0.17886783182621002,0.20427283644676208,0.2364608198404312,0.11614391207695007,0.22197678685188293,0.19961154460906982,0.265135258436203,0.26490363478660583,0.14136314392089844
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.19919876754283905,0.5352458953857422,0.500583827495575,0.27629324793815613,0.2603943943977356,0.4130953550338745
