,who,was,the,first,quarterback,to,take,two,teams,to,more,than,one,super,bowl,?
peyton,0.2135157585144043,0.30385082960128784,0.2709864377975464,0.32774636149406433,0.4457186758518219,0.2003074735403061,0.1775118112564087,0.1428859382867813,0.22010014951229095,0.2003074735403061,0.11017455160617828,0.10710366815328598,0.15713365375995636,0.2683632969856262,0.2604644298553467,0.17519715428352356
manning,0.33436715602874756,0.2607507109642029,0.27058160305023193,0.28783273696899414,0.5449647903442383,0.24857525527477264,0.17110276222229004,0.1973157376050949,0.2626858949661255,0.24857525527477264,0.19816197454929352,0.15556462109088898,0.1945406049489975,0.30535250902175903,0.32417115569114685,0.15856626629829407
became,0.2624726891517639,0.6575068235397339,0.36325156688690186,0.37862223386764526,0.17462144792079926,0.20401327311992645,0.10897474735975266,0.230572909116745,0.16736291348934174,0.20401327311992645,0.22458474338054657,0.20325537025928497,0.3227209746837616,0.15664279460906982,0.1635434478521347,0.11374033987522125
the,0.3733934462070465,0.48711544275283813,1.0,0.49448907375335693,0.23757418990135193,0.535392165184021,0.31620436906814575,0.43858039379119873,0.3164927661418915,0.535392165184021,0.39758381247520447,0.3227543234825134,0.5514441132545471,0.21959073841571808,0.21576224267482758,0.22068053483963013
first,0.39065709710121155,0.5022147297859192,0.49448907375335693,1.0,0.12965546548366547,0.3792489171028137,0.29357022047042847,0.3794230818748474,0.2436947077512741,0.3792489171028137,0.2665303945541382,0.22692961990833282,0.4552372097969055,0.2717077434062958,0.20817767083644867,0.18701928853988647
quarterback,0.17410103976726532,0.24103644490242004,0.23757418990135193,0.12965546548366547,1.0000001192092896,0.17934949696063995,0.1090787872672081,0.2070576697587967,0.4060954749584198,0.17934949696063995,0.13828320801258087,0.1393069624900818,0.2033592313528061,0.28511252999305725,0.37160974740982056,0.13221268355846405
ever,0.362372487783432,0.3744584918022156,0.3474041819572449,0.4429802894592285,0.16781693696975708,0.33233755826950073,0.16335320472717285,0.2256580889225006,0.18791036307811737,0.33233755826950073,0.3291417956352234,0.3107531666755676,0.4513952434062958,0.26257312297821045,0.1696997582912445,0.3358461856842041
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.3792489171028137,0.17934949696063995,1.0,0.4075521230697632,0.3343428373336792,0.2634691894054413,1.0,0.47084665298461914,0.3192550539970398,0.4025384783744812,0.17783479392528534,0.16993016004562378,0.29463258385658264
lead,0.19455209374427795,0.1970783770084381,0.21995973587036133,0.16851212084293365,0.23164379596710205,0.23490607738494873,0.2899082899093628,0.20905518531799316,0.13099466264247894,0.23490607738494873,0.2169930785894394,0.15391311049461365,0.16738592088222504,0.13247919082641602,0.1691603809595108,0.14552436769008636
two,0.2791741192340851,0.27166637778282166,0.43858039379119873,0.3794230818748474,0.2070576697587967,0.3343428373336792,0.2678071856498718,1.0000001192092896,0.29386359453201294,0.3343428373336792,0.36959168314933777,0.37341010570526123,0.6288198232650757,0.19097526371479034,0.20622028410434723,0.19645625352859497
different,0.27202165126800537,0.16638538241386414,0.36412742733955383,0.3025437593460083,0.10479070246219635,0.3617510497570038,0.30317002534866333,0.48983854055404663,0.2530205547809601,0.3617510497570038,0.36376041173934937,0.3462667763233185,0.3770311772823334,0.15523937344551086,0.1472696214914322,0.24476227164268494
teams,0.23560982942581177,0.1698075383901596,0.3164927661418915,0.2436947077512741,0.4060954749584198,0.2634691894054413,0.21870219707489014,0.29386359453201294,1.0,0.2634691894054413,0.1844397336244583,0.181350976228714,0.30337628722190857,0.26333683729171753,0.2752957046031952,0.11150168627500534
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.3792489171028137,0.17934949696063995,1.0,0.4075521230697632,0.3343428373336792,0.2634691894054413,1.0,0.47084665298461914,0.3192550539970398,0.4025384783744812,0.17783479392528534,0.16993016004562378,0.29463258385658264
multiple,0.18654736876487732,0.150493785738945,0.20022359490394592,0.19396285712718964,0.1556387096643448,0.2663446366786957,0.16955965757369995,0.39468711614608765,0.15120524168014526,0.2663446366786957,0.2953476011753082,0.24183402955532074,0.2911873459815979,0.1904134303331375,0.07687632739543915,0.1591399908065796
super,0.1819351613521576,0.21420986950397491,0.21959073841571808,0.2717077434062958,0.28511252999305725,0.17783479392528534,0.1732010841369629,0.19097526371479034,0.26333683729171753,0.17783479392528534,0.1804535686969757,0.1716693788766861,0.21711376309394836,1.0000001192092896,0.4848237931728363,0.166326642036438
bowls,0.19806717336177826,0.14966177940368652,0.17019082605838776,0.1865311712026596,0.4219685196876526,0.15941321849822998,0.14228524267673492,0.23311547935009003,0.3996241092681885,0.15941321849822998,0.19933000206947327,0.1498817801475525,0.1688857227563858,0.3995929956436157,0.73409503698349,0.1849047988653183
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.23691914975643158,0.4645031690597534,0.3045158088207245,0.3524959683418274,0.23459066450595856,0.4645031690597534,0.4070230722427368,0.3594527542591095,0.4123194217681885,0.2757420241832733,0.21516893804073334,0.4130953550338745
