,what,do,some,civil,disobedient,people,feel,the,need,to,acknowledge,.
some,0.4491020441055298,0.4725562036037445,0.9999999403953552,0.1851816177368164,0.29663577675819397,0.40364471077919006,0.3743070363998413,0.4566698372364044,0.4877695143222809,0.4636894166469574,0.2578582167625427,0.40663889050483704
civil,0.15091551840305328,0.12413616478443146,0.1851816177368164,1.0,0.526839554309845,0.24625034630298615,0.13942588865756989,0.2477465271949768,0.12274336069822311,0.2019355595111847,0.20273710787296295,0.2541380822658539
disobedients,0.3241478204727173,0.30426225066185,0.369945228099823,0.5063242316246033,0.9415056705474854,0.33281001448631287,0.31464532017707825,0.34096023440361023,0.25926673412323,0.34340938925743103,0.36865460872650146,0.2842986583709717
feel,0.413962185382843,0.42619383335113525,0.3743070363998413,0.13942588865756989,0.28368717432022095,0.27050355076789856,1.0,0.264497846364975,0.42682427167892456,0.3145853281021118,0.2749762237071991,0.25462567806243896
it,0.45803478360176086,0.337066113948822,0.4438856542110443,0.17707513272762299,0.27312272787094116,0.3940119743347168,0.35434669256210327,0.6251175999641418,0.2636846899986267,0.513711154460907,0.1881425529718399,0.5593622326850891
is,0.28837618231773376,0.30895981192588806,0.3038453459739685,0.16941262781620026,0.2606341540813446,0.34254953265190125,0.2400403469800949,0.5823672413825989,0.25332385301589966,0.42745086550712585,0.14972347021102905,0.4569662809371948
incumbent,0.1728343665599823,0.12046366184949875,0.04213573411107063,0.16724735498428345,0.18002600967884064,0.13490517437458038,0.11965625733137131,0.225886732339859,0.14632834494113922,0.17370520532131195,0.21938298642635345,0.2664077579975128
upon,0.2878674864768982,0.15569667518138885,0.1958453357219696,0.11375705897808075,0.2536003887653351,0.12438259273767471,0.21787208318710327,0.28184252977371216,0.17212055623531342,0.2616317570209503,0.24230153858661652,0.18839296698570251
them,0.4994642734527588,0.4653012752532959,0.5948359370231628,0.15839408338069916,0.3410411775112152,0.4715516269207001,0.4445617198944092,0.4788833558559418,0.5133224129676819,0.5916602611541748,0.29889971017837524,0.39945515990257263
to,0.455847829580307,0.38876664638519287,0.4636894166469574,0.2019355595111847,0.3079164922237396,0.37275731563568115,0.3145853281021118,0.535392165184021,0.42094892263412476,1.0,0.3060748279094696,0.4645031690597534
accept,0.40259191393852234,0.3259050250053406,0.30749234557151794,0.07845130562782288,0.2887294590473175,0.16457383334636688,0.31465622782707214,0.22203093767166138,0.2873614728450775,0.3143050968647003,0.41543081402778625,0.25949081778526306
