,where,did,kublai,build,his,administration,'s,strength,?
after,0.31753596663475037,0.30330467224121094,0.31932923197746277,0.16333633661270142,0.41949746012687683,0.2429332435131073,-0.055672239512205124,0.15569017827510834,0.16608688235282898
strengthening,0.16837333142757416,0.26755475997924805,0.26176145672798157,0.30357247591018677,0.19188052415847778,0.21809569001197815,0.05365792661905289,0.7191586494445801,0.12396403402090073
his,0.29880598187446594,0.3546801507472992,0.3874718248844147,0.1726263165473938,0.9999998807907104,0.25429075956344604,0.047556519508361816,0.18588609993457794,0.18075084686279297
government,0.16681428253650665,0.2792121469974518,0.3054119348526001,0.2655961513519287,0.23050804436206818,0.5036112666130066,0.00033092309604398906,0.1430838257074356,0.18851417303085327
in,0.5344807505607605,0.2593238651752472,0.2070179283618927,0.26063278317451477,0.3598145842552185,0.25846216082572937,-0.037580832839012146,0.19223929941654205,0.20430970191955566
northern,0.2461140751838684,0.14611519873142242,0.2513188123703003,0.12765134871006012,0.17276960611343384,0.21511989831924438,-0.01687377691268921,0.10631327331066132,0.13149388134479523
china,0.2026863694190979,0.16472692787647247,0.4708422124385834,0.15744514763355255,0.12265565246343613,0.2236187756061554,0.023593749850988388,0.10117360949516296,0.18007943034172058
",",0.3149496018886566,0.3015086054801941,0.2569756805896759,0.22204548120498657,0.3378419280052185,0.25292783975601196,-0.0016132977325469255,0.20631180703639984,0.31091248989105225
kublai,0.2104915827512741,0.2875992953777313,0.9999999403953552,0.2144642025232315,0.3874718248844147,0.1919659525156021,-0.017352506518363953,0.23740795254707336,0.14562560617923737
pursued,0.14401395618915558,0.29057079553604126,0.2792928218841553,0.2233916074037552,0.41496628522872925,0.27070796489715576,0.04811590909957886,0.2252669483423233,0.09115990251302719
an,0.24824833869934082,0.22598257660865784,0.11958086490631104,0.09444206207990646,0.24025635421276093,0.19946907460689545,0.025255560874938965,0.16684062778949738,0.19793890416622162
expansionist,0.1622263491153717,0.1875743567943573,0.12797777354717255,0.23463639616966248,0.25641682744026184,0.22780375182628632,0.009326198138296604,0.16180087625980377,0.1814478039741516
policy,0.16572098433971405,0.2751549482345581,0.20935143530368805,0.1709987074136734,0.1798693835735321,0.46826016902923584,-0.07627277821302414,0.13367529213428497,0.30462446808815
in,0.5344807505607605,0.2593238651752472,0.2070179283618927,0.26063278317451477,0.3598145842552185,0.25846216082572937,-0.037580832839012146,0.19223929941654205,0.20430970191955566
line,0.22999835014343262,0.14681050181388855,0.13642346858978271,0.1878591775894165,0.18334023654460907,0.0961134135723114,-0.06894499808549881,0.10551697015762329,0.16271452605724335
with,0.4142743945121765,0.25472134351730347,0.1752355396747589,0.25872841477394104,0.33836179971694946,0.19140571355819702,-0.04624466598033905,0.18305708467960358,0.2433311939239502
the,0.5003893971443176,0.34736719727516174,0.32886171340942383,0.2602573335170746,0.4394008219242096,0.3083578944206238,-0.01540423184633255,0.22000056505203247,0.22068053483963013
tradition,0.17967429757118225,0.1859186738729477,0.24132856726646423,0.11301552504301071,0.3521461486816406,0.2095714807510376,0.06495670974254608,0.2088344544172287,0.15717756748199463
of,0.38066378235816956,0.2513895630836487,0.231930211186409,0.22630037367343903,0.38364991545677185,0.3326551914215088,-0.03817026689648628,0.2074614018201828,0.1826142966747284
mongol,0.12308114022016525,0.17534953355789185,0.633603572845459,0.21821624040603638,0.22059163451194763,0.17305888235569,-0.05976467952132225,0.14725875854492188,0.12849251925945282
and,0.43859338760375977,0.34479495882987976,0.25078991055488586,0.27539998292922974,0.4234102666378021,0.29629963636398315,0.06895173341035843,0.2987574636936188,0.20544172823429108
chinese,0.1990201771259308,0.19065357744693756,0.38022753596305847,0.14925873279571533,0.17512276768684387,0.15051263570785522,0.01673142798244953,0.13335652649402618,0.20843194425106049
imperialism,0.17089778184890747,0.23293417692184448,0.33646294474601746,0.12481413781642914,0.27580884099006653,0.248777374625206,0.00493214325979352,0.20306868851184845,0.14998586475849152
.,0.41390106081962585,0.35288307070732117,0.2311694622039795,0.275961309671402,0.3119256794452667,0.28375473618507385,-0.003708066651597619,0.22830985486507416,0.4130953550338745
