,which,tefu,article,states,that,no,quantitative,restrictions,can,be,placed,on,trade,?
because,0.5717213749885559,0.28110471367836,0.3242773413658142,0.2610361874103546,0.6503599286079407,0.32473182678222656,0.22117479145526886,0.3577493727207184,0.4189445674419403,0.5052481293678284,0.2854064106941223,0.33021900057792664,0.2523276209831238,0.2528740465641022
article,0.3171063959598541,0.17701049149036407,0.9999999403953552,0.244107186794281,0.41666144132614136,0.30246084928512573,0.2735513746738434,0.3175141513347626,0.3214142918586731,0.4253923296928406,0.25276029109954834,0.2953488528728485,0.19780291616916656,0.4948462247848511
30,0.07621006667613983,0.10735722631216049,-0.09687436372041702,0.01224336214363575,0.031269270926713943,-0.05676763504743576,-0.050846751779317856,0.008234940469264984,-0.03273005411028862,0.08530759066343307,0.08599098771810532,0.0936402678489685,0.047193743288517,-0.08261742442846298
clearly,0.46585381031036377,0.2770330607891083,0.51988685131073,0.26869094371795654,0.5425083041191101,0.38007375597953796,0.33910831809043884,0.3496663272380829,0.3719388544559479,0.46968451142311096,0.26373958587646484,0.2483416199684143,0.2008674293756485,0.40760257840156555
",",0.3658004403114319,0.3625771105289459,0.28605279326438904,0.3315127193927765,0.4137537479400635,0.29972612857818604,0.23551496863365173,0.2838693857192993,0.3139454126358032,0.39254459738731384,0.2528902292251587,0.49057599902153015,0.1945054978132248,0.31091248989105225
unconditionally,0.4131794571876526,0.16831468045711517,0.1678384691476822,0.24211770296096802,0.39595940709114075,0.23397311568260193,0.31781837344169617,0.3678072690963745,0.3332735598087311,0.41006994247436523,0.23230929672718048,0.3033261001110077,0.19116126000881195,0.1780160367488861
and,0.506277859210968,0.36500850319862366,0.23647621273994446,0.2974761426448822,0.4731321930885315,0.25880882143974304,0.25455793738365173,0.2769484221935272,0.3675691485404968,0.41766801476478577,0.26623862981796265,0.4077630043029785,0.2510223686695099,0.20544172823429108
immediately,0.36695992946624756,0.2751283645629883,0.2069435864686966,0.23102205991744995,0.4156574308872223,0.28591951727867126,0.10246003419160843,0.3263547718524933,0.2722228467464447,0.3723330795764923,0.3282357156276703,0.27846747636795044,0.13210773468017578,0.21004259586334229
stated,0.2548240125179291,0.27578046917915344,0.3551636338233948,0.32536086440086365,0.48625776171684265,0.30033501982688904,0.27709120512008667,0.3619910776615143,0.20671573281288147,0.2993191182613373,0.23156580328941345,0.3053775131702423,0.19273093342781067,0.24280361831188202
that,0.6894589066505432,0.33408641815185547,0.41666144132614136,0.291576623916626,1.0,0.41830796003341675,0.3228165805339813,0.39437928795814514,0.4522190988063812,0.6036020517349243,0.31709378957748413,0.42569106817245483,0.20906251668930054,0.32716336846351624
