,what,early,greek,wrote,about,experiments,on,air,and,combustion,?
one,0.376489520072937,0.2256891131401062,0.2054377943277359,0.2446286678314209,0.35568177700042725,0.20502795279026031,0.3601475656032562,0.15920887887477875,0.42438167333602905,0.26141437888145447,0.2673267424106598
of,0.33290785551071167,0.30937549471855164,0.2256247103214264,0.30241408944129944,0.40939709544181824,0.16935081779956818,0.3966929316520691,0.24196814000606537,0.5116966962814331,0.25126782059669495,0.1826142966747284
the,0.42745697498321533,0.34442198276519775,0.23564283549785614,0.2426944375038147,0.37995871901512146,0.21008943021297455,0.5107308030128479,0.2877824306488037,0.5171257257461548,0.2447446882724762,0.22068053483963013
first,0.28086137771606445,0.4007106125354767,0.20787693560123444,0.26172947883605957,0.23546195030212402,0.2777732312679291,0.3120559751987457,0.1670549213886261,0.3167642652988434,0.22765444219112396,0.18701928853988647
known,0.20381177961826324,0.2710604667663574,0.18097802996635437,0.28184932470321655,0.25154873728752136,0.17601940035820007,0.19541868567466736,0.0812067911028862,0.3468935489654541,0.21532917022705078,0.18314571678638458
experiments,0.3106561601161957,0.2604406177997589,0.10514771193265915,0.2600495219230652,0.23172733187675476,0.9999998807907104,0.2562560439109802,0.18661102652549744,0.3053898811340332,0.3264664113521576,0.14564716815948486
on,0.34226128458976746,0.2426261156797409,0.12755481898784637,0.23949672281742096,0.322975218296051,0.2562560439109802,0.9999999403953552,0.20020021498203278,0.4077630043029785,0.1549367755651474,0.2714994251728058
the,0.42745697498321533,0.34442198276519775,0.23564283549785614,0.2426944375038147,0.37995871901512146,0.21008943021297455,0.5107308030128479,0.2877824306488037,0.5171257257461548,0.2447446882724762,0.22068053483963013
relationship,0.24358563125133514,0.22069108486175537,0.13860338926315308,0.18576860427856445,0.2497984617948532,0.2128877341747284,0.13926656544208527,0.12736861407756805,0.3086830675601959,0.18390806019306183,0.11361731588840485
between,0.2462156116962433,0.2502211034297943,0.13656750321388245,0.15972647070884705,0.38609597086906433,0.17848534882068634,0.3335416913032532,0.18236064910888672,0.40645647048950195,0.18981648981571198,0.12887074053287506
combustion,0.2678600549697876,0.23172380030155182,0.15792231261730194,0.2002059668302536,0.1554778516292572,0.3264664113521576,0.1549367755651474,0.3806820511817932,0.21818570792675018,1.0,0.2177530825138092
and,0.31309178471565247,0.29847630858421326,0.23151937127113342,0.2975862920284271,0.3875081241130829,0.3053898811340332,0.4077630043029785,0.2508046329021454,1.0,0.21818570792675018,0.20544172823429108
air,0.10361403971910477,0.13482095301151276,0.139082133769989,0.09828071296215057,0.1370072364807129,0.18661102652549744,0.20020021498203278,1.0000001192092896,0.2508046329021454,0.3806820511817932,0.1491677612066269
was,0.22111038863658905,0.4148794412612915,0.191945880651474,0.40092042088508606,0.2577359974384308,0.24334195256233215,0.3909217119216919,0.18898457288742065,0.3740963041782379,0.24947713315486908,0.18412111699581146
