,when,was,it,discovered,that,prime,numbers,could,applied,to,the,creation,of,public,key,cryptography,algorithms,?
however,0.5574322938919067,0.37327632308006287,0.467002272605896,0.3223644196987152,0.6336373090744019,0.16994822025299072,0.37683191895484924,0.48913729190826416,0.3413068652153015,0.5474119186401367,0.49814513325691223,0.2432139813899994,0.3800618350505829,0.23190490901470184,0.2368580549955368,0.2189367264509201,0.27350643277168274,0.2152075469493866
",",0.36674630641937256,0.45456063747406006,0.48329564929008484,0.26185235381126404,0.4137537479400635,0.2565026581287384,0.26479464769363403,0.27399855852127075,0.28330111503601074,0.44245919585227966,0.4933079481124878,0.24387513101100922,0.4946078956127167,0.2588968276977539,0.20467913150787354,0.19954098761081696,0.22988320887088776,0.31091248989105225
this,0.4959332048892975,0.3638818562030792,0.6107783317565918,0.26568084955215454,0.6909449696540833,0.17067231237888336,0.30999889969825745,0.4042564332485199,0.30083167552948,0.5759071707725525,0.6274310946464539,0.34056568145751953,0.45148900151252747,0.22025765478610992,0.266645222902298,0.26082471013069153,0.26286211609840393,0.3155723512172699
vision,0.19700130820274353,0.18074534833431244,0.21080416440963745,0.14980950951576233,0.29519081115722656,0.08646227419376373,0.06667236238718033,0.19057659804821014,0.167959064245224,0.23618966341018677,0.21418730914592743,0.25314322113990784,0.23320873081684113,0.1758369356393814,0.09116741269826889,0.19226709008216858,0.1610366255044937,0.15763504803180695
was,0.37326499819755554,1.0000001192092896,0.4577186405658722,0.3177400529384613,0.33670201897621155,0.21048103272914886,0.13953587412834167,0.39896807074546814,0.22533445060253143,0.3636345863342285,0.48711544275283813,0.26162147521972656,0.4069072902202606,0.2513592839241028,0.15157482028007507,0.15765734016895294,0.154531329870224,0.18412111699581146
shattered,0.24616631865501404,0.258310467004776,0.2546490728855133,0.30969128012657166,0.31859591603279114,0.044084545224905014,0.0982266217470169,0.2721693813800812,0.17323805391788483,0.17528675496578217,0.3138437569141388,0.14658847451210022,0.2591687738895416,0.10471655428409576,0.12472737580537796,0.055016353726387024,0.01522229053080082,0.14017213881015778
in,0.4431333839893341,0.45514053106307983,0.5130809545516968,0.2801778018474579,0.435920387506485,0.18097394704818726,0.23087690770626068,0.29357993602752686,0.2475845366716385,0.45010748505592346,0.6662389636039734,0.22394786775112152,0.5696388483047485,0.29074716567993164,0.21450091898441315,0.14669755101203918,0.19189399480819702,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,0.6251175999641418,0.27493247389793396,0.5473989248275757,0.19960100948810577,0.293011337518692,0.35393214225769043,0.22842662036418915,0.535392165184021,1.0,0.34625571966171265,0.733189046382904,0.22857438027858734,0.2260027974843979,0.15003959834575653,0.167828768491745,0.22068053483963013
1970s,0.011553144082427025,0.012108612805604935,-0.011373424902558327,0.039385102689266205,0.051623061299324036,0.02337092161178589,-0.046591874212026596,0.0771932303905487,0.071489118039608,0.06756533682346344,0.004102230537682772,-0.05874258652329445,0.060115184634923935,-0.07263072580099106,-0.11042147129774094,-0.03180840611457825,-0.07196976244449615,0.03861190751194954
",",0.36674630641937256,0.45456063747406006,0.48329564929008484,0.26185235381126404,0.4137537479400635,0.2565026581287384,0.26479464769363403,0.27399855852127075,0.28330111503601074,0.44245919585227966,0.4933079481124878,0.24387513101100922,0.4946078956127167,0.2588968276977539,0.20467913150787354,0.19954098761081696,0.22988320887088776,0.31091248989105225
