,missing,self,desribes,cells,that,only,have,small,amounts,of,what,cell-surface,marker,?
this,0.2162148654460907,0.26513537764549255,0.2678256034851074,0.239293172955513,0.6909449696540833,0.544731855392456,0.4660032093524933,0.3319980800151825,0.33665522933006287,0.45148900151252747,0.5489566326141357,0.3177967071533203,0.2853439450263977,0.3155723512172699
term,0.11197744309902191,0.11218005418777466,0.22219137847423553,0.16468550264835358,0.2833994925022125,0.25569453835487366,0.24443839490413666,0.16963954269886017,0.1797953099012375,0.26047757267951965,0.25282326340675354,0.2198401242494583,0.1772059202194214,0.1901002675294876
describes,0.18346408009529114,0.19604672491550446,0.5164958834648132,0.16140393912792206,0.3241453468799591,0.23982858657836914,0.22576794028282166,0.1838953197002411,0.16440899670124054,0.33623746037483215,0.28796884417533875,0.19581159949302673,0.16942958533763885,0.13134142756462097
cells,0.2214394509792328,0.17783845961093903,0.16164718568325043,1.0,0.2709589898586273,0.2781037986278534,0.294906347990036,0.21213430166244507,0.2805560231208801,0.21305565536022186,0.1758001297712326,0.5907008647918701,0.26639634370803833,0.1898086667060852
with,0.2869752049446106,0.13229002058506012,0.28838133811950684,0.2187740057706833,0.4154358208179474,0.367427259683609,0.48046383261680603,0.28140774369239807,0.2953418791294098,0.41827285289764404,0.2464839518070221,0.2600767910480499,0.17142756283283234,0.2433311939239502
low,0.06952259689569473,0.200308695435524,0.1751643866300583,0.19013451039791107,0.2722960412502289,0.2597365379333496,0.2958303987979889,0.30673879384994507,0.35287657380104065,0.27171993255615234,0.20743566751480103,0.28990334272384644,0.1521383374929428,0.10658930987119675
levels,0.1402824968099594,0.13030898571014404,0.16684432327747345,0.25610119104385376,0.27539384365081787,0.2902642786502838,0.37333425879478455,0.17579111456871033,0.414587140083313,0.23668165504932404,0.21641245484352112,0.294127881526947,0.2112373411655426,0.1541307419538498
of,0.23175521194934845,0.16502705216407776,0.3221217095851898,0.21305565536022186,0.41498205065727234,0.49632513523101807,0.3802283704280853,0.353353351354599,0.25878721475601196,1.0,0.33290785551071167,0.24926960468292236,0.21715079247951508,0.1826142966747284
a,0.25094693899154663,0.15396670997142792,0.31737470626831055,0.2297232300043106,0.47537946701049805,0.47549712657928467,0.338716596364975,0.41262131929397583,0.3184053301811218,0.5052502155303955,0.3320399522781372,0.270973801612854,0.2895415127277374,0.23916715383529663
cell-surface,0.20851373672485352,0.20428502559661865,0.21148370206356049,0.5907008647918701,0.334831178188324,0.2782849073410034,0.2872866094112396,0.2857022285461426,0.3270608186721802,0.24926960468292236,0.26460617780685425,1.0,0.3016008734703064,0.2609541714191437
