,disruptions,in,sleep,can,lead,to,increase,in,what,chronic,conditions,?
as,0.2554393708705902,0.3887844979763031,0.16541141271591187,0.3245031237602234,0.2644319534301758,0.42092081904411316,0.24019303917884827,0.3887844979763031,0.31749409437179565,0.1976379156112671,0.23607788980007172,0.27043893933296204
a,0.27009886503219604,0.539380669593811,0.1731252670288086,0.3915780484676361,0.20661775767803192,0.45503583550453186,0.24428929388523102,0.539380669593811,0.3320399522781372,0.22024551033973694,0.24847128987312317,0.23916715383529663
result,0.279968798160553,0.25670310854911804,0.1238287016749382,0.2741678059101105,0.19438086450099945,0.23653174936771393,0.322893887758255,0.25670310854911804,0.19945499300956726,0.2744291126728058,0.36570852994918823,0.17218433320522308
",",0.27897071838378906,0.5201468467712402,0.22850069403648376,0.3139454126358032,0.2561914026737213,0.44245919585227966,0.20005576312541962,0.5201468467712402,0.3087472915649414,0.2538118362426758,0.17239321768283844,0.31091248989105225
these,0.37480947375297546,0.3791837692260742,0.2428281158208847,0.4833051562309265,0.16367895901203156,0.46852558851242065,0.36185070872306824,0.3791837692260742,0.4164220690727234,0.22064253687858582,0.3950885832309723,0.2571668326854706
disruptions,0.9999998807907104,0.2477230578660965,0.27234500646591187,0.3427957594394684,0.21852192282676697,0.3181794583797455,0.33032137155532837,0.2477230578660965,0.3280528783798218,0.25943320989608765,0.362998902797699,0.2949046194553375
can,0.3427957594394684,0.26527702808380127,0.22451621294021606,1.0,0.21390347182750702,0.4979398250579834,0.30042919516563416,0.26527702808380127,0.34502777457237244,0.3074479401111603,0.31035202741622925,0.3226337134838104
lead,0.21852192282676697,0.2055644989013672,0.15416118502616882,0.21390347182750702,0.9999998807907104,0.23490607738494873,0.22923265397548676,0.2055644989013672,0.19642074406147003,0.2642230689525604,0.15859615802764893,0.14552436769008636
to,0.3181794583797455,0.45010748505592346,0.22335325181484222,0.4979398250579834,0.23490607738494873,1.0,0.3378143310546875,0.45010748505592346,0.455847829580307,0.21185684204101562,0.2756218910217285,0.29463258385658264
an,0.16438402235507965,0.2605783939361572,0.10238473862409592,0.23671309649944305,0.2059066742658615,0.3138085603713989,0.22955887019634247,0.2605783939361572,0.2821882665157318,0.18583433330059052,0.1616596281528473,0.19793890416622162
increase,0.33032137155532837,0.25893163681030273,0.20222777128219604,0.30042919516563416,0.22923265397548676,0.3378143310546875,1.0,0.25893163681030273,0.21153631806373596,0.27230942249298096,0.32800379395484924,0.11119163036346436
in,0.2477230578660965,1.0,0.23918524384498596,0.26527702808380127,0.2055644989013672,0.45010748505592346,0.25893163681030273,1.0,0.30808621644973755,0.23265354335308075,0.2580132484436035,0.20430970191955566
chronic,0.25943320989608765,0.23265354335308075,0.3343579173088074,0.3074479401111603,0.2642230689525604,0.21185684204101562,0.27230942249298096,0.23265354335308075,0.24245266616344452,1.0,0.34542596340179443,0.2098122537136078
conditions,0.362998902797699,0.2580132484436035,0.2542126476764679,0.31035202741622925,0.15859615802764893,0.2756218910217285,0.32800379395484924,0.2580132484436035,0.27960067987442017,0.34542596340179443,1.0,0.17021824419498444
such,0.33489400148391724,0.2704046070575714,0.1636076718568802,0.396209716796875,0.20387478172779083,0.2871878743171692,0.2946314811706543,0.2704046070575714,0.23989605903625488,0.16451649367809296,0.3232220411300659,0.17851735651493073
as,0.2554393708705902,0.3887844979763031,0.16541141271591187,0.3245031237602234,0.2644319534301758,0.42092081904411316,0.24019303917884827,0.3887844979763031,0.31749409437179565,0.1976379156112671,0.23607788980007172,0.27043893933296204
heart,0.17528969049453735,0.2078341841697693,0.2892669439315796,0.1313590258359909,0.1871214061975479,0.2012307196855545,0.20287634432315826,0.2078341841697693,0.18515849113464355,0.30567482113838196,0.13068830966949463,0.11825142055749893
disease,0.22843137383460999,0.2769028842449188,0.27762383222579956,0.20342902839183807,0.14641854166984558,0.261801153421402,0.2742316424846649,0.2769028842449188,0.2391042411327362,0.49464571475982666,0.3018130958080292,0.16159942746162415
",",0.27897071838378906,0.5201468467712402,0.22850069403648376,0.3139454126358032,0.2561914026737213,0.44245919585227966,0.20005576312541962,0.5201468467712402,0.3087472915649414,0.2538118362426758,0.17239321768283844,0.31091248989105225
chronic,0.25943320989608765,0.23265354335308075,0.3343579173088074,0.3074479401111603,0.2642230689525604,0.21185684204101562,0.27230942249298096,0.23265354335308075,0.24245266616344452,1.0,0.34542596340179443,0.2098122537136078
pain,0.28904998302459717,0.17900705337524414,0.38801446557044983,0.2997695207595825,0.2821175754070282,0.2246078997850418,0.24851131439208984,0.17900705337524414,0.2744910418987274,0.44017818570137024,0.3281228542327881,0.2135392427444458
",",0.27897071838378906,0.5201468467712402,0.22850069403648376,0.3139454126358032,0.2561914026737213,0.44245919585227966,0.20005576312541962,0.5201468467712402,0.3087472915649414,0.2538118362426758,0.17239321768283844,0.31091248989105225
and,0.2761043906211853,0.4954058527946472,0.2224324643611908,0.3675691485404968,0.31077226996421814,0.48971283435821533,0.2751924991607666,0.4954058527946472,0.31309178471565247,0.22001348435878754,0.252461701631546,0.20544172823429108
asthma,0.306603342294693,0.15612046420574188,0.3764336407184601,0.27474963665008545,0.18703651428222656,0.2256535440683365,0.3226967453956604,0.15612046420574188,0.20384249091148376,0.49219176173210144,0.2960534989833832,0.1836840808391571
.,0.24645662307739258,0.5591574311256409,0.25573426485061646,0.35783761739730835,0.2305188626050949,0.4645031690597534,0.24619564414024353,0.5591574311256409,0.3567904531955719,0.25697025656700134,0.17719176411628723,0.4130953550338745
