,what,was,the,name,of,the,other,hd,channel,virgin,media,could,carry,in,the,future,?
virgin,0.1343110352754593,0.21603500843048096,0.21732187271118164,0.18490254878997803,0.1805724799633026,0.21732187271118164,0.17178043723106384,0.14707119762897491,0.19586266577243805,1.0000001192092896,0.2961137890815735,0.12688735127449036,0.1748260259628296,0.1495865285396576,0.21732187271118164,0.14447590708732605,0.11987020075321198
media,0.18292108178138733,0.17841780185699463,0.19221965968608856,0.16365878283977509,0.19700391590595245,0.19221965968608856,0.27642714977264404,0.2660827338695526,0.2604137361049652,0.2961137890815735,0.9999999403953552,0.16612838208675385,0.13948692381381989,0.19773486256599426,0.19221965968608856,0.2133256047964096,0.1571006178855896
has,0.20338068902492523,0.40313825011253357,0.4177538752555847,0.2698039710521698,0.3909035325050354,0.4177538752555847,0.3162766396999359,0.14529624581336975,0.2038687914609909,0.16956612467765808,0.22855450212955475,0.30405887961387634,0.16321200132369995,0.4173259735107422,0.4177538752555847,0.20028120279312134,0.15994466841220856
claimed,0.2667301297187805,0.32895320653915405,0.2761930227279663,0.16558480262756348,0.25888603925704956,0.2761930227279663,0.18366870284080505,0.08366666734218597,0.21144098043441772,0.14999596774578094,0.21517318487167358,0.2930314242839813,0.10499115288257599,0.21382014453411102,0.2761930227279663,0.1453799158334732,0.2083493024110794
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.27224332094192505,0.41498205065727234,0.5473989248275757,0.5570666193962097,0.13209088146686554,0.20735839009284973,0.20092211663722992,0.2675379812717438,0.5584503412246704,0.2923817038536072,0.435920387506485,0.5473989248275757,0.31481194496154785,0.32716336846351624
other,0.341873437166214,0.14651623368263245,0.44152235984802246,0.20388714969158173,0.38583824038505554,0.44152235984802246,0.9999999403953552,0.16528619825839996,0.18978659808635712,0.17178043723106384,0.27642714977264404,0.36747515201568604,0.2943214774131775,0.39989137649536133,0.44152235984802246,0.19983690977096558,0.24682199954986572
hd,0.15220552682876587,0.1134820282459259,0.19996047019958496,0.11664631962776184,0.1299077272415161,0.19996047019958496,0.16528619825839996,0.9999998807907104,0.4127618968486786,0.14707119762897491,0.2660827338695526,0.16383351385593414,0.15190386772155762,0.16095560789108276,0.19996047019958496,0.17680446803569794,0.1705414354801178
channels,0.1923084557056427,0.11888814717531204,0.27277594804763794,0.12248557806015015,0.17560617625713348,0.27277594804763794,0.2746264636516571,0.3962539732456207,0.8352546095848083,0.18653205037117004,0.27351927757263184,0.2017042636871338,0.2736532986164093,0.19040870666503906,0.27277594804763794,0.12180530279874802,0.19657258689403534
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.1580192744731903,0.34038281440734863,0.3906462490558624,0.4041554927825928,0.07453250885009766,0.11752215772867203,0.1581590473651886,0.13317883014678955,0.40738195180892944,0.2568962872028351,0.3815755248069763,0.3906462490558624,0.17748147249221802,0.17890112102031708
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.1001104861497879,0.06780257821083069,0.029072100296616554,0.10245004296302795,-0.07640330493450165,-0.022615401074290276,-0.007404382340610027,-0.11658452451229095,0.07445607334375381,0.04860648885369301,0.04765888676047325,0.029072100296616554,-0.029933346435427666,0.0685480609536171
locked,0.262077271938324,0.19256801903247833,0.25925248861312866,0.18404437601566315,0.1675419807434082,0.25925248861312866,0.25790056586265564,0.14236946403980255,0.20511513948440552,0.11229506134986877,0.11555846035480499,0.30127111077308655,0.18738789856433868,0.15160386264324188,0.25925248861312866,0.1331295669078827,0.22203628718852997
