,who,fought,in,the,french,and,indian,war,?
the,0.3733934462070465,0.30367159843444824,0.6662389636039734,1.0,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.22068053483963013
war,0.24286115169525146,0.5800250768661499,0.29904094338417053,0.366199791431427,0.2536753714084625,0.29695844650268555,0.23471178114414215,1.0000001192092896,0.15510529279708862
was,0.3318818509578705,0.3444228172302246,0.45514053106307983,0.48711544275283813,0.2523815333843231,0.3740963041782379,0.23096419870853424,0.3560331463813782,0.18412111699581146
fought,0.26828768849372864,1.0000001192092896,0.27511686086654663,0.30367159843444824,0.1820748746395111,0.26526638865470886,0.19488900899887085,0.5800250768661499,0.15288178622722626
between,0.20718061923980713,0.30783408880233765,0.41100412607192993,0.39067012071609497,0.14514502882957458,0.40645647048950195,0.15996702015399933,0.2612598240375519,0.12887074053287506
the,0.3733934462070465,0.30367159843444824,0.6662389636039734,1.0,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.22068053483963013
colonies,0.20463168621063232,0.33599746227264404,0.28602269291877747,0.30451729893684387,0.20400510728359222,0.311396062374115,0.2556660771369934,0.35548219084739685,0.07886616140604019
of,0.2827862501144409,0.26073968410491943,0.5696388483047485,0.733189046382904,0.19450366497039795,0.5116966962814331,0.24303589761257172,0.31680163741111755,0.1826142966747284
british,0.2666113078594208,0.24836450815200806,0.23084034025669098,0.28973397612571716,0.43574923276901245,0.325880765914917,0.40101948380470276,0.3060368299484253,0.09711728990077972
america,0.1830417811870575,0.1668793112039566,0.3098583221435547,0.37090015411376953,0.15473008155822754,0.2647855281829834,0.1831231713294983,0.23212303221225739,0.19333907961845398
and,0.41279885172843933,0.26526638865470886,0.4954058527946472,0.5171257257461548,0.32751965522766113,1.0,0.24078236520290375,0.29695844650268555,0.20544172823429108
new,0.2378052920103073,0.1920851171016693,0.3758552670478821,0.3845241069793701,0.1977054476737976,0.31402453780174255,0.14793221652507782,0.18623678386211395,0.14782847464084625
france,0.18489117920398712,0.21981622278690338,0.3812309503555298,0.35517507791519165,0.5492131114006042,0.2925812005996704,0.1593049019575119,0.2819103002548218,0.15069349110126495
",",0.3365725874900818,0.2973159849643707,0.5201468467712402,0.4933079481124878,0.28806620836257935,0.6633074283599854,0.2407594621181488,0.2671184241771698,0.31091248989105225
with,0.3282766342163086,0.24431750178337097,0.4080928862094879,0.4223487675189972,0.1637353003025055,0.5477725267410278,0.16460631787776947,0.20580904185771942,0.2433311939239502
both,0.31663915514945984,0.27016258239746094,0.3960166871547699,0.4931981563568115,0.25422075390815735,0.5503310561180115,0.18581083416938782,0.2750868797302246,0.19455738365650177
sides,0.153273805975914,0.32801055908203125,0.2717741131782532,0.3694373369216919,0.2251926213502884,0.330885112285614,0.13920778036117554,0.2669115364551544,0.09230148047208786
supported,0.22602812945842743,0.30344265699386597,0.22075232863426208,0.27276676893234253,0.14947375655174255,0.3113573491573334,0.12638303637504578,0.227574422955513,0.11593948304653168
by,0.39727845788002014,0.1979389786720276,0.370934396982193,0.4408751428127289,0.23343317210674286,0.4289871156215668,0.14617662131786346,0.18974854052066803,0.17966607213020325
military,0.28924500942230225,0.37530767917633057,0.2402431070804596,0.2290858030319214,0.23023447394371033,0.2530125379562378,0.23858776688575745,0.46499648690223694,0.1890317052602768
units,0.12362533062696457,0.21788622438907623,0.24701444804668427,0.2691343426704407,0.14672450721263885,0.2126137614250183,0.043920911848545074,0.23021908104419708,0.089388407766819
from,0.27839982509613037,0.21238359808921814,0.4274188280105591,0.40150508284568787,0.19660584628582,0.3601827025413513,0.17991270124912262,0.1811102032661438,0.19969791173934937
their,0.3767721951007843,0.19416867196559906,0.34976133704185486,0.516537070274353,0.18787698447704315,0.45114588737487793,0.14658136665821075,0.2163475602865219,0.1898253709077835
parent,0.22883307933807373,0.07041757553815842,0.15339559316635132,0.2354632169008255,0.15844760835170746,0.2105613499879837,0.018556011840701103,0.06137232854962349,0.19855059683322906
countries,0.3002627491950989,0.2580808997154236,0.3027990758419037,0.33290645480155945,0.2685333788394928,0.37200918793678284,0.20040693879127502,0.2999389171600342,0.15128466486930847
of,0.2827862501144409,0.26073968410491943,0.5696388483047485,0.733189046382904,0.19450366497039795,0.5116966962814331,0.24303589761257172,0.31680163741111755,0.1826142966747284
great,0.24061277508735657,0.26658371090888977,0.23348836600780487,0.2822027802467346,0.11468937993049622,0.2591964602470398,0.2078254222869873,0.2144670933485031,0.13135133683681488
britain,0.2346068173646927,0.29574406147003174,0.26246872544288635,0.29784059524536133,0.26548969745635986,0.3187123239040375,0.20580832660198212,0.33082640171051025,0.1268460750579834
and,0.41279885172843933,0.26526638865470886,0.4954058527946472,0.5171257257461548,0.32751965522766113,1.0,0.24078236520290375,0.29695844650268555,0.20544172823429108
france,0.18489117920398712,0.21981622278690338,0.3812309503555298,0.35517507791519165,0.5492131114006042,0.2925812005996704,0.1593049019575119,0.2819103002548218,0.15069349110126495
",",0.3365725874900818,0.2973159849643707,0.5201468467712402,0.4933079481124878,0.28806620836257935,0.6633074283599854,0.2407594621181488,0.2671184241771698,0.31091248989105225
as,0.3923053741455078,0.22143861651420593,0.3887844979763031,0.48381632566452026,0.20159029960632324,0.49487000703811646,0.21542061865329742,0.24018222093582153,0.27043893933296204
well,0.3480316996574402,0.18489758670330048,0.36612698435783386,0.42630070447921753,0.2028287649154663,0.5258845686912537,0.1934155821800232,0.20640617609024048,0.24815571308135986
as,0.3923053741455078,0.22143861651420593,0.3887844979763031,0.48381632566452026,0.20159029960632324,0.49487000703811646,0.21542061865329742,0.24018222093582153,0.27043893933296204
native,0.2650620639324188,0.2535594701766968,0.24378694593906403,0.24374492466449738,0.23252961039543152,0.26731550693511963,0.322726309299469,0.22460375726222992,0.1457047313451767
american,0.3093835413455963,0.20965512096881866,0.22871561348438263,0.24562937021255493,0.3777676820755005,0.32290002703666687,0.2832375168800354,0.2592540383338928,0.18877598643302917
allies,0.22218574583530426,0.5183415412902832,0.22134138643741608,0.2923043370246887,0.21312808990478516,0.2856144905090332,0.14516758918762207,0.5094273686408997,0.16798950731754303
.,0.3541337847709656,0.22964482009410858,0.5591574311256409,0.5934505462646484,0.2480926215648651,0.588965117931366,0.2388933300971985,0.3000848889350891,0.4130953550338745
