,who,had,the,most,rushing,yards,on,the,broncos,?
running,0.2064424604177475,0.21985846757888794,0.28883472084999084,0.22012917697429657,0.38993650674819946,0.2573770582675934,0.2928021550178528,0.28883472084999084,0.2753031253814697,0.15679655969142914
back,0.2667590379714966,0.3374921381473541,0.3612101674079895,0.1777532398700714,0.2831316888332367,0.2079198658466339,0.3159608244895935,0.3612101674079895,0.2655918300151825,0.2397768795490265
c.,0.04752575606107712,-0.0324355848133564,-0.23451577126979828,-0.08577276021242142,0.015720196068286896,-0.05748806148767471,-0.11945566534996033,-0.23451577126979828,-0.07336290180683136,0.019047532230615616
j.,-0.022884098812937737,-0.032617948949337006,0.03800997510552406,-0.03453952074050903,-0.07692883163690567,-0.12808485329151154,0.03498878702521324,0.03800997510552406,-0.012629280798137188,0.004272869788110256
anderson,0.27154824137687683,0.21990354359149933,0.22428388893604279,0.1543002873659134,0.2592383623123169,0.21779491007328033,0.19681623578071594,0.22428388893604279,0.2760247588157654,0.1857001930475235
was,0.3318818509578705,0.5927209258079529,0.48711544275283813,0.29933857917785645,0.1639689952135086,0.1823360025882721,0.3909217119216919,0.48711544275283813,0.23574475944042206,0.18412111699581146
the,0.3733934462070465,0.3875846862792969,1.0,0.47635307908058167,0.2992783486843109,0.16070343554019928,0.5107308030128479,1.0,0.25985947251319885,0.22068053483963013
team,0.22248858213424683,0.11808160692453384,0.22564226388931274,0.12060809135437012,0.20791937410831451,0.17900775372982025,0.13870710134506226,0.22564226388931274,0.32797038555145264,0.11243411153554916
's,0.05599616840481758,-0.004401352722197771,-0.01540423184633255,0.024445664137601852,-0.015286230482161045,0.0408332459628582,0.0026888418942689896,-0.01540423184633255,-0.037254199385643005,-0.023395681753754616
leading,0.25606170296669006,0.22243644297122955,0.3809107840061188,0.41490915417671204,0.3233259618282318,0.23055429756641388,0.19906695187091827,0.3809107840061188,0.24829493463039398,0.1360926628112793
rusher,0.24189144372940063,0.2466486394405365,0.2200862467288971,0.1885906159877777,0.5804385542869568,0.4378136098384857,0.21799656748771667,0.2200862467288971,0.35058560967445374,0.11668813228607178
863,0.15041902661323547,0.14329864084720612,0.21372847259044647,0.12328574061393738,0.214145690202713,0.2529391050338745,0.20988327264785767,0.21372847259044647,0.21251744031906128,0.28603190183639526
yards,0.13584628701210022,0.19894513487815857,0.16070343554019928,0.18636830151081085,0.5547915101051331,1.0,0.15043845772743225,0.16070343554019928,0.4475782513618469,0.12453813850879669
and,0.41279885172843933,0.3872550129890442,0.5171257257461548,0.4309377074241638,0.2975989878177643,0.22108176350593567,0.4077630043029785,0.5171257257461548,0.20959050953388214,0.20544172823429108
seven,0.15699508786201477,0.20230332016944885,0.28151169419288635,0.2483055591583252,0.17806950211524963,0.19030557572841644,0.31168052554130554,0.28151169419288635,0.18732549250125885,0.1732930988073349
touchdowns,0.18127667903900146,0.26631444692611694,0.20508192479610443,0.21576958894729614,0.5714829564094543,0.7052563428878784,0.16743676364421844,0.20508192479610443,0.5303385257720947,0.1509619653224945
",",0.3365725874900818,0.35487717390060425,0.4933079481124878,0.3636029064655304,0.30971723794937134,0.16944201290607452,0.49057599902153015,0.4933079481124878,0.2558487057685852,0.31091248989105225
while,0.4068111777305603,0.3406333029270172,0.39804592728614807,0.3330796957015991,0.34305328130722046,0.2172633707523346,0.44084006547927856,0.39804592728614807,0.23601266741752625,0.21076419949531555
also,0.47919341921806335,0.4027194678783417,0.6021018624305725,0.5312551259994507,0.23073402047157288,0.11552079766988754,0.3762153089046478,0.6021018624305725,0.21493366360664368,0.21848613023757935
catching,0.24398905038833618,0.2272316813468933,0.2535163164138794,0.2951037585735321,0.4168078899383545,0.31550589203834534,0.2429916113615036,0.2535163164138794,0.23795710504055023,0.2628870904445648
25,0.139450341463089,0.2383478879928589,0.1671934723854065,0.08280710130929947,0.2013571560382843,0.19954921305179596,0.17010806500911713,0.1671934723854065,0.08878585696220398,0.09614268690347672
passes,0.08672328293323517,0.1697654277086258,0.3752402365207672,0.18525317311286926,0.4206598401069641,0.3818858563899994,0.1884605586528778,0.3752402365207672,0.22322407364845276,0.09716983139514923
for,0.37110671401023865,0.3270139992237091,0.4739971458911896,0.3906237483024597,0.31589773297309875,0.21746347844600677,0.36199691891670227,0.4739971458911896,0.2739109396934509,0.264628142118454
183,0.005853994749486446,-0.11468841880559921,-0.143292635679245,-0.07673361897468567,-0.010343329049646854,-0.019036564975976944,-0.056196290999650955,-0.143292635679245,-0.0310627743601799,-0.02645297721028328
yards,0.13584628701210022,0.19894513487815857,0.16070343554019928,0.18636830151081085,0.5547915101051331,1.0,0.15043845772743225,0.16070343554019928,0.4475782513618469,0.12453813850879669
.,0.3541337847709656,0.37348684668540955,0.5934505462646484,0.35404038429260254,0.2811712622642517,0.17664551734924316,0.49257001280784607,0.5934505462646484,0.2612393796443939,0.4130953550338745
