,how,do,chloroplasts,trigger,the,plant,'s,immune,system,?
chloroplasts,0.2384049892425537,0.2621478736400604,0.9999999403953552,0.19630390405654907,0.23062430322170258,0.5019698739051819,-0.026035647839307785,0.40732938051223755,0.22183039784431458,0.13049766421318054
stimulate,0.3315063416957855,0.28587380051612854,0.3981911838054657,0.42047014832496643,0.23603883385658264,0.2588096559047699,-0.06952264904975891,0.39969345927238464,0.25397056341171265,0.11947494000196457
both,0.3017238676548004,0.24471816420555115,0.2301984578371048,0.18258175253868103,0.4931981563568115,0.2042919248342514,0.03109198436141014,0.20888829231262207,0.2039085328578949,0.19455738365650177
responses,0.3823823034763336,0.3025057911872864,0.31789955496788025,0.41786348819732666,0.25337323546409607,0.2758055329322815,-0.014069708995521069,0.4776917099952698,0.3241274952888489,0.23588258028030396
by,0.34370526671409607,0.1481526494026184,0.1951972097158432,0.272244393825531,0.4408751428127289,0.20213352143764496,-0.010884488001465797,0.17260463535785675,0.23017624020576477,0.17966607213020325
purposely,0.37795063853263855,0.3200252652168274,0.2692153751850128,0.19810959696769714,0.31657084822654724,0.14835220575332642,-0.005532833281904459,0.27964508533477783,0.19947801530361176,0.20725731551647186
damaging,0.2443988025188446,0.2432527393102646,0.23839262127876282,0.30194780230522156,0.2490997463464737,0.18693985044956207,-0.06250187754631042,0.31313270330429077,0.22074531018733978,0.17482057213783264
their,0.3316696584224701,0.35424983501434326,0.2906811833381653,0.2035961151123047,0.516537070274353,0.2508295774459839,-0.005530759692192078,0.27346232533454895,0.22435083985328674,0.1898253709077835
photosynthetic,0.21793316304683685,0.2753722071647644,0.7179837822914124,0.2315913438796997,0.24047884345054626,0.5030929446220398,0.005246729589998722,0.3560369908809662,0.2507539987564087,0.15254013240337372
system,0.282820463180542,0.18447506427764893,0.22183039784431458,0.24616605043411255,0.3233085572719574,0.2451840043067932,0.04329425096511841,0.3962631821632385,1.0000001192092896,0.15556083619594574
",",0.22659391164779663,0.3283645510673523,0.20794041454792023,0.1761711686849594,0.4933079481124878,0.25194862484931946,-0.0016132977325469255,0.15102852880954742,0.18439900875091553,0.31091248989105225
producing,0.19940468668937683,0.18423587083816528,0.33390098810195923,0.19407346844673157,0.28730374574661255,0.31143879890441895,-0.011738907545804977,0.20755630731582642,0.15794424712657928,0.1406429558992386
reactive,0.29325562715530396,0.27949246764183044,0.4885607659816742,0.2862381935119629,0.16592693328857422,0.2608991265296936,-0.05195213481783867,0.3578105866909027,0.2118406593799591,0.20790518820285797
oxygen,0.21928748488426208,0.22088919579982758,0.5239399671554565,0.19176627695560455,0.20428593456745148,0.2504415810108185,-0.011648092418909073,0.3167511820793152,0.17158660292625427,0.16786395013332367
species,0.20142129063606262,0.20613440871238708,0.4522049129009247,0.18849529325962067,0.2522439956665039,0.47544243931770325,0.050785817205905914,0.24525220692157745,0.19142989814281464,0.1957087516784668
.,0.3287222981452942,0.3613996207714081,0.23868323862552643,0.21539413928985596,0.5934505462646484,0.25658002495765686,-0.003708066651597619,0.18267881870269775,0.2277725487947464,0.4130953550338745
