,what,was,tugh,temur,known,for,?
due,0.15204688906669617,0.29011407494544983,0.1858462691307068,0.10796000063419342,0.15423306822776794,0.2363993525505066,0.10954997688531876
to,0.455847829580307,0.3636345863342285,0.24520662426948547,0.1902887374162674,0.14337651431560516,0.4451248347759247,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,0.2538721263408661,0.2950887978076935,0.3624623417854309,0.4739971458911896,0.22068053483963013
fact,0.4454877972602844,0.24826835095882416,0.16473393142223358,0.10848397761583328,0.17477472126483917,0.2685041129589081,0.2798655927181244
that,0.6297725439071655,0.33670201897621155,0.2292306274175644,0.1147163063287735,0.20813259482383728,0.4137635827064514,0.32716336846351624
the,0.42745697498321533,0.48711544275283813,0.2538721263408661,0.2950887978076935,0.3624623417854309,0.4739971458911896,0.22068053483963013
bureaucracy,0.3576729893684387,0.18664531409740448,0.25641733407974243,0.1732286810874939,0.15853871405124664,0.3026660084724426,0.33511215448379517
was,0.22111038863658905,1.0000001192092896,0.2578143775463104,0.2032104879617691,0.35203275084495544,0.3863949179649353,0.18412111699581146
dominated,0.145044207572937,0.2355012148618698,0.21489353477954865,0.08426591008901596,0.2924260199069977,0.24956439435482025,0.04715321213006973
by,0.2455483376979828,0.4752357602119446,0.26519060134887695,0.13969005644321442,0.24461808800697327,0.3248702883720398,0.17966607213020325
el,0.1611325442790985,0.18103119730949402,0.2462921291589737,0.23995284736156464,0.17904765903949738,0.14263887703418732,0.16662782430648804
temür,0.26815444231033325,0.3291587233543396,0.3861598074436188,0.6543241739273071,0.19390569627285004,0.23048478364944458,0.17946790158748627
",",0.3087472915649414,0.45456063747406006,0.3907131850719452,0.24545347690582275,0.3604377806186676,0.4464869201183319,0.31091248989105225
tugh,0.2673484683036804,0.2578143775463104,1.0,0.2936148941516876,0.23542450368404388,0.2360057681798935,0.2607990801334381
temür,0.26815444231033325,0.3291587233543396,0.3861598074436188,0.6543241739273071,0.19390569627285004,0.23048478364944458,0.17946790158748627
is,0.28837618231773376,0.5810302495956421,0.20169705152511597,0.1773495078086853,0.41921812295913696,0.43268078565597534,0.22961433231830597
known,0.20381177961826324,0.35203275084495544,0.23542450368404388,0.17682814598083496,1.0,0.363901823759079,0.18314571678638458
for,0.3017193675041199,0.3863949179649353,0.2360057681798935,0.11592201888561249,0.363901823759079,0.9999999403953552,0.264628142118454
his,0.26976513862609863,0.4405253231525421,0.3177696168422699,0.27576592564582825,0.29665085673332214,0.39312878251075745,0.18075084686279297
cultural,0.18198847770690918,0.18866337835788727,0.17636139690876007,0.1327456533908844,0.166192427277565,0.25172704458236694,0.09798457473516464
contribution,0.29450732469558716,0.26391440629959106,0.2429731786251068,0.0879555270075798,0.1999477595090866,0.33013731241226196,0.2527717649936676
instead,0.4104403555393219,0.23083001375198364,0.2306886613368988,0.14366671442985535,0.17316077649593353,0.4413341283798218,0.2942638397216797
.,0.3567904531955719,0.40146201848983765,0.3123989999294281,0.24080398678779602,0.283290296792984,0.4726039469242096,0.4130953550338745
