,who,founded,woodward,park,?
in,0.2792111933231354,0.24877111613750458,0.28123074769973755,0.22758090496063232,0.20430970191955566
the,0.3733934462070465,0.2840350568294525,0.2085409164428711,0.24748283624649048,0.22068053483963013
north,0.11026738584041595,0.17481417953968048,0.13408389687538147,0.31304728984832764,0.11829731613397598
eastern,0.18017642199993134,0.20986999571323395,0.12876586616039276,0.15923239290714264,0.20060817897319794
part,0.19576206803321838,0.22981108725070953,0.13075539469718933,0.24465312063694,0.08557961881160736
of,0.2827862501144409,0.24571022391319275,0.2368510216474533,0.24561640620231628,0.1826142966747284
fresno,0.13491588830947876,0.22778962552547455,0.2083505541086197,0.2707971930503845,0.13224096596240997
",",0.3365725874900818,0.24976085126399994,0.2896799147129059,0.22495080530643463,0.31091248989105225
woodward,0.23014920949935913,0.08973781019449234,1.0,0.1324821412563324,0.13852813839912415
park,0.16302382946014404,0.18844656646251678,0.1324821412563324,1.0,0.13508929312229156
was,0.3318818509578705,0.36917948722839355,0.2095414102077484,0.22738584876060486,0.18412111699581146
founded,0.2723641097545624,1.0000001192092896,0.08973781019449234,0.18844656646251678,0.09119737893342972
by,0.39727845788002014,0.264241099357605,0.1907922625541687,0.18885280191898346,0.17966607213020325
the,0.3733934462070465,0.2840350568294525,0.2085409164428711,0.24748283624649048,0.22068053483963013
late,0.19296042621135712,0.23125623166561127,0.13450399041175842,0.13221469521522522,0.11339222639799118
ralph,0.27632367610931396,0.18230777978897095,0.31274065375328064,0.1457114964723587,0.0765800029039383
woodward,0.23014920949935913,0.08973781019449234,1.0,0.1324821412563324,0.13852813839912415
",",0.3365725874900818,0.24976085126399994,0.2896799147129059,0.22495080530643463,0.31091248989105225
a,0.36608949303627014,0.1686933934688568,0.21543066203594208,0.2207280695438385,0.23916715383529663
long-time,0.264879435300827,0.21800334751605988,0.20806077122688293,0.24103830754756927,0.2553507387638092
fresno,0.13491588830947876,0.22778962552547455,0.2083505541086197,0.2707971930503845,0.13224096596240997
resident,0.29846158623695374,0.21464300155639648,0.12033045291900635,0.2317558377981186,0.10287734121084213
.,0.3541337847709656,0.23141497373580933,0.2645300328731537,0.22825266420841217,0.4130953550338745
