,what,do,astronaughts,experience,while,in,free-fall,?
this,0.5489566326141357,0.34963881969451904,0.2343735694885254,0.3281102478504181,0.3306356966495514,0.45205554366111755,0.31005221605300903,0.3155723512172699
is,0.28837618231773376,0.30895981192588806,0.2156192809343338,0.19130541384220123,0.2713196575641632,0.5394441485404968,0.2608296871185303,0.22961433231830597
why,0.6109785437583923,0.42639148235321045,0.2759656310081482,0.30028975009918213,0.3304853141307831,0.23227278888225555,0.22652196884155273,0.5345069766044617
",",0.3087472915649414,0.3283645510673523,0.35643595457077026,0.22459560632705688,0.38232675194740295,0.5201468467712402,0.40213096141815186,0.31091248989105225
for,0.3017193675041199,0.29510271549224854,0.23708142340183258,0.29364609718322754,0.4232339859008789,0.4322226941585541,0.2457314431667328,0.264628142118454
example,0.3456268310546875,0.3745654821395874,0.2488425076007843,0.24667581915855408,0.29871246218681335,0.30483278632164,0.21496155858039856,0.30374911427497864
",",0.3087472915649414,0.3283645510673523,0.35643595457077026,0.22459560632705688,0.38232675194740295,0.5201468467712402,0.40213096141815186,0.31091248989105225
astronauts,0.1784883290529251,0.18702873587608337,0.8235421776771545,0.2617753744125366,0.24142082035541534,0.1392838954925537,0.2913617193698883,0.15138289332389832
experience,0.3894727826118469,0.2845655083656311,0.33603692054748535,1.0000001192092896,0.3364466428756714,0.19806437194347382,0.24242961406707764,0.25203612446784973
weightlessness,0.29170307517051697,0.21100379526615143,0.3636321425437927,0.4067796468734741,0.2390945851802826,0.201398566365242,0.215977743268013,0.1819990575313568
when,0.4700249433517456,0.28572237491607666,0.2244817018508911,0.2492937445640564,0.548916757106781,0.4431333839893341,0.3244088888168335,0.22841128706932068
in,0.30808621644973755,0.23402775824069977,0.16876383125782013,0.19806437194347382,0.3399278521537781,1.0,0.3497799038887024,0.20430970191955566
free-fall,0.31164079904556274,0.2370481640100479,0.374404639005661,0.24242961406707764,0.3205614387989044,0.3497799038887024,1.0000001192092896,0.19439005851745605
orbit,0.19471463561058044,0.15639297664165497,0.48197928071022034,0.12055063247680664,0.18730710446834564,0.13808301091194153,0.2885828912258148,0.16621392965316772
around,0.27475327253341675,0.2358471304178238,0.2756953835487366,0.20833908021450043,0.3796277642250061,0.41294145584106445,0.3130088448524475,0.14729668200016022
the,0.42745697498321533,0.30239659547805786,0.23356401920318604,0.21682339906692505,0.39804592728614807,0.6662389636039734,0.34493488073349,0.22068053483963013
earth,0.25883176922798157,0.19425350427627563,0.40316179394721985,0.1468079686164856,0.23815299570560455,0.18566735088825226,0.27303293347358704,0.17717236280441284
",",0.3087472915649414,0.3283645510673523,0.35643595457077026,0.22459560632705688,0.38232675194740295,0.5201468467712402,0.40213096141815186,0.31091248989105225
and,0.31309178471565247,0.276123583316803,0.26535284519195557,0.24539199471473694,0.45699796080589294,0.4954058527946472,0.36733558773994446,0.20544172823429108
why,0.6109785437583923,0.42639148235321045,0.2759656310081482,0.30028975009918213,0.3304853141307831,0.23227278888225555,0.22652196884155273,0.5345069766044617
newton,0.20841743052005768,0.14262448251247406,0.27939486503601074,0.1328376978635788,0.1801067441701889,0.23639483749866486,0.3282085061073303,0.09645649790763855
's,0.02692362666130066,-0.01994597539305687,-0.006452505011111498,0.0468781515955925,0.0011869525769725442,-0.037580832839012146,0.036895230412483215,-0.023395681753754616
laws,0.29636016488075256,0.2906854450702667,0.28921857476234436,0.1836261749267578,0.1977279782295227,0.2591988444328308,0.269850492477417,0.17911791801452637
of,0.33290785551071167,0.26150479912757874,0.2424008548259735,0.228313148021698,0.3366928696632385,0.5696388483047485,0.28596410155296326,0.1826142966747284
motion,0.260096937417984,0.18238574266433716,0.2527172863483429,0.16742217540740967,0.1873154491186142,0.2190442532300949,0.24901507794857025,0.20143945515155792
are,0.29724663496017456,0.41111594438552856,0.19501739740371704,0.22956059873104095,0.34230953454971313,0.3841303884983063,0.21593433618545532,0.24591213464736938
more,0.3484537899494171,0.3514035940170288,0.22930903732776642,0.3516314625740051,0.34450140595436096,0.32563260197639465,0.2858235239982605,0.27894994616508484
easily,0.2574663758277893,0.3061316907405853,0.22773601114749908,0.2302142232656479,0.2769348621368408,0.2218341827392578,0.3053235113620758,0.24040374159812927
discernible,0.38811808824539185,0.32776740193367004,0.27557680010795593,0.3018704950809479,0.2346438765525818,0.26204243302345276,0.2424561232328415,0.34716373682022095
in,0.30808621644973755,0.23402775824069977,0.16876383125782013,0.19806437194347382,0.3399278521537781,1.0,0.3497799038887024,0.20430970191955566
such,0.23989605903625488,0.337398886680603,0.208809494972229,0.2081126570701599,0.30470579862594604,0.2704046070575714,0.21945960819721222,0.17851735651493073
environments,0.1853245049715042,0.2680501341819763,0.29211071133613586,0.2916741669178009,0.236318439245224,0.2626948356628418,0.1897018849849701,0.1847371757030487
.,0.3567904531955719,0.3613996207714081,0.3126378357410431,0.22749435901641846,0.38690751791000366,0.5591574311256409,0.3509068787097931,0.4130953550338745
