,who,was,imprisoned,in,newcastle,by,the,scots,in,1646,through,1647,?
the,0.3733934462070465,0.48711544275283813,0.20625166594982147,0.6662389636039734,0.2253497689962387,0.4408751428127289,1.0,0.22918754816055298,0.6662389636039734,0.38275760412216187,0.44071322679519653,0.17500609159469604,0.22068053483963013
grateful,0.3287021219730377,0.22026894986629486,0.12345308065414429,0.1355777531862259,0.20253241062164307,0.17652572691440582,0.1874043047428131,0.1965429037809372,0.1355777531862259,0.11160910129547119,0.13114510476589203,-0.03409397974610329,0.21950964629650116
king,0.24555552005767822,0.27377256751060486,0.2584773302078247,0.2044914960861206,0.18451805412769318,0.23436301946640015,0.25887003540992737,0.3130476176738739,0.2044914960861206,0.1648247092962265,0.13522017002105713,0.04548537731170654,0.19130074977874756
bestowed,0.2682143449783325,0.38487064838409424,0.27999743819236755,0.25522705912590027,0.2574491500854492,0.2784574627876282,0.3412720561027527,0.19338946044445038,0.25522705912590027,0.32615262269973755,0.12159242480993271,0.02834833227097988,0.2737758457660675
the,0.3733934462070465,0.48711544275283813,0.20625166594982147,0.6662389636039734,0.2253497689962387,0.4408751428127289,1.0,0.22918754816055298,0.6662389636039734,0.38275760412216187,0.44071322679519653,0.17500609159469604,0.22068053483963013
motto,0.12141694873571396,0.12627947330474854,0.05931111425161362,0.19612006843090057,0.14425979554653168,0.07025237381458282,0.21481263637542725,0.18186122179031372,0.19612006843090057,0.1882421374320984,0.14273323118686676,-0.007209231145679951,0.14667513966560364
``,0.02397952415049076,-0.012679691426455975,0.044204697012901306,0.04765888676047325,0.025922706350684166,-0.030704375356435776,0.029072100296616554,0.07742214947938919,0.04765888676047325,0.09409871697425842,-0.027386896312236786,0.08033490180969238,0.0685480609536171
fortiter,0.23976071178913116,0.2939811050891876,0.32859617471694946,0.31331688165664673,0.32065868377685547,0.20452557504177094,0.33903366327285767,0.27690914273262024,0.31331688165664673,0.3313504159450531,0.22480688989162445,0.17650353908538818,0.12475050985813141
defendit,0.2992628514766693,0.25929588079452515,0.2846590280532837,0.22428452968597412,0.30542707443237305,0.2306983470916748,0.25553515553474426,0.15638113021850586,0.22428452968597412,0.23679254949092865,0.130263090133667,0.08637692779302597,0.18544936180114746
triumphans,0.2485291212797165,0.2653428316116333,0.242087721824646,0.22886638343334198,0.15013983845710754,0.2565133273601532,0.31114017963409424,0.19958186149597168,0.22886638343334198,0.22795641422271729,0.16264955699443817,0.1197584867477417,0.16794347763061523
