,what,did,mitsubishi,rename,its,forte,to,?
mitsubishi,0.16516992449760437,0.114864781498909,0.9999998807907104,0.18553891777992249,0.23023469746112823,0.282596617937088,0.131819486618042,0.15891717374324799
rebranded,0.17439672350883484,0.2450600266456604,0.39805838465690613,0.2947893738746643,0.205937922000885,0.24314938485622406,0.23141682147979736,0.15780268609523773
its,0.30393704771995544,0.19922670722007751,0.23023469746112823,0.19821465015411377,1.0,0.15550097823143005,0.3691340684890747,0.15103481709957123
forte,0.2037157118320465,0.1503802388906479,0.282596617937088,0.12886931002140045,0.15550097823143005,1.0,0.19231264293193817,0.1846577227115631
as,0.31749409437179565,0.3596470057964325,0.1510561853647232,0.24948935210704803,0.31874480843544006,0.3019489645957947,0.42092081904411316,0.27043893933296204
the,0.42745697498321533,0.34736719727516174,0.18660248816013336,0.19180665910243988,0.559237003326416,0.24542057514190674,0.535392165184021,0.22068053483963013
dodge,0.15358726680278778,0.16378235816955566,0.3393590748310089,0.20369309186935425,0.1755286008119583,0.2999194264411926,0.21799476444721222,0.1866140216588974
d-50,0.2369263917207718,0.11353252083063126,0.06333638727664948,0.21083340048789978,0.03625287115573883,0.017231138423085213,0.16029977798461914,0.2936604917049408
a,0.3320399522781372,0.2552328109741211,0.298759788274765,0.1470119208097458,0.4424409866333008,0.20866574347019196,0.45503583550453186,0.23916715383529663
few,0.2780759632587433,0.32311540842056274,0.1405504196882248,0.18581229448318481,0.25522467494010925,0.1718628704547882,0.36415213346481323,0.2334265559911728
years,0.1981470286846161,0.2695724070072174,0.14877565205097198,0.1433028280735016,0.17322497069835663,0.18789511919021606,0.23891852796077728,0.1914375126361847
after,0.21973377466201782,0.30330467224121094,0.11999240517616272,0.29210516810417175,0.29879069328308105,0.11131899803876877,0.37890323996543884,0.16608688235282898
the,0.42745697498321533,0.34736719727516174,0.18660248816013336,0.19180665910243988,0.559237003326416,0.24542057514190674,0.535392165184021,0.22068053483963013
oil,0.14842186868190765,0.10956666618585587,0.23695777356624603,0.13352838158607483,0.17392194271087646,0.09294798970222473,0.1619214415550232,0.14867261052131653
crisis,0.23514460027217865,0.12736287713050842,0.16070672869682312,0.15979449450969696,0.18487988412380219,0.07529905438423157,0.21038146317005157,0.17902959883213043
.,0.3567904531955719,0.35288307070732117,0.2622373104095459,0.2002442181110382,0.3566088080406189,0.29875296354293823,0.4645031690597534,0.4130953550338745
