,what,was,the,result,of,the,1967,referendum,?
when,0.4700249433517456,0.37326499819755554,0.5091903209686279,0.32054403424263,0.3757161796092987,0.5091903209686279,-0.10118751227855682,0.17355266213417053,0.22841128706932068
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2767398953437805,0.5052502155303955,0.5829201340675354,-0.005675012711435556,0.21418535709381104,0.23916715383529663
consolidation,0.19467267394065857,0.16975656151771545,0.3002266585826874,0.3004227578639984,0.3290441930294037,0.3002266585826874,0.04607585072517395,0.34101107716560364,0.1621040254831314
referendum,0.24703842401504517,0.24151557683944702,0.2520652413368225,0.25811767578125,0.21849936246871948,0.2520652413368225,0.09093951433897018,0.9999999403953552,0.18056513369083405
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.18558235466480255,0.4069072902202606,0.48711544275283813,0.059212569147348404,0.24151557683944702,0.18412111699581146
held,0.0974166989326477,0.30231067538261414,0.32185450196266174,0.17375673353672028,0.28960686922073364,0.32185450196266174,-0.0402907095849514,0.25031667947769165,0.14103956520557404
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.25670310854911804,0.5696388483047485,0.6662389636039734,0.004017085302621126,0.28181248903274536,0.20430970191955566
1967,-0.0218155886977911,0.059212569147348404,-0.012038951739668846,-0.013252593576908112,0.07289459556341171,-0.012038951739668846,1.0000001192092896,0.09093951433897018,0.017933469265699387
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.4933079481124878,-0.04270636662840843,0.22808091342449188,0.31091248989105225
voters,0.2528998553752899,0.24107079207897186,0.2605440318584442,0.2544022798538208,0.20554447174072266,0.2605440318584442,0.07950860261917114,0.6459084153175354,0.21165518462657928
approved,0.23795665800571442,0.27298814058303833,0.30207422375679016,0.25750303268432617,0.3106788992881775,0.30207422375679016,0.04565016180276871,0.3791438341140747,0.25914356112480164
the,0.42745697498321533,0.48711544275283813,1.0,0.27778977155685425,0.733189046382904,1.0,-0.012038951739668846,0.2520652413368225,0.22068053483963013
plan,0.2947953939437866,0.2407723069190979,0.2852855324745178,0.20146413147449493,0.2742128372192383,0.2852855324745178,-0.051555126905441284,0.2531619369983673,0.1961054503917694
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.31092435121536255,0.5352458953857422,0.5934505462646484,0.03085298277437687,0.1938503086566925,0.4130953550338745
,what,was,the,result,of,the,1967,referendum,?
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.22479186952114105,0.3966929316520691,0.5107308030128479,-0.11705082654953003,0.2337801307439804,0.2714994251728058
october,0.24927909672260284,0.4627581834793091,0.2621108889579773,0.13867783546447754,0.20846129953861237,0.2621108889579773,-0.010172474198043346,0.24550080299377441,0.29706719517707825
1,-0.21266892552375793,-0.2275921255350113,-0.1554475575685501,-0.15001067519187927,-0.09473495930433273,-0.1554475575685501,-0.002509352285414934,-0.12763266265392303,-0.249979168176651
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.4933079481124878,-0.04270636662840843,0.22808091342449188,0.31091248989105225
1968,-0.07854823768138885,0.07066072523593903,0.07431387901306152,-0.00034255802165716887,0.09872698038816452,0.07431387901306152,0.06855543702840805,0.060803256928920746,-0.08543776720762253
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.4933079481124878,-0.04270636662840843,0.22808091342449188,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.27778977155685425,0.733189046382904,1.0,-0.012038951739668846,0.2520652413368225,0.22068053483963013
governments,0.2814749777317047,0.25224968791007996,0.2835306227207184,0.17017479240894318,0.30223309993743896,0.2835306227207184,0.016693081706762314,0.42197132110595703,0.18805137276649475
merged,0.13653609156608582,0.20836342871189117,0.22961698472499847,0.09776624292135239,0.19221307337284088,0.22961698472499847,0.007667141035199165,0.2576996684074402,0.16063673794269562
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.23653174936771393,0.41548454761505127,0.535392165184021,-0.0018660398200154305,0.25115063786506653,0.29463258385658264
create,0.2962724268436432,0.17767828702926636,0.25265660881996155,0.2662685811519623,0.23675619065761566,0.25265660881996155,-0.05704881250858307,0.20296967029571533,0.300167441368103
the,0.42745697498321533,0.48711544275283813,1.0,0.27778977155685425,0.733189046382904,1.0,-0.012038951739668846,0.2520652413368225,0.22068053483963013
consolidated,0.15863418579101562,0.22622759640216827,0.28580236434936523,0.2266378253698349,0.3171479105949402,0.28580236434936523,0.012384832836687565,0.30033034086227417,0.16821198165416718
city,0.17493832111358643,0.3188765048980713,0.35769423842430115,0.12442740052938461,0.32503411173820496,0.35769423842430115,0.015247547067701817,0.24028436839580536,0.13423943519592285
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.231380432844162,1.0,0.733189046382904,0.07289459556341171,0.21849936246871948,0.1826142966747284
jacksonville,0.14578714966773987,0.2742757201194763,0.2176690250635147,0.1795787215232849,0.23084138333797455,0.2176690250635147,-0.07811005413532257,0.15725162625312805,0.1359667330980301
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.31092435121536255,0.5352458953857422,0.5934505462646484,0.03085298277437687,0.1938503086566925,0.4130953550338745
