,for,about,how,long,would,the,extended,lm,allow,a,surface,stay,on,the,moon,?
an,0.3236706852912903,0.2700941264629364,0.2520636022090912,0.22368325293064117,0.2650099992752075,0.4207492768764496,0.1627131849527359,0.19093579053878784,0.17340564727783203,0.44552403688430786,0.18808452785015106,0.1527521312236786,0.3192969560623169,0.4207492768764496,0.1212901771068573,0.19793890416622162
extended,0.2689915895462036,0.17110367119312286,0.1505790501832962,0.2646813690662384,0.3285233676433563,0.3160722553730011,1.0,0.23266924917697906,0.3261295258998871,0.24976085126399994,0.18013368546962738,0.19329629838466644,0.3204180896282196,0.3160722553730011,0.1732426881790161,0.17568568885326385
lunar,0.16840216517448425,0.161545529961586,0.21081319451332092,0.193118616938591,0.20055215060710907,0.23309995234012604,0.22355113923549652,0.42166680097579956,0.11675851047039032,0.19755837321281433,0.34174928069114685,0.1588076651096344,0.22814977169036865,0.23309995234012604,0.6080004572868347,0.1628302037715912
module,0.20810315012931824,0.09872376918792725,0.21929074823856354,0.10701979696750641,0.2092796117067337,0.15147453546524048,0.11563695967197418,0.3337670564651489,0.1965230107307434,0.13346926867961884,0.2348867803812027,0.10887077450752258,0.21363548934459686,0.15147453546524048,0.3536060154438019,0.2131270468235016
weighed,0.18968074023723602,0.28361958265304565,0.2749890387058258,0.3588271737098694,0.27015265822410583,0.17468127608299255,0.18621352314949036,0.28429165482521057,0.151427760720253,0.23287509381771088,0.17012538015842438,0.20442301034927368,0.23948541283607483,0.17468127608299255,0.20675060153007507,0.1759321093559265
over,0.3419422209262848,0.44422563910484314,0.31446483731269836,0.35327938199043274,0.3247411251068115,0.39856547117233276,0.260050892829895,0.1592697650194168,0.2857428789138794,0.32199642062187195,0.25173377990722656,0.24308457970619202,0.39810362458229065,0.39856547117233276,0.10991164296865463,0.25742942094802856
"36,200",-0.024240082129836082,-0.11697075515985489,-0.257938951253891,-0.13025934994220734,-0.27475178241729736,-0.09386153519153595,-0.058856431394815445,-0.19431297481060028,-0.19792191684246063,-0.041099272668361664,-0.171474426984787,-0.14167366921901703,-0.04468294978141785,-0.09386153519153595,-0.21628783643245697,-0.181428000330925
pounds,0.2606140375137329,0.25522032380104065,0.2724916338920593,0.29493317008018494,0.23688217997550964,0.18430368602275848,0.1580968201160431,0.19081290066242218,0.22291399538516998,0.23494836688041687,0.12104137986898422,0.20113836228847504,0.14947298169136047,0.18430368602275848,0.17407503724098206,0.1807934194803238
(,0.3357032239437103,0.27495184540748596,0.1676948219537735,0.2487790733575821,0.21630488336086273,0.33289089798927307,0.2243831753730774,0.13334642350673676,0.1579936444759369,0.3206180930137634,0.12799760699272156,0.20517532527446747,0.28656116127967834,0.33289089798927307,0.15743975341320038,0.40561532974243164
"16,400",0.023947997018694878,0.015271339565515518,0.03389405831694603,-0.03880125284194946,0.18459509313106537,0.15261834859848022,0.03730124980211258,0.10584621876478195,0.1621491014957428,0.011977043002843857,-0.03171462565660477,0.13413168489933014,0.006998782511800528,0.15261834859848022,0.03228607773780823,0.06834390014410019
kg,0.18068446218967438,0.19927728176116943,0.14154522120952606,0.24964644014835358,0.13827721774578094,0.14337459206581116,0.06015137955546379,0.18526554107666016,0.12167294323444366,0.1687234342098236,0.2247360199689865,0.13543358445167542,0.09222084283828735,0.14337459206581116,0.19849126040935516,0.14374905824661255
),0.3639558255672455,0.2775460183620453,0.17939934134483337,0.23425164818763733,0.2093871831893921,0.3456730246543884,0.2578025162220001,0.14235086739063263,0.15511807799339294,0.3640355169773102,0.12480831891298294,0.1992081254720688,0.29937487840652466,0.3456730246543884,0.15997570753097534,0.42300865054130554
",",0.4464869201183319,0.3877100944519043,0.22659391164779663,0.3431144952774048,0.32586824893951416,0.4933079481124878,0.23414303362369537,0.15934062004089355,0.24557842314243317,0.427140474319458,0.23000483214855194,0.2502226233482361,0.49057599902153015,0.4933079481124878,0.18567080795764923,0.31091248989105225
and,0.5064792633056641,0.3875081241130829,0.33647966384887695,0.3395216166973114,0.34921059012413025,0.5171257257461548,0.22269432246685028,0.15283863246440887,0.3380379378795624,0.3739250600337982,0.2626544237136841,0.279899924993515,0.4077630043029785,0.5171257257461548,0.2018347829580307,0.20544172823429108
allowed,0.3152953088283539,0.21301163733005524,0.29753124713897705,0.20251016318798065,0.5465223789215088,0.2985120713710785,0.3343943655490875,0.17538069188594818,0.6964383125305176,0.275193989276886,0.19469210505485535,0.37846195697784424,0.28039318323135376,0.2985120713710785,0.16287203133106232,0.2309964895248413
surface,0.17463307082653046,0.2037542462348938,0.25213223695755005,0.1922260820865631,0.2547634243965149,0.2555135488510132,0.18013368546962738,0.26098427176475525,0.29546886682510376,0.24436084926128387,0.9999998807907104,0.2531145513057709,0.2674844264984131,0.2555135488510132,0.3550443947315216,0.14613434672355652
stays,0.2376829981803894,0.17412541806697845,0.2247701734304428,0.22096115350723267,0.28097179532051086,0.3163088858127594,0.10155362635850906,0.1156194880604744,0.23840492963790894,0.31746846437454224,0.33851632475852966,0.6457909941673279,0.2119615226984024,0.3163088858127594,0.23245543241500854,0.1379946619272232
of,0.4185989499092102,0.40939709544181824,0.2480744868516922,0.2567519545555115,0.3353942930698395,0.733189046382904,0.2843494713306427,0.15462981164455414,0.28057926893234253,0.5052502155303955,0.24204103648662567,0.20201723277568817,0.3966929316520691,0.733189046382904,0.18815091252326965,0.1826142966747284
over,0.3419422209262848,0.44422563910484314,0.31446483731269836,0.35327938199043274,0.3247411251068115,0.39856547117233276,0.260050892829895,0.1592697650194168,0.2857428789138794,0.32199642062187195,0.25173377990722656,0.24308457970619202,0.39810362458229065,0.39856547117233276,0.10991164296865463,0.25742942094802856
3,0.04892069101333618,0.1182333454489708,0.12271612882614136,0.08941970765590668,0.05846809968352318,0.06283142417669296,-0.01308484561741352,0.07839296758174896,0.10561388731002808,0.08904784172773361,0.07090818881988525,0.09963680058717728,0.08950094133615494,0.06283142417669296,0.16477151215076447,0.005975271109491587
days,0.2734130620956421,0.2681981325149536,0.23509229719638824,0.2864958941936493,0.25605031847953796,0.2574930489063263,0.21673698723316193,0.16261686384677887,0.17788195610046387,0.24421119689941406,0.19153761863708496,0.2606026232242584,0.3459240794181824,0.2574930489063263,0.2024919092655182,0.2198754847049713
.,0.4726039469242096,0.42038556933403015,0.3287222981452942,0.3247973620891571,0.35067233443260193,0.5934505462646484,0.23685072362422943,0.22923575341701508,0.28562283515930176,0.50484299659729,0.2543797492980957,0.3077605068683624,0.49257001280784607,0.5934505462646484,0.2040150910615921,0.4130953550338745
