,what,yard,line,was,the,broncos,on,when,manning,lost,the,ball,in,the,fourth,quarter,?
on,0.34226128458976746,0.149832084774971,0.2094266265630722,0.3909217119216919,0.5107308030128479,0.17311601340770721,0.9999999403953552,0.37706470489501953,0.25339728593826294,0.19934038817882538,0.5107308030128479,0.1605052351951599,0.46853652596473694,0.5107308030128479,0.2738758623600006,0.21235644817352295,0.2714994251728058
the,0.42745697498321533,0.22634266316890717,0.29789501428604126,0.48711544275283813,1.0,0.25985947251319885,0.5107308030128479,0.5091903209686279,0.27058160305023193,0.3376973867416382,1.0,0.18895584344863892,0.6662389636039734,1.0,0.40804702043533325,0.3659466803073883,0.22068053483963013
next,0.25980645418167114,0.13807086646556854,0.13729949295520782,0.25374743342399597,0.35833123326301575,0.20705482363700867,0.33060458302497864,0.31436362862586975,0.2187599092721939,0.28130874037742615,0.35833123326301575,0.10990821570158005,0.29307645559310913,0.35833123326301575,0.3697102665901184,0.22258099913597107,0.167460098862648
play,0.2180248498916626,0.18204784393310547,0.17768004536628723,0.23784595727920532,0.24793598055839539,0.3148726522922516,0.22181138396263123,0.2209858000278473,0.2523941099643707,0.19003351032733917,0.24793598055839539,0.31826484203338623,0.24321173131465912,0.24793598055839539,0.23530615866184235,0.20659708976745605,0.11059518158435822
",",0.3087472915649414,0.10565341264009476,0.22637072205543518,0.45456063747406006,0.4933079481124878,0.2558487057685852,0.49057599902153015,0.36674630641937256,0.30921146273612976,0.26788443326950073,0.4933079481124878,0.2170172780752182,0.5201468467712402,0.4933079481124878,0.271299809217453,0.2742914855480194,0.31091248989105225
ealy,0.21271264553070068,0.1885848045349121,0.21372176706790924,0.27802515029907227,0.20656827092170715,0.2877846658229828,0.2500463128089905,0.297137051820755,0.37721550464630127,0.09453584998846054,0.20656827092170715,0.2552103102207184,0.2399526834487915,0.20656827092170715,0.1691090166568756,0.14711879193782806,0.24052083492279053
knocked,0.16346049308776855,0.26245778799057007,0.14542841911315918,0.26522794365882874,0.25226226449012756,0.25215044617652893,0.20865215361118317,0.26974692940711975,0.2306843400001526,0.3845568597316742,0.25226226449012756,0.29728958010673523,0.17732229828834534,0.25226226449012756,0.24296985566616058,0.276162713766098,0.1071818619966507
the,0.42745697498321533,0.22634266316890717,0.29789501428604126,0.48711544275283813,1.0,0.25985947251319885,0.5107308030128479,0.5091903209686279,0.27058160305023193,0.3376973867416382,1.0,0.18895584344863892,0.6662389636039734,1.0,0.40804702043533325,0.3659466803073883,0.22068053483963013
ball,0.19548681378364563,0.2602619230747223,0.2138069123029709,0.16079293191432953,0.18895584344863892,0.275786429643631,0.1605052351951599,0.2694079577922821,0.3111599087715149,0.0820401981472969,0.18895584344863892,1.0,0.1472199559211731,0.18895584344863892,0.1527126431465149,0.20976915955543518,0.1766241192817688
out,0.3633197546005249,0.24262209236621857,0.20314781367778778,0.28168347477912903,0.39404502511024475,0.19642624258995056,0.39060163497924805,0.45263928174972534,0.2759818434715271,0.30407482385635376,0.39404502511024475,0.25823330879211426,0.3576207756996155,0.39404502511024475,0.2538694739341736,0.2500178813934326,0.22020699083805084
