,in,what,year,did,the,film,also,mention,the,number,of,regenerations,?
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.2824619710445404,0.6021018624305725,0.33270570635795593,1.0,0.35145696997642517,0.733189046382904,0.3302875757217407,0.22068053483963013
serials,0.2872835695743561,0.18016576766967773,0.2481480985879898,0.17428474128246307,0.23020225763320923,0.2820010483264923,0.3175935745239258,0.08821968734264374,0.23020225763320923,0.20049405097961426,0.17553187906742096,0.1773289293050766,0.14029279351234436
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.2824619710445404,0.6021018624305725,0.33270570635795593,1.0,0.35145696997642517,0.733189046382904,0.3302875757217407,0.22068053483963013
deadly,0.2245185375213623,0.21675419807434082,0.18142038583755493,0.2064650058746338,0.25301113724708557,0.1685187965631485,0.32167765498161316,0.1586911380290985,0.25301113724708557,0.2192876935005188,0.20615553855895996,0.24572104215621948,0.1889878809452057
assassin,0.08187278360128403,0.1553346812725067,0.13782881200313568,0.12327065318822861,0.1594233363866806,0.22580908238887787,0.1487492471933365,0.1486898809671402,0.1594233363866806,0.06878960132598877,0.1787603348493576,0.10115673393011093,0.19931939244270325
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.5171257257461548,0.23832054436206818,0.5755972862243652,0.2393445372581482,0.5171257257461548,0.28545793890953064,0.5116966962814331,0.31724977493286133,0.20544172823429108
mawdryn,0.283925861120224,0.22286103665828705,0.19224219024181366,0.19798603653907776,0.25922632217407227,0.25109565258026123,0.28380611538887024,0.19538995623588562,0.25922632217407227,0.13382254540920258,0.22615480422973633,0.29879894852638245,0.2520046532154083
undead,0.20383943617343903,0.2384863644838333,0.12025543302297592,0.16364558041095734,0.2520720362663269,0.21273484826087952,0.28467538952827454,0.1262585073709488,0.2520720362663269,0.19069328904151917,0.22918927669525146,0.33888906240463257,0.1811600774526596
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.5171257257461548,0.23832054436206818,0.5755972862243652,0.2393445372581482,0.5171257257461548,0.28545793890953064,0.5116966962814331,0.31724977493286133,0.20544172823429108
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.2824619710445404,0.6021018624305725,0.33270570635795593,1.0,0.35145696997642517,0.733189046382904,0.3302875757217407,0.22068053483963013
1996,0.07233931124210358,0.1822642683982849,0.06595204025506973,0.24150575697422028,0.10029517859220505,0.020866384729743004,0.09060992300510406,0.21190959215164185,0.10029517859220505,-0.010043860413134098,0.08521515130996704,-0.05274873599410057,0.18022380769252777
tv,0.17989183962345123,0.20700684189796448,0.14549964666366577,0.12035900354385376,0.20034731924533844,0.386470228433609,0.2558206617832184,0.15391504764556885,0.20034731924533844,0.08087913691997528,0.19364769756793976,0.24446921050548553,0.20290863513946533
film,0.22183799743652344,0.17437689006328583,0.22832289338111877,0.17830699682235718,0.2824619710445404,0.9999999403953552,0.21156583726406097,0.2416270226240158,0.2824619710445404,0.07672103494405746,0.22166931629180908,0.08606720715761185,0.16369038820266724
would,0.30461156368255615,0.45766422152519226,0.259968101978302,0.6268245577812195,0.4133751392364502,0.17393293976783752,0.4152511954307556,0.3110603094100952,0.4133751392364502,0.22908863425254822,0.3353942930698395,0.28367215394973755,0.37178951501846313
later,0.40857815742492676,0.2517229914665222,0.27576395869255066,0.38386887311935425,0.4060266613960266,0.191106915473938,0.43133029341697693,0.22619731724262238,0.4060266613960266,0.18204212188720703,0.3458743393421173,0.2909773290157318,0.1417175978422165
establish,0.25682297348976135,0.24999600648880005,0.211636021733284,0.26464948058128357,0.31343501806259155,0.18809379637241364,0.20360763370990753,0.34033873677253723,0.31343501806259155,0.14076146483421326,0.210533007979393,0.17922474443912506,0.21678102016448975
that,0.435920387506485,0.6297725439071655,0.2826407253742218,0.47518548369407654,0.5473989248275757,0.19801650941371918,0.6005857586860657,0.4090583920478821,0.5473989248275757,0.32951247692108154,0.41498205065727234,0.28256961703300476,0.32716336846351624
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.5829201340675354,0.19172197580337524,0.5149940252304077,0.27153486013412476,0.5829201340675354,0.2992287278175354,0.5052502155303955,0.20678666234016418,0.23916715383529663
