,who,got,a,safe,conduct,pass,for,luther,to,come,and,leave,the,event,?
it,0.2868398427963257,0.27055609226226807,0.5452592968940735,0.3072666823863983,0.19537721574306488,0.2256692498922348,0.32171204686164856,0.15365919470787048,0.513711154460907,0.3171003758907318,0.40957894921302795,0.24468719959259033,0.6251175999641418,0.3087007403373718,0.25732165575027466
was,0.3318818509578705,0.4498348534107208,0.4508470594882965,0.21219900250434875,0.19851036369800568,0.1040167361497879,0.3863949179649353,0.19185513257980347,0.3636345863342285,0.1758924275636673,0.3740963041782379,0.18728552758693695,0.48711544275283813,0.28341150283813477,0.18412111699581146
conducted,0.20996502041816711,0.2580844461917877,0.1929338276386261,0.11634832620620728,0.7445974349975586,0.15018463134765625,0.27309373021125793,0.07558629661798477,0.2032870501279831,0.17554731667041779,0.2071675807237625,0.15248307585716248,0.25795331597328186,0.1880192905664444,0.1105341762304306
from,0.27839982509613037,0.3067551553249359,0.322764128446579,0.14722704887390137,0.07924716174602509,0.15817143023014069,0.314039945602417,0.10716932266950607,0.4069952368736267,0.32651904225349426,0.3601827025413513,0.2075231373310089,0.40150508284568787,0.2522880434989929,0.19969791173934937
28,-0.2693743109703064,-0.24376562237739563,-0.21815462410449982,-0.15691515803337097,-0.17683616280555725,-0.14035753905773163,-0.25278711318969727,-0.036179736256599426,-0.2938705086708069,-0.24224232137203217,-0.21765437722206116,-0.192021444439888,-0.31177106499671936,-0.1592535674571991,-0.012856917455792427
january,0.20979668200016022,0.23463699221611023,0.24193190038204193,0.11535876244306564,0.09337292611598969,0.11199367791414261,0.27304044365882874,0.15876203775405884,0.20270398259162903,0.1339631825685501,0.24588775634765625,0.22310766577720642,0.2467057853937149,0.16625645756721497,0.28608936071395874
to,0.42656609416007996,0.22959870100021362,0.45503583550453186,0.3238655924797058,0.2665173411369324,0.28446894884109497,0.4451248347759247,0.18029534816741943,1.0,0.4297197163105011,0.48971283435821533,0.408642441034317,0.535392165184021,0.2585321366786957,0.29463258385658264
25,0.139450341463089,0.21336454153060913,0.12003126740455627,0.08287272602319717,0.16865743696689606,0.07609446346759796,0.16109365224838257,0.15167774260044098,0.12336429208517075,0.053388722240924835,0.10243383049964905,0.1900339424610138,0.1671934723854065,0.11760101467370987,0.09614268690347672
may,0.23082798719406128,0.13615143299102783,0.29255667328834534,0.27274662256240845,0.12548942863941193,0.14037379622459412,0.29255861043930054,0.16082176566123962,0.391582727432251,0.2123441994190216,0.34598252177238464,0.22798486053943634,0.2694292366504669,0.21385762095451355,0.2768254578113556
1521,0.25084468722343445,0.11931972205638885,0.08422686159610748,0.010468277148902416,0.07486234605312347,0.018512871116399765,0.09184954315423965,0.08881302922964096,0.1331201046705246,0.11552941054105759,0.17283309996128082,0.07131807506084442,0.18627284467220306,0.13484139740467072,0.0046399421989917755
",",0.3365725874900818,0.26594072580337524,0.427140474319458,0.26567134261131287,0.19693340361118317,0.22301842272281647,0.4464869201183319,0.23255878686904907,0.44245919585227966,0.350309282541275,0.6633074283599854,0.2779998779296875,0.4933079481124878,0.22701776027679443,0.31091248989105225
with,0.3282766342163086,0.2582400441169739,0.3783375024795532,0.21594853699207306,0.22447605431079865,0.16526761651039124,0.39140474796295166,0.14705438911914825,0.4239959120750427,0.27227720618247986,0.5477725267410278,0.23220542073249817,0.4223487675189972,0.17549638450145721,0.2433311939239502
emperor,0.19567297399044037,0.13393428921699524,0.1662927269935608,0.12253155559301376,0.1766204833984375,0.17479254305362701,0.16987250745296478,0.16576659679412842,0.2257286012172699,0.1551940143108368,0.18361839652061462,0.14098045229911804,0.2871226370334625,0.10917405784130096,0.19661661982536316
charles,0.27103671431541443,0.15384113788604736,0.20142732560634613,0.08613838255405426,0.1022431030869484,0.07728980481624603,0.18664933741092682,0.25534582138061523,0.1563960611820221,0.17953462898731232,0.23640480637550354,0.12610436975955963,0.20777860283851624,0.1424112170934677,0.17366734147071838
v,0.06742344051599503,0.11345059424638748,0.21861357986927032,0.1798297017812729,0.0484112910926342,0.13008548319339752,0.13933385908603668,0.12660114467144012,0.2109750658273697,0.14992354810237885,0.19040757417678833,0.08287270367145538,0.18580520153045654,0.13064692914485931,0.28677162528038025
presiding,0.24317249655723572,0.12311667948961258,0.18864497542381287,0.14565739035606384,0.20297670364379883,0.179180309176445,0.18266896903514862,0.20004107058048248,0.2064446657896042,0.14295285940170288,0.2103288769721985,0.13858073949813843,0.3267684876918793,0.15012070536613464,0.177648663520813
.,0.3541337847709656,0.28717702627182007,0.50484299659729,0.29478102922439575,0.16721296310424805,0.1901644617319107,0.4726039469242096,0.24907569587230682,0.4645031690597534,0.2866859436035156,0.588965117931366,0.30909571051597595,0.5934505462646484,0.2068977802991867,0.4130953550338745
,who,got,a,safe,conduct,pass,for,luther,to,come,and,leave,the,event,?
prince,0.19059205055236816,0.1314227283000946,0.14827799797058105,0.08732644468545914,0.10702774673700333,0.12166573852300644,0.12641793489456177,0.15839099884033203,0.1818697601556778,0.16549700498580933,0.2184920310974121,0.11880695819854736,0.24284426867961884,0.12340475618839264,0.15431542694568634
frederick,0.2823238670825958,0.18242153525352478,0.21006399393081665,0.13235355913639069,0.19686733186244965,0.1445012241601944,0.1579442024230957,0.35359275341033936,0.1936277449131012,0.16349326074123383,0.24556243419647217,0.07707837969064713,0.24321560561656952,0.1410156786441803,0.16359178721904755
iii,0.1920083463191986,0.16526037454605103,0.21403419971466064,0.07578451186418533,0.13981252908706665,0.07330302149057388,0.07769075036048889,0.20502203702926636,0.1442069709300995,0.12497184425592422,0.21456755697727203,0.10783421993255615,0.18552400171756744,0.10102692991495132,0.13642357289791107
",",0.3365725874900818,0.26594072580337524,0.427140474319458,0.26567134261131287,0.19693340361118317,0.22301842272281647,0.4464869201183319,0.23255878686904907,0.44245919585227966,0.350309282541275,0.6633074283599854,0.2779998779296875,0.4933079481124878,0.22701776027679443,0.31091248989105225
elector,0.32356366515159607,0.20641104876995087,0.2362654209136963,0.12483730912208557,0.13443845510482788,0.14314405620098114,0.16252367198467255,0.23163655400276184,0.24809673428535461,0.1761118620634079,0.24820923805236816,0.13013820350170135,0.22412441670894623,0.1497058868408203,0.18877160549163818
of,0.2827862501144409,0.2380109280347824,0.5052502155303955,0.19918018579483032,0.22399970889091492,0.18302802741527557,0.4185989499092102,0.1719115972518921,0.41548454761505127,0.3194141983985901,0.5116966962814331,0.22741928696632385,0.733189046382904,0.19878064095973969,0.1826142966747284
saxony,0.20023468136787415,0.21160390973091125,0.18074512481689453,0.11398201435804367,0.11017408967018127,0.14400574564933777,0.1045217365026474,0.2548035979270935,0.17982617020606995,0.14237023890018463,0.22855228185653687,0.10875850170850754,0.27077290415763855,0.1392175555229187,0.17603406310081482
",",0.3365725874900818,0.26594072580337524,0.427140474319458,0.26567134261131287,0.19693340361118317,0.22301842272281647,0.4464869201183319,0.23255878686904907,0.44245919585227966,0.350309282541275,0.6633074283599854,0.2779998779296875,0.4933079481124878,0.22701776027679443,0.31091248989105225
obtained,0.1461256444454193,0.2566584646701813,0.27235308289527893,0.15621903538703918,0.2272597700357437,0.19849467277526855,0.2933777868747711,0.07002934068441391,0.2367737591266632,0.21369723975658417,0.26858818531036377,0.14856112003326416,0.2607382833957672,0.1711789220571518,0.10347618907690048
a,0.36608949303627014,0.2347145676612854,1.0,0.2723674178123474,0.2023347169160843,0.19894953072071075,0.44038116931915283,0.17967689037322998,0.45503583550453186,0.23267972469329834,0.3739250600337982,0.25682857632637024,0.5829201340675354,0.2635729908943176,0.23916715383529663
safe,0.2745269536972046,0.14520947635173798,0.2723674178123474,0.9999998807907104,0.13202661275863647,0.17263153195381165,0.3391197919845581,0.09050223976373672,0.3238655924797058,0.20933838188648224,0.3030400574207306,0.2749824821949005,0.30060911178588867,0.13629965484142303,0.1838974803686142
conduct,0.18785615265369415,0.13689810037612915,0.2023347169160843,0.13202661275863647,0.9999999403953552,0.14520496129989624,0.2898896038532257,0.10556571185588837,0.2665173411369324,0.19831906259059906,0.2281462550163269,0.18231070041656494,0.24627962708473206,0.14755943417549133,0.10856030136346817
for,0.37110671401023865,0.293374627828598,0.44038116931915283,0.3391197919845581,0.2898896038532257,0.2026006579399109,0.9999999403953552,0.12958186864852905,0.4451248347759247,0.2792086601257324,0.5064792633056641,0.277763694524765,0.4739971458911896,0.21648059785366058,0.264628142118454
luther,0.21013082563877106,0.16498324275016785,0.17967689037322998,0.09050223976373672,0.10556571185588837,0.10061439126729965,0.12958186864852905,1.0,0.18029534816741943,0.12220790237188339,0.20796556770801544,0.0717516764998436,0.1759674996137619,0.12294711917638779,0.1732746809720993
to,0.42656609416007996,0.22959870100021362,0.45503583550453186,0.3238655924797058,0.2665173411369324,0.28446894884109497,0.4451248347759247,0.18029534816741943,1.0,0.4297197163105011,0.48971283435821533,0.408642441034317,0.535392165184021,0.2585321366786957,0.29463258385658264
and,0.41279885172843933,0.28609535098075867,0.3739250600337982,0.3030400574207306,0.2281462550163269,0.2433357536792755,0.5064792633056641,0.20796556770801544,0.48971283435821533,0.3412281572818756,1.0,0.2462838888168335,0.5171257257461548,0.17869816720485687,0.20544172823429108
