,what,did,martin,'s,father,view,his,entering,the,cloister,as,a,waste,of,?
his,0.26976513862609863,0.3546801507472992,0.23498685657978058,0.047556519508361816,0.5241755247116089,0.1316186636686325,0.9999998807907104,0.23782870173454285,0.4394008219242096,0.2713569104671478,0.3146366477012634,0.3497250974178314,0.1386047750711441,0.38364991545677185,0.18075084686279297
father,0.21527598798274994,0.3227277100086212,0.20439139008522034,0.029256420210003853,1.0,0.06803255528211594,0.5241755247116089,0.1647547483444214,0.24010279774665833,0.2756114900112152,0.2646642327308655,0.22525158524513245,0.08642489463090897,0.22142449021339417,0.14826634526252747
was,0.22111038863658905,0.41399896144866943,0.2089129239320755,0.008974763564765453,0.3492507338523865,0.1727466583251953,0.4405253231525421,0.2288406491279602,0.48711544275283813,0.17797516286373138,0.3677520453929901,0.4508470594882965,0.12059122323989868,0.4069072902202606,0.18412111699581146
furious,0.23172801733016968,0.24301466345787048,0.15122857689857483,0.0007297427509911358,0.2437894642353058,0.025100382044911385,0.3268034756183624,0.13384823501110077,0.2583010196685791,0.20003660023212433,0.20693321526050568,0.2038840651512146,0.24872909486293793,0.1786048710346222,0.1803043633699417
over,0.28007611632347107,0.2535076439380646,0.16296763718128204,0.016215575858950615,0.14462615549564362,0.18479067087173462,0.3031150996685028,0.268261194229126,0.39856547117233276,0.16976706683635712,0.3506779670715332,0.32199642062187195,0.2999365031719208,0.36136594414711,0.25742942094802856
what,0.9999998807907104,0.4259131848812103,0.14814218878746033,0.02692362666130066,0.21527598798274994,0.2818201184272766,0.26976513862609863,0.22441062331199646,0.42745697498321533,0.193972647190094,0.31749409437179565,0.3320399522781372,0.28944942355155945,0.33290785551071167,0.5051238536834717
he,0.3114890456199646,0.3292143940925598,0.24538953602313995,0.024063590914011,0.4997532367706299,0.14745047688484192,0.7171558737754822,0.21255019307136536,0.4571082592010498,0.25457534193992615,0.33787044882774353,0.4393508732318878,0.10279597342014313,0.38706058263778687,0.2089974731206894
saw,0.24788837134838104,0.4446955919265747,0.14571735262870789,0.04767860472202301,0.21067003905773163,0.1980784684419632,0.282370001077652,0.181523859500885,0.318278044462204,0.13283920288085938,0.2733803391456604,0.2244260609149933,0.1397448033094406,0.28204935789108276,0.14690998196601868
as,0.31749409437179565,0.3596470057964325,0.13608874380588531,-0.05775856226682663,0.2646642327308655,0.13756150007247925,0.3146366477012634,0.2199222296476364,0.48381632566452026,0.22126305103302002,1.0,0.39550232887268066,0.22749654948711395,0.3886612355709076,0.27043893933296204
a,0.3320399522781372,0.2552328109741211,0.2163310945034027,0.04866964742541313,0.22525158524513245,0.22168859839439392,0.3497250974178314,0.2490699291229248,0.5829201340675354,0.23783649504184723,0.39550232887268066,1.0,0.1976010948419571,0.5052502155303955,0.23916715383529663
waste,0.28944942355155945,0.17621275782585144,0.02503640204668045,0.0417659729719162,0.08642489463090897,0.12821513414382935,0.1386047750711441,0.22325067222118378,0.1971915364265442,0.1739441603422165,0.22749654948711395,0.1976010948419571,1.0,0.256231427192688,0.299444317817688
of,0.33290785551071167,0.2513895630836487,0.13722093403339386,-0.03817026689648628,0.22142449021339417,0.21446028351783752,0.38364991545677185,0.33436477184295654,0.733189046382904,0.2938269376754761,0.3886612355709076,0.5052502155303955,0.256231427192688,1.0,0.1826142966747284
luther,0.2134782373905182,0.23667675256729126,0.6228963136672974,-0.009990512393414974,0.2816010117530823,0.14754484593868256,0.27093374729156494,0.05814351141452789,0.1759674996137619,0.24050062894821167,0.20242992043495178,0.17967689037322998,0.09892361611127853,0.1719115972518921,0.1732746809720993
's,0.02692362666130066,0.05069678649306297,0.07599356025457382,0.9999999403953552,0.029256420210003853,0.08296377211809158,0.047556519508361816,0.06124681606888771,-0.01540423184633255,-0.038920823484659195,-0.05775856226682663,0.04866964742541313,0.0417659729719162,-0.03817026689648628,-0.023395681753754616
education,0.19940856099128723,0.19762296974658966,0.13499704003334045,0.0036171283572912216,0.2518174350261688,0.19073699414730072,0.26743069291114807,0.1742638796567917,0.23982903361320496,0.2311526983976364,0.2414141446352005,0.21779850125312805,0.12801812589168549,0.3015166223049164,0.18067774176597595
.,0.3567904531955719,0.35288307070732117,0.25235527753829956,-0.003708066651597619,0.2509099841117859,0.23733025789260864,0.3119256794452667,0.24007031321525574,0.5934505462646484,0.17695780098438263,0.515582263469696,0.50484299659729,0.2470894604921341,0.5352458953857422,0.4130953550338745
