,what,medical,treatment,is,used,to,benefit,patients,with,hearth,and,lung,disorders,?
treatment,0.27640530467033386,0.5462606549263,0.9999999403953552,0.20538249611854553,0.27069607377052307,0.28204283118247986,0.26092642545700073,0.6488603353500366,0.22086894512176514,0.15792948007583618,0.2541726231575012,0.3174329102039337,0.466394305229187,0.20314443111419678
not,0.5449194312095642,0.23406864702701569,0.3213420808315277,0.3776007890701294,0.358921617269516,0.5149973034858704,0.39115750789642334,0.32967960834503174,0.3409014642238617,0.21590164303779602,0.39099299907684326,0.12710243463516235,0.29886382818222046,0.41942933201789856
only,0.41415658593177795,0.23871541023254395,0.27982625365257263,0.44708555936813354,0.36452993750572205,0.5096819996833801,0.31038859486579895,0.26509153842926025,0.367427259683609,0.22510254383087158,0.4542345404624939,0.1658819168806076,0.1986820101737976,0.2767370045185089
increases,0.23849372565746307,0.15623363852500916,0.2850499749183655,0.24743452668190002,0.26817086338996887,0.3197665810585022,0.3835259974002838,0.2856309115886688,0.2766038775444031,0.2445933073759079,0.2800044119358063,0.1956258863210678,0.28833940625190735,0.10270863026380539
oxygen,0.16781960427761078,0.21443094313144684,0.27587392926216125,0.21825239062309265,0.21276918053627014,0.24193501472473145,0.252072811126709,0.3845818340778351,0.200663760304451,0.3365829288959503,0.22261030972003937,0.3408856987953186,0.25141847133636475,0.16786395013332367
levels,0.21641245484352112,0.14986777305603027,0.19348406791687012,0.2141042947769165,0.20486204326152802,0.29053324460983276,0.21309113502502441,0.3004505932331085,0.21957921981811523,0.16411232948303223,0.2956688106060028,0.13712231814861298,0.27877309918403625,0.1541307419538498
in,0.30808621644973755,0.25996583700180054,0.21588237583637238,0.5394441485404968,0.3090210556983948,0.45010748505592346,0.17319905757904053,0.21461397409439087,0.4080928862094879,0.20198340713977814,0.4954058527946472,0.23266126215457916,0.24260658025741577,0.20430970191955566
the,0.42745697498321533,0.2398311346769333,0.2350214421749115,0.5823672413825989,0.3718377649784088,0.535392165184021,0.24974633753299713,0.22047552466392517,0.4223487675189972,0.31164729595184326,0.5171257257461548,0.19767263531684875,0.23239798843860626,0.22068053483963013
patient,0.3135989308357239,0.4959510266780853,0.5821473002433777,0.23460286855697632,0.19620540738105774,0.2912805676460266,0.2787705361843109,0.8348241448402405,0.2506621479988098,0.2711220681667328,0.24569113552570343,0.32672494649887085,0.3974786698818207,0.24355199933052063
's,0.02692362666130066,-0.0763290598988533,-0.014997802674770355,0.02396530658006668,0.00600846204906702,0.03782717138528824,-0.00956084206700325,-0.06520899385213852,-0.04624466598033905,0.1151384562253952,0.06895173341035843,-0.02870197407901287,-0.11091610044240952,-0.023395681753754616
blood,0.15800324082374573,0.2740160822868347,0.3243677616119385,0.18016870319843292,0.1565084457397461,0.226680189371109,0.18495799601078033,0.3760720193386078,0.16979560256004333,0.34869375824928284,0.2636592388153076,0.3484116792678833,0.25283485651016235,0.156274676322937
",",0.3087472915649414,0.2597777843475342,0.2413949966430664,0.4691906273365021,0.3120402991771698,0.44245919585227966,0.26083990931510925,0.1795148104429245,0.4120737314224243,0.2322099357843399,0.6633074283599854,0.3468642234802246,0.2126695066690445,0.31091248989105225
but,0.5029441118240356,0.2562651038169861,0.3202105164527893,0.4106791317462921,0.3391169309616089,0.5542377829551697,0.3243771195411682,0.31124040484428406,0.4495173394680023,0.2569717466831207,0.5762497186660767,0.19106797873973846,0.24279870092868805,0.27921953797340393
has,0.20338068902492523,0.1678176373243332,0.20207342505455017,0.5668748617172241,0.23367926478385925,0.3619994819164276,0.24811552464962006,0.18696948885917664,0.44092974066734314,0.138227179646492,0.43716782331466675,0.19210536777973175,0.16746456921100616,0.15994466841220856
the,0.42745697498321533,0.2398311346769333,0.2350214421749115,0.5823672413825989,0.3718377649784088,0.535392165184021,0.24974633753299713,0.22047552466392517,0.4223487675189972,0.31164729595184326,0.5171257257461548,0.19767263531684875,0.23239798843860626,0.22068053483963013
secondary,0.20388361811637878,0.2760310173034668,0.16622567176818848,0.19772830605506897,0.22066541016101837,0.27947136759757996,0.09502352029085159,0.12024279683828354,0.21208807826042175,0.0835539698600769,0.25317713618278503,0.16350239515304565,0.16100607812404633,0.18118004500865936
effect,0.2546532452106476,0.15749987959861755,0.3288293182849884,0.17614969611167908,0.24049019813537598,0.2521958649158478,0.29666292667388916,0.25397631525993347,0.2349119931459427,0.18654976785182953,0.23508284986019135,0.18962959945201874,0.2744518220424652,0.1783771812915802
of,0.33290785551071167,0.2826511859893799,0.2632577419281006,0.4854315221309662,0.3075267970561981,0.41548454761505127,0.20703035593032837,0.1887446492910385,0.41827285289764404,0.2551323175430298,0.5116966962814331,0.2046266794204712,0.2104933112859726,0.1826142966747284
decreasing,0.21141842007637024,0.20388883352279663,0.3104221224784851,0.22444209456443787,0.29016900062561035,0.308460533618927,0.33561649918556213,0.3233150243759155,0.21629150211811066,0.22335535287857056,0.2700826823711395,0.21915516257286072,0.3136957585811615,0.06217806041240692
