,what,group,specifically,opposed,the,huguenots,?
the,0.42745697498321533,0.30795547366142273,0.3760298490524292,0.24302934110164642,1.0,0.30745792388916016,0.22068053483963013
catholic,0.1882777214050293,0.08744741231203079,0.1580279916524887,0.2655843198299408,0.26391419768333435,0.47188425064086914,0.16609853506088257
church,0.1944202184677124,0.14028063416481018,0.17089109122753143,0.1724339723587036,0.23846197128295898,0.3784845769405365,0.18081501126289368
in,0.30808621644973755,0.2304753065109253,0.2524903118610382,0.21999825537204742,0.6662389636039734,0.25916293263435364,0.20430970191955566
france,0.17793065309524536,0.17536911368370056,0.15413719415664673,0.1388862282037735,0.35517507791519165,0.44966813921928406,0.15069349110126495
and,0.31309178471565247,0.3510662019252777,0.25041860342025757,0.2606690526008606,0.5171257257461548,0.28783127665519714,0.20544172823429108
many,0.36131182312965393,0.2776661217212677,0.31414106488227844,0.2935362756252289,0.4335206151008606,0.27507859468460083,0.2124512493610382
of,0.33290785551071167,0.25542253255844116,0.24232523143291473,0.25387564301490784,0.733189046382904,0.27577435970306396,0.1826142966747284
its,0.30393704771995544,0.2008703351020813,0.2663140296936035,0.16889849305152893,0.559237003326416,0.22170418500900269,0.15103481709957123
members,0.16873176395893097,0.481466144323349,0.13900043070316315,0.2395397424697876,0.3321719169616699,0.27230414748191833,0.10212311148643494
opposed,0.35573211312294006,0.19414107501506805,0.2885446846485138,1.0,0.24302934110164642,0.28386273980140686,0.23428945243358612
the,0.42745697498321533,0.30795547366142273,0.3760298490524292,0.24302934110164642,1.0,0.30745792388916016,0.22068053483963013
huguenots,0.22128188610076904,0.16665033996105194,0.1626272052526474,0.28386273980140686,0.30745792388916016,1.0,0.16010338068008423
.,0.3567904531955719,0.27268800139427185,0.22534097731113434,0.2417098730802536,0.5934505462646484,0.2170230895280838,0.4130953550338745
