,where,do,other,tourist,events,happen,in,victoria,outside,of,melbourne,?
most,0.3678402900695801,0.31522849202156067,0.4585079252719879,0.2802533507347107,0.21035604178905487,0.2740233540534973,0.41416558623313904,0.13849598169326782,0.26764848828315735,0.4178851246833801,0.16011807322502136,0.2107497900724411
of,0.38066378235816956,0.26150479912757874,0.38583824038505554,0.26708054542541504,0.20782610774040222,0.23650258779525757,0.5696388483047485,0.2505437433719635,0.2973117530345917,1.0,0.1963735967874527,0.1826142966747284
these,0.380450963973999,0.4402875602245331,0.6478539705276489,0.1798003911972046,0.321793794631958,0.43782371282577515,0.3791837692260742,0.1516883671283722,0.3060399293899536,0.42684608697891235,0.1656351387500763,0.2571668326854706
events,0.24275709688663483,0.15302862226963043,0.2375173419713974,0.2396085411310196,1.0000001192092896,0.3292981684207916,0.2690284550189972,0.14404162764549255,0.21429240703582764,0.20782610774040222,0.2518872618675232,0.09835197776556015
are,0.32389864325523376,0.41111594438552856,0.5932393670082092,0.20633454620838165,0.21850600838661194,0.39283937215805054,0.3841303884983063,0.16939106583595276,0.30540841817855835,0.39081433415412903,0.17143335938453674,0.24591213464736938
centred,0.26510217785835266,0.18206369876861572,0.2427099496126175,0.29336124658584595,0.19387687742710114,0.17400093376636505,0.2857823073863983,0.200055792927742,0.2664366066455841,0.3396137058734894,0.21073344349861145,0.11918678879737854
on,0.37630224227905273,0.3025321364402771,0.3410046398639679,0.21888981759548187,0.17586995661258698,0.24566106498241425,0.46853652596473694,0.17229951918125153,0.3252089023590088,0.3966929316520691,0.24488289654254913,0.2714994251728058
melbourne,0.2236383557319641,0.08516959846019745,0.1973540037870407,0.1781800389289856,0.2518872618675232,0.12689200043678284,0.21059004962444305,0.5566045641899109,0.1976112425327301,0.1963735967874527,1.0,0.09101688116788864
",",0.3149496018886566,0.3283645510673523,0.4446498453617096,0.2069557160139084,0.16838376224040985,0.25441640615463257,0.5201468467712402,0.2279360294342041,0.2726076543331146,0.4946078956127167,0.18849031627178192,0.31091248989105225
but,0.49101024866104126,0.4077886939048767,0.5185769200325012,0.13627731800079346,0.24114838242530823,0.4060423672199249,0.48674455285072327,0.19563165307044983,0.3534865379333496,0.39942997694015503,0.1895758956670761,0.27921953797340393
others,0.30222856998443604,0.3561740517616272,0.5860985517501831,0.17108771204948425,0.1834830790758133,0.2382958084344864,0.3167906701564789,0.1199166551232338,0.24904468655586243,0.2793974280357361,0.16412033140659332,0.26705288887023926
occur,0.2437029927968979,0.32126864790916443,0.293745756149292,0.19164586067199707,0.29666754603385925,0.6170995235443115,0.26916563510894775,0.14855988323688507,0.23034347593784332,0.24223870038986206,0.0815097913146019,0.17999543249607086
in,0.5344807505607605,0.23402775824069977,0.39989137649536133,0.28369420766830444,0.2690284550189972,0.2613373398780823,1.0,0.20823122560977936,0.4191201329231262,0.5696388483047485,0.21059004962444305,0.20430970191955566
regional,0.1369638741016388,0.13285666704177856,0.279509037733078,0.2866086959838867,0.16951191425323486,0.1546262949705124,0.2730329930782318,0.1630449742078781,0.20844371616840363,0.2853882610797882,0.18386906385421753,0.09246466308832169
cities,0.22392518818378448,0.1663556694984436,0.27904778718948364,0.2942546010017395,0.19696645438671112,0.13109463453292847,0.32293570041656494,0.13038216531276703,0.24999910593032837,0.29528072476387024,0.16646355390548706,0.13339310884475708
",",0.3149496018886566,0.3283645510673523,0.4446498453617096,0.2069557160139084,0.16838376224040985,0.25441640615463257,0.5201468467712402,0.2279360294342041,0.2726076543331146,0.4946078956127167,0.18849031627178192,0.31091248989105225
such,0.3198639750480652,0.337398886680603,0.6041211485862732,0.15232273936271667,0.23595838248729706,0.28402069211006165,0.2704046070575714,0.1613425463438034,0.3055402934551239,0.3209529519081116,0.15443404018878937,0.17851735651493073
as,0.35409465432167053,0.38329678773880005,0.42805421352386475,0.175170436501503,0.1924285739660263,0.17092487215995789,0.3887844979763031,0.19515912234783173,0.28646576404571533,0.3886612355709076,0.1892150193452835,0.27043893933296204
the,0.5003893971443176,0.30239659547805786,0.44152235984802246,0.29490065574645996,0.3102840185165405,0.2880464494228363,0.6662389636039734,0.2204313427209854,0.3879719078540802,0.733189046382904,0.2464369535446167,0.22068053483963013
v8,-0.03368230164051056,-0.03711104020476341,0.0015564949717372656,-0.04993019625544548,0.0038753014523535967,-0.049700263887643814,-0.0336674302816391,-0.004571571480482817,-0.05031454563140869,-0.05658968910574913,-0.008330725133419037,0.047641854733228683
supercars,0.17343048751354218,0.146759033203125,0.15956951677799225,0.14160244166851044,0.25732335448265076,0.22356590628623962,0.2369680404663086,0.18830373883247375,0.16932478547096252,0.20483990013599396,0.18248197436332703,0.20461143553256989
and,0.43859338760375977,0.276123583316803,0.5504306554794312,0.19150754809379578,0.2040661722421646,0.23779208958148956,0.4954058527946472,0.24507255852222443,0.31803378462791443,0.5116966962814331,0.22872792184352875,0.20544172823429108
australian,0.16993862390518188,0.11671853065490723,0.17116284370422363,0.12408670037984848,0.17491553723812103,0.07273634523153305,0.1796053647994995,0.42558738589286804,0.15849001705646515,0.19989325106143951,0.5590357780456543,0.10848008096218109
motorcycle,0.10102182626724243,0.13086305558681488,0.17178975045681,0.25088098645210266,0.20788349211215973,0.12213276326656342,0.18782666325569153,0.12555348873138428,0.15188968181610107,0.15058059990406036,0.18818378448486328,0.14399020373821259
grand,0.14345501363277435,0.09433818608522415,0.1289597451686859,0.18586815893650055,0.2269672155380249,0.11403359472751617,0.24767720699310303,0.18386131525039673,0.15891090035438538,0.27195852994918823,0.1769104152917862,0.1168735921382904
prix,0.1409372240304947,0.11754972487688065,0.12896543741226196,0.1909128576517105,0.25767219066619873,0.1558418720960617,0.22003301978111267,0.1318833827972412,0.15799126029014587,0.18659725785255432,0.1622963845729828,0.13354827463626862
at,0.4402937591075897,0.1511090099811554,0.24329762160778046,0.1739274114370346,0.25329744815826416,0.23348276317119598,0.4374977946281433,0.19641181826591492,0.29160594940185547,0.42558613419532776,0.2636062502861023,0.21978627145290375
