,what,kind,of,electricity,was,tesla,investigating,?
tesla,0.23221199214458466,0.20704586803913116,0.18837453424930573,0.37243616580963135,0.16455206274986267,0.9999999403953552,0.18551458418369293,0.10250775516033173
investigated,0.20849284529685974,0.14842523634433746,0.21427537500858307,0.1568748950958252,0.25214648246765137,0.15654635429382324,0.8735681772232056,0.12763407826423645
atmospheric,0.2079145908355713,0.12845191359519958,0.25383174419403076,0.36496061086654663,0.17251721024513245,0.2062859833240509,0.23986124992370605,0.11404281854629517
electricity,0.20851419866085052,0.24145881831645966,0.22897469997406006,0.9999999403953552,0.19055983424186707,0.37243616580963135,0.19635915756225586,0.17856204509735107
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2550862729549408,0.45456063747406006,0.20599327981472015,0.26774662733078003,0.31091248989105225
observing,0.31068339943885803,0.22697928547859192,0.27750861644744873,0.21906636655330658,0.19064471125602722,0.13462238013744354,0.3252962529659271,0.17418181896209717
lightning,0.22733277082443237,0.19180729985237122,0.17370189726352692,0.36874833703041077,0.22042222321033478,0.21396644413471222,0.13361229002475739,0.1768351048231125
signals,0.2608519196510315,0.23559540510177612,0.20960435271263123,0.4019218683242798,0.11312504857778549,0.2646845281124115,0.21819955110549927,0.09948804974555969
via,0.16736915707588196,0.08810988813638687,0.1293322592973709,0.16613736748695374,0.1762484461069107,0.1094459593296051,0.15624482929706573,0.19443516433238983
his,0.26976513862609863,0.18263587355613708,0.38364991545677185,0.2324238121509552,0.4405253231525421,0.1580733060836792,0.2667815089225769,0.18075084686279297
receivers,0.17180560529232025,0.15037979185581207,0.21253548562526703,0.38823285698890686,0.2130018174648285,0.2600756287574768,0.14919981360435486,0.11676301807165146
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.24271675944328308,0.40146201848983765,0.17949827015399933,0.28353002667427063,0.4130953550338745
