,what,is,the,land,area,of,jacksonville,?
according,0.2776208221912384,0.2838992476463318,0.3202974498271942,0.19996756315231323,0.19655753672122955,0.3307822346687317,0.15883150696754456,0.21173474192619324
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.2885280251502991,0.2797197997570038,0.41548454761505127,0.1994343250989914,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.28587454557418823,0.37834644317626953,0.733189046382904,0.2176690250635147,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.34367692470550537,0.17883537709712982,0.24972930550575256,0.3187655806541443,0.303199827671051,0.17266890406608582
states,0.21526020765304565,0.21939043700695038,0.3463578522205353,0.19012081623077393,0.2400316596031189,0.30884552001953125,0.31034567952156067,0.16272737085819244
census,0.2061002552509308,0.18403194844722748,0.2524987757205963,0.18913723528385162,0.3549148142337799,0.19615516066551208,0.29302671551704407,0.12548218667507172
bureau,0.183439701795578,0.19418226182460785,0.26302388310432434,0.2443130761384964,0.35888001322746277,0.23669974505901337,0.27147698402404785,0.12716132402420044
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22220008075237274,0.2664283812046051,0.4946078956127167,0.2837527096271515,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.28587454557418823,0.37834644317626953,0.733189046382904,0.2176690250635147,0.22068053483963013
city,0.17493832111358643,0.3186660706996918,0.35769423842430115,0.20410305261611938,0.41959723830223083,0.32503411173820496,0.3285287022590637,0.13423943519592285
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.20803382992744446,0.3084876537322998,0.3909035325050354,0.22732819616794586,0.15994466841220856
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.247930645942688,0.2782127559185028,0.5052502155303955,0.28008249402046204,0.23916715383529663
total,0.19850242137908936,0.18159881234169006,0.27068960666656494,0.2987608015537262,0.3428669273853302,0.29045331478118896,0.17370817065238953,0.14396025240421295
area,0.21965408325195312,0.29283958673477173,0.37834644317626953,0.46885520219802856,1.0,0.3409860134124756,0.24562028050422668,0.12640461325645447
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3057127296924591,0.3409860134124756,1.0,0.23084138333797455,0.1826142966747284
874.3,0.0023283001501113176,0.0432247519493103,0.10538707673549652,0.0838823914527893,0.0891168937087059,0.1886035054922104,0.16713900864124298,0.19054587185382843
square,0.12660330533981323,0.2405121773481369,0.2809545397758484,0.24449965357780457,0.40021806955337524,0.2585134208202362,0.20270118117332458,0.1201515942811966
miles,0.1893789917230606,0.22951029241085052,0.25706055760383606,0.295170396566391,0.37248730659484863,0.2263605147600174,0.32191842794418335,0.09363767504692078
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.15432493388652802,0.18064655363559723,0.35032153129577637,0.1611778438091278,0.40561532974243164
"2,264",0.10701489448547363,0.058416228741407394,0.06893735378980637,0.19897125661373138,0.1783374845981598,0.09156601130962372,0.13810299336910248,-0.014952811412513256
km2,0.35075643658638,0.27590033411979675,0.2664898931980133,0.32658857107162476,0.40115779638290405,0.23789449036121368,0.14103271067142487,0.20544767379760742
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1601184755563736,0.18319392204284668,0.3680361211299896,0.16729915142059326,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22220008075237274,0.2664283812046051,0.4946078956127167,0.2837527096271515,0.31091248989105225
making,0.30777570605278015,0.3214159309864044,0.35185980796813965,0.1716519296169281,0.15245851874351501,0.3250596821308136,0.16560453176498413,0.2539324164390564
jacksonville,0.14578714966773987,0.1726600080728531,0.2176690250635147,0.1483359932899475,0.24562028050422668,0.23084138333797455,1.0000001192092896,0.1359667330980301
the,0.42745697498321533,0.5823672413825989,1.0,0.28587454557418823,0.37834644317626953,0.733189046382904,0.2176690250635147,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.191390261054039,0.3564985394477844,0.36650770902633667,0.1861613392829895,0.12401245534420013
city,0.17493832111358643,0.3186660706996918,0.35769423842430115,0.20410305261611938,0.41959723830223083,0.32503411173820496,0.3285287022590637,0.13423943519592285
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.22871792316436768,0.33632898330688477,0.5696388483047485,0.22147351503372192,0.20430970191955566
land,0.23411516845226288,0.22457899153232574,0.28587454557418823,1.0000001192092896,0.46885520219802856,0.3057127296924591,0.1483359932899475,0.1432059109210968
area,0.21965408325195312,0.29283958673477173,0.37834644317626953,0.46885520219802856,1.0,0.3409860134124756,0.24562028050422668,0.12640461325645447
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.22871792316436768,0.33632898330688477,0.5696388483047485,0.22147351503372192,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.28587454557418823,0.37834644317626953,0.733189046382904,0.2176690250635147,0.22068053483963013
contiguous,0.3197333812713623,0.3395845592021942,0.3270845413208008,0.24970228970050812,0.333593487739563,0.33367928862571716,0.19371800124645233,0.220851868391037
united,0.20036718249320984,0.22408509254455566,0.34367692470550537,0.17883537709712982,0.24972930550575256,0.3187655806541443,0.303199827671051,0.17266890406608582
states,0.21526020765304565,0.21939043700695038,0.3463578522205353,0.19012081623077393,0.2400316596031189,0.30884552001953125,0.31034567952156067,0.16272737085819244
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.06994622200727463,0.019157549366354942,0.054534342139959335,0.021351194009184837,0.10349778085947037
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3057127296924591,0.3409860134124756,1.0,0.23084138333797455,0.1826142966747284
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.24134407937526703,0.27175459265708923,0.45148900151252747,0.16077223420143127,0.3155723512172699
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22220008075237274,0.2664283812046051,0.4946078956127167,0.2837527096271515,0.31091248989105225
86.66,-0.11489082872867584,0.01590815745294094,0.04464389756321907,0.004742887802422047,0.0006864445749670267,0.13925451040267944,0.07814453542232513,-0.20504017174243927
%,0.20738190412521362,0.18672586977481842,0.21490740776062012,0.2065422385931015,0.2375744730234146,0.19953428208827972,0.14513275027275085,0.21441808342933655
