,what,other,doctrines,did,luther,disavow,about,saints,?
this,0.5489566326141357,0.43044695258140564,0.24435338377952576,0.3609912693500519,0.17328955233097076,0.3746703863143921,0.3886062204837799,0.15042608976364136,0.3155723512172699
also,0.42747777700424194,0.5326101183891296,0.25637492537498474,0.39334940910339355,0.22154976427555084,0.3119206428527832,0.32894372940063477,0.23771795630455017,0.21848613023757935
led,0.12112844735383987,0.22128096222877502,0.18709608912467957,0.3213953971862793,0.1441332846879959,0.2420327365398407,0.21595770120620728,0.1222756877541542,0.09273858368396759
luther,0.2134782373905182,0.18881922960281372,0.3006906807422638,0.23667675256729126,1.0,0.27051934599876404,0.203048437833786,0.17173054814338684,0.1732746809720993
to,0.455847829580307,0.4193183183670044,0.20410943031311035,0.4452643394470215,0.18029534816741943,0.3338503837585449,0.391953706741333,0.1799524873495102,0.29463258385658264
reject,0.2971072494983673,0.24156808853149414,0.3490886390209198,0.29856154322624207,0.18928870558738708,0.32278186082839966,0.17729006707668304,0.17601269483566284,0.21545763313770294
the,0.42745697498321533,0.44152235984802246,0.2412298023700714,0.34736719727516174,0.1759674996137619,0.30338254570961,0.37995871901512146,0.22267529368400574,0.22068053483963013
idea,0.44512778520584106,0.2856239676475525,0.36512717604637146,0.3689729869365692,0.19878339767456055,0.321244478225708,0.31409743428230286,0.10529432445764542,0.2952161729335785
of,0.33290785551071167,0.38583824038505554,0.2524394392967224,0.2513895630836487,0.1719115972518921,0.3279503583908081,0.40939709544181824,0.2700014114379883,0.1826142966747284
torments,0.30273523926734924,0.2821948230266571,0.3164955973625183,0.2920691668987274,0.23582744598388672,0.33147865533828735,0.22723336517810822,0.29101312160491943,0.17883889377117157
for,0.3017193675041199,0.3273986279964447,0.16154825687408447,0.318512886762619,0.12958186864852905,0.23589959740638733,0.3312419354915619,0.1933131366968155,0.264628142118454
the,0.42745697498321533,0.44152235984802246,0.2412298023700714,0.34736719727516174,0.1759674996137619,0.30338254570961,0.37995871901512146,0.22267529368400574,0.22068053483963013
saints,0.20729289948940277,0.18775126338005066,0.36050930619239807,0.14291644096374512,0.17173054814338684,0.21673926711082458,0.11055954545736313,1.0,0.1782425343990326
