,who,expounded,the,three,laws,of,motion,?
these,0.34544891119003296,0.36135923862457275,0.49086877703666687,0.462976336479187,0.32678869366645813,0.42684608697891235,0.2205866575241089,0.2571668326854706
were,0.3188014328479767,0.30954402685165405,0.3906462490558624,0.38429051637649536,0.2774597406387329,0.34038281440734863,0.14214712381362915,0.17890112102031708
all,0.3698336184024811,0.31353411078453064,0.4860881567001343,0.3989922106266022,0.28742867708206177,0.42798417806625366,0.21164080500602722,0.29575422406196594
formulated,0.17321036756038666,0.34616702795028687,0.2888638973236084,0.18145817518234253,0.3828209936618805,0.29343387484550476,0.22781607508659363,0.17216148972511292
and,0.41279885172843933,0.328782856464386,0.5171257257461548,0.3826501965522766,0.290377676486969,0.5116966962814331,0.2186078429222107,0.20544172823429108
experimentally,0.3152608871459961,0.3465748727321625,0.21841154992580414,0.11987364292144775,0.21765613555908203,0.14767448604106903,0.18538227677345276,0.18957597017288208
verified,0.2195677012205124,0.3126195967197418,0.21752820909023285,0.1542755514383316,0.14733178913593292,0.1795356571674347,0.08867549896240234,0.3340679705142975
before,0.31244513392448425,0.20751351118087769,0.45900648832321167,0.2563847005367279,0.18644191324710846,0.3282964527606964,0.15312421321868896,0.2507109045982361
isaac,0.23285824060440063,0.13016429543495178,0.15343432128429413,0.1161220371723175,0.3109795153141022,0.16408409178256989,0.2971844971179962,0.1153682991862297
newton,0.19243690371513367,0.13659730553627014,0.1876603662967682,0.18185727298259735,0.360447496175766,0.18479612469673157,0.3923175632953644,0.09645649790763855
expounded,0.27109360694885254,0.9999998807907104,0.30951830744743347,0.22652897238731384,0.20864157378673553,0.26520082354545593,0.12784522771835327,0.2458798885345459
his,0.44966956973075867,0.24085146188735962,0.4394008219242096,0.2982024848461151,0.22580213844776154,0.38364991545677185,0.2059025764465332,0.18075084686279297
three,0.2491552233695984,0.22652897238731384,0.43452659249305725,1.0,0.20802350342273712,0.3844621181488037,0.19566360116004944,0.20928427577018738
laws,0.30102699995040894,0.20864157378673553,0.2587076723575592,0.20802350342273712,1.0,0.2539142072200775,0.33198657631874084,0.17911791801452637
of,0.2827862501144409,0.26520082354545593,0.733189046382904,0.3844621181488037,0.2539142072200775,1.0,0.24864931404590607,0.1826142966747284
motion,0.1509658545255661,0.12784522771835327,0.30530840158462524,0.19566360116004944,0.33198657631874084,0.24864931404590607,0.9999999403953552,0.20143945515155792
.,0.3541337847709656,0.30528175830841064,0.5934505462646484,0.34968629479408264,0.2222834676504135,0.5352458953857422,0.20181286334991455,0.4130953550338745
