,who,served,his,dinner,?
tesla,0.1520961970090866,0.06776043027639389,0.1580733060836792,0.09326346218585968,0.10250775516033173
would,0.3632977604866028,0.18124152719974518,0.292866975069046,0.17516230046749115,0.37178951501846313
telephone,0.24893492460250854,0.11670857667922974,0.1185268759727478,0.1612120270729065,0.13201479613780975
his,0.44966956973075867,0.22699904441833496,0.9999998807907104,0.264519602060318,0.18075084686279297
dinner,0.2489246129989624,0.3436448276042938,0.264519602060318,1.0000001192092896,0.2127307951450348
order,0.226639986038208,0.09648847579956055,0.18186849355697632,0.1041150838136673,0.13725648820400238
to,0.42656609416007996,0.13321098685264587,0.3715193271636963,0.1574382483959198,0.29463258385658264
the,0.3733934462070465,0.25209251046180725,0.4394008219242096,0.22098013758659363,0.22068053483963013
headwaiter,0.318114310503006,0.29947003722190857,0.28059273958206177,0.43896013498306274,0.2641434669494629
",",0.3365725874900818,0.2739005386829376,0.3378419280052185,0.2346692681312561,0.31091248989105225
who,0.9999998807907104,0.19309519231319427,0.44966956973075867,0.2489246129989624,0.26220351457595825
also,0.47919341921806335,0.2396877110004425,0.38173818588256836,0.19746245443820953,0.21848613023757935
could,0.33540013432502747,0.11766288429498672,0.24824443459510803,0.13409259915351868,0.3411986827850342
be,0.3371641933917999,0.16036882996559143,0.21738691627979279,0.20239870250225067,0.3324260413646698
the,0.3733934462070465,0.25209251046180725,0.4394008219242096,0.22098013758659363,0.22068053483963013
only,0.4202229380607605,0.16004319489002228,0.3256984353065491,0.1660236418247223,0.2767370045185089
one,0.40083858370780945,0.16785596311092377,0.3774510324001312,0.17453141510486603,0.2673267424106598
to,0.42656609416007996,0.13321098685264587,0.3715193271636963,0.1574382483959198,0.29463258385658264
serve,0.2677389681339264,0.634300947189331,0.19427727162837982,0.2771434187889099,0.19925682246685028
him,0.5491244792938232,0.12571357190608978,0.6629161238670349,0.33611640334129333,0.23943768441677094
.,0.3541337847709656,0.2476729303598404,0.3119256794452667,0.21702586114406586,0.4130953550338745
