,what,happened,with,the,ground,water,level,with,the,rhine,straightening,program,?
the,0.42745697498321533,0.3589572608470917,0.4223487675189972,1.0,0.25776049494743347,0.297396719455719,0.31442487239837646,0.4223487675189972,1.0,0.30735138058662415,0.28836721181869507,0.22986935079097748,0.22068053483963013
rate,0.21845893561840057,0.19680972397327423,0.12391091138124466,0.24881242215633392,0.17300821840763092,0.22790531814098358,0.26853781938552856,0.12391091138124466,0.24881242215633392,0.16369813680648804,0.26312220096588135,0.15429748594760895,0.1308269053697586
of,0.33290785551071167,0.30501094460487366,0.41827285289764404,0.733189046382904,0.22660790383815765,0.2741255462169647,0.23504668474197388,0.41827285289764404,0.733189046382904,0.2548927664756775,0.22229816019535065,0.17376001179218292,0.1826142966747284
flow,0.1798735409975052,0.14493627846240997,0.08951380848884583,0.314039409160614,0.1224122941493988,0.4377398192882538,0.25538530945777893,0.08951380848884583,0.314039409160614,0.20253489911556244,0.3598649203777313,0.2015431970357895,0.10458291321992874
was,0.22111038863658905,0.36671528220176697,0.27411898970603943,0.48711544275283813,0.17532029747962952,0.18750394880771637,0.12130098044872284,0.27411898970603943,0.48711544275283813,0.18681856989860535,0.1475522369146347,0.1849333792924881,0.18412111699581146
increased,0.1599731743335724,0.22765471041202545,0.2477453649044037,0.3188653886318207,0.1880415380001068,0.2613234519958496,0.29156818985939026,0.2477453649044037,0.3188653886318207,0.139802023768425,0.30165913701057434,0.16633938252925873,0.09587585180997849
and,0.31309178471565247,0.22602374851703644,0.5477725267410278,0.5171257257461548,0.25497177243232727,0.3054247498512268,0.29463574290275574,0.5477725267410278,0.5171257257461548,0.22029656171798706,0.3069630563259125,0.24895258247852325,0.20544172823429108
the,0.42745697498321533,0.3589572608470917,0.4223487675189972,1.0,0.25776049494743347,0.297396719455719,0.31442487239837646,0.4223487675189972,1.0,0.30735138058662415,0.28836721181869507,0.22986935079097748,0.22068053483963013
ground,0.20688746869564056,0.241159588098526,0.213706374168396,0.25776049494743347,1.0,0.4186556935310364,0.26239004731178284,0.213706374168396,0.25776049494743347,0.20447061955928802,0.28502553701400757,0.1520429104566574,0.11401822417974472
water,0.17456887662410736,0.14305701851844788,0.20542247593402863,0.297396719455719,0.4186556935310364,0.9999998807907104,0.21333207190036774,0.20542247593402863,0.297396719455719,0.18943050503730774,0.3207791745662689,0.1555223912000656,0.14731885492801666
level,0.27376922965049744,0.1518222689628601,0.23348768055438995,0.31442487239837646,0.26239004731178284,0.21333207190036774,0.9999998807907104,0.23348768055438995,0.31442487239837646,0.17357029020786285,0.19683614373207092,0.26392319798469543,0.20528386533260345
fell,0.1721644401550293,0.294899582862854,0.254834920167923,0.2598440647125244,0.236129492521286,0.19844967126846313,0.11351584643125534,0.254834920167923,0.2598440647125244,0.24172356724739075,0.18215903639793396,0.06449815630912781,0.13107693195343018
significantly,0.2746123671531677,0.17789877951145172,0.3235640525817871,0.3313288986682892,0.20397548377513885,0.17634674906730652,0.2748434543609619,0.3235640525817871,0.3313288986682892,0.12487909197807312,0.2646843492984772,0.14455682039260864,0.1823679804801941
.,0.3567904531955719,0.29012542963027954,0.4446153938770294,0.5934505462646484,0.23109398782253265,0.26634910702705383,0.26056769490242004,0.4446153938770294,0.5934505462646484,0.2089352011680603,0.25162386894226074,0.18964338302612305,0.4130953550338745
