,who,is,the,chair,of,the,ipcc,?
korean,0.19757816195487976,0.17704179883003235,0.2349277287721634,0.07398156076669693,0.21011142432689667,0.2349277287721634,0.16890355944633484,0.1996629685163498
economist,0.21729455888271332,0.17990195751190186,0.1439521312713623,0.22728799283504486,0.1498451977968216,0.1439521312713623,0.3874005973339081,0.15311987698078156
hoesung,0.24642856419086456,0.18896232545375824,0.21284906566143036,0.19869638979434967,0.23086979985237122,0.21284906566143036,0.14634950459003448,0.2586725950241089
lee,0.23078079521656036,0.11468371748924255,0.16821028292179108,0.0810370221734047,0.15092487633228302,0.16821028292179108,0.14212244749069214,0.19113655388355255
is,0.24293622374534607,1.0,0.5823672413825989,0.14992809295654297,0.4854315221309662,0.5823672413825989,0.15563958883285522,0.22961433231830597
the,0.3733934462070465,0.5823672413825989,1.0,0.1899619996547699,0.733189046382904,1.0,0.24925659596920013,0.22068053483963013
chair,0.204286128282547,0.14992809295654297,0.1899619996547699,0.9999999403953552,0.20146237313747406,0.1899619996547699,0.2737242877483368,0.12348068505525589
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.20146237313747406,1.0,0.733189046382904,0.20174051821231842,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,1.0,0.1899619996547699,0.733189046382904,1.0,0.24925659596920013,0.22068053483963013
ipcc,0.21932992339134216,0.15563958883285522,0.24925659596920013,0.2737242877483368,0.20174051821231842,0.24925659596920013,1.0000001192092896,0.22295254468917847
since,0.27765995264053345,0.3567592203617096,0.4054957628250122,0.1660415679216385,0.35513219237327576,0.4054957628250122,0.22629745304584503,0.2876587212085724
october,0.2386598140001297,0.24397309124469757,0.2621108889579773,0.11962179839611053,0.20846129953861237,0.2621108889579773,0.17292173206806183,0.29706719517707825
8,0.001927281147800386,-0.08846429735422134,0.0063715726137161255,0.05542066693305969,0.03280399739742279,0.0063715726137161255,-0.06688617914915085,-0.04056251794099808
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.13867062330245972,0.4946078956127167,0.4933079481124878,0.15590040385723114,0.31091248989105225
2015,0.0437915064394474,0.04366588220000267,0.1466771513223648,0.015126904472708702,0.21138253808021545,0.1466771513223648,-0.0086481012403965,-0.029954981058835983
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.13867062330245972,0.4946078956127167,0.4933079481124878,0.15590040385723114,0.31091248989105225
following,0.1758657693862915,0.21705439686775208,0.39779382944107056,0.08674050122499466,0.3576679527759552,0.39779382944107056,0.20098789036273956,0.1555173695087433
the,0.3733934462070465,0.5823672413825989,1.0,0.1899619996547699,0.733189046382904,1.0,0.24925659596920013,0.22068053483963013
election,0.24774396419525146,0.16769170761108398,0.22873377799987793,0.27082559466362,0.23051156103610992,0.22873377799987793,0.25631093978881836,0.23105260729789734
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.20146237313747406,1.0,0.733189046382904,0.20174051821231842,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,1.0,0.1899619996547699,0.733189046382904,1.0,0.24925659596920013,0.22068053483963013
new,0.2378052920103073,0.2208656519651413,0.3845241069793701,0.09257187694311142,0.343457967042923,0.3845241069793701,0.14209727942943573,0.14782847464084625
ipcc,0.21932992339134216,0.15563958883285522,0.24925659596920013,0.2737242877483368,0.20174051821231842,0.24925659596920013,1.0000001192092896,0.22295254468917847
bureau,0.18711698055267334,0.19418226182460785,0.26302388310432434,0.19787561893463135,0.23669974505901337,0.26302388310432434,0.33826562762260437,0.12716132402420044
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.1565769910812378,0.5352458953857422,0.5934505462646484,0.20098818838596344,0.4130953550338745
