,who,were,the,semuren,?
although,0.3003382384777069,0.29094749689102173,0.3265823423862457,0.1450384110212326,0.15541206300258636
the,0.3733934462070465,0.3906462490558624,1.0,0.26426753401756287,0.22068053483963013
traditional,0.21787117421627045,0.26198744773864746,0.25703898072242737,0.1744728982448578,0.1327509582042694
chinese,0.2538459002971649,0.22925853729248047,0.2785343527793884,0.19021259248256683,0.20843194425106049
elite,0.2540200650691986,0.2653488516807556,0.2274247258901596,0.2487916350364685,0.0737992525100708
were,0.3188014328479767,1.0000001192092896,0.3906462490558624,0.21067874133586884,0.17890112102031708
not,0.369414746761322,0.33318549394607544,0.4310511648654938,0.1490950584411621,0.41942933201789856
given,0.3104628920555115,0.25531911849975586,0.37508252263069153,0.14464104175567627,0.2570464313030243
their,0.3767721951007843,0.43277356028556824,0.516537070274353,0.135192409157753,0.1898253709077835
share,0.22441379725933075,0.24851489067077637,0.249948650598526,0.17955638468265533,0.1754547506570816
of,0.2827862501144409,0.34038281440734863,0.733189046382904,0.2591366767883301,0.1826142966747284
power,0.25855374336242676,0.18395109474658966,0.2647338807582855,0.1297944039106369,0.15304024517536163
",",0.3365725874900818,0.36755475401878357,0.4933079481124878,0.34874722361564636,0.31091248989105225
the,0.3733934462070465,0.3906462490558624,1.0,0.26426753401756287,0.22068053483963013
mongols,0.2709572911262512,0.3104121685028076,0.310281366109848,0.2622649669647217,0.11517509818077087
and,0.41279885172843933,0.42175528407096863,0.5171257257461548,0.2606388330459595,0.20544172823429108
the,0.3733934462070465,0.3906462490558624,1.0,0.26426753401756287,0.22068053483963013
semuren,0.23524394631385803,0.21067874133586884,0.26426753401756287,0.9999999403953552,0.22126834094524384
(,0.2443375140428543,0.14743882417678833,0.33289089798927307,0.3569832742214203,0.40561532974243164
various,0.21537287533283234,0.34943774342536926,0.3235042691230774,0.09620535373687744,0.12823495268821716
allied,0.21010679006576538,0.3310331106185913,0.3092154562473297,0.23440808057785034,0.1341097056865692
groups,0.25027307868003845,0.3214126229286194,0.27790749073028564,0.10879842191934586,0.14349548518657684
from,0.27839982509613037,0.29991888999938965,0.40150508284568787,0.1955651491880417,0.19969791173934937
central,0.14618510007858276,0.16558948159217834,0.3417201042175293,0.25360235571861267,0.14787602424621582
asia,0.21031607687473297,0.19481784105300903,0.2838890850543976,0.21439649164676666,0.1340748518705368
and,0.41279885172843933,0.42175528407096863,0.5171257257461548,0.2606388330459595,0.20544172823429108
the,0.3733934462070465,0.3906462490558624,1.0,0.26426753401756287,0.22068053483963013
western,0.2089514136314392,0.22601988911628723,0.37920868396759033,0.2514815926551819,0.17439141869544983
end,0.15423893928527832,0.199965700507164,0.39658910036087036,0.16009920835494995,0.12543344497680664
of,0.2827862501144409,0.34038281440734863,0.733189046382904,0.2591366767883301,0.1826142966747284
the,0.3733934462070465,0.3906462490558624,1.0,0.26426753401756287,0.22068053483963013
empire,0.18977859616279602,0.25456157326698303,0.32532164454460144,0.282120943069458,0.14909450709819794
),0.2457384318113327,0.1566188633441925,0.3456730246543884,0.35246849060058594,0.42300865054130554
largely,0.17741906642913818,0.32203736901283264,0.34641584753990173,0.14822424948215485,0.08185246586799622
remained,0.18943379819393158,0.3956226706504822,0.3492392301559448,0.16128268837928772,0.08263323456048965
strangers,0.30421391129493713,0.26713573932647705,0.2193896472454071,0.12653064727783203,0.20539045333862305
to,0.42656609416007996,0.31913647055625916,0.535392165184021,0.184014230966568,0.29463258385658264
the,0.3733934462070465,0.3906462490558624,1.0,0.26426753401756287,0.22068053483963013
mainstream,0.2113107591867447,0.21714235842227936,0.2199859768152237,0.1297774314880371,0.15872372686862946
chinese,0.2538459002971649,0.22925853729248047,0.2785343527793884,0.19021259248256683,0.20843194425106049
culture,0.13897232711315155,0.19326214492321014,0.27157285809516907,0.14747680723667145,0.13093146681785583
",",0.3365725874900818,0.36755475401878357,0.4933079481124878,0.34874722361564636,0.31091248989105225
and,0.41279885172843933,0.42175528407096863,0.5171257257461548,0.2606388330459595,0.20544172823429108
this,0.3345087468624115,0.25469228625297546,0.6274310946464539,0.13378804922103882,0.3155723512172699
dichotomy,0.17226743698120117,0.10165241360664368,0.22676178812980652,0.2496863305568695,0.2257034331560135
gave,0.22712452709674835,0.32821545004844666,0.32555076479911804,0.16302938759326935,0.1910865753889084
the,0.3733934462070465,0.3906462490558624,1.0,0.26426753401756287,0.22068053483963013
yuan,0.20351146161556244,0.19657303392887115,0.2548272907733917,0.30458730459213257,0.12871281802654266
regime,0.2413771003484726,0.22712816298007965,0.23305538296699524,0.17706340551376343,0.15561191737651825
a,0.36608949303627014,0.17203083634376526,0.5829201340675354,0.26929959654808044,0.23916715383529663
somewhat,0.19545090198516846,0.20725058019161224,0.24373650550842285,0.15837633609771729,0.23247024416923523
strong,0.2281126081943512,0.17177429795265198,0.22482411563396454,0.1054164469242096,0.11990999430418015
``,0.02397952415049076,0.006090171169489622,0.029072100296616554,0.09957937896251678,0.0685480609536171
colonial,0.1865430623292923,0.26826655864715576,0.2715741693973541,0.19518965482711792,0.10191229730844498
'',0.024401003494858742,0.007215402089059353,0.041273195296525955,0.025640979409217834,0.018684765323996544
coloration,0.15150539577007294,0.18971852958202362,0.3513317406177521,0.18805594742298126,0.2208055555820465
.,0.3541337847709656,0.3378238379955292,0.5934505462646484,0.3218706250190735,0.4130953550338745
