,who,is,the,sole,governing,authority,capable,of,initiating,legislative,proposals,?
this,0.3345087468624115,0.480927973985672,0.6274310946464539,0.2594543993473053,0.21665966510772705,0.21339759230613708,0.24954760074615479,0.45148900151252747,0.3483646810054779,0.19996248185634613,0.3922118842601776,0.3155723512172699
means,0.22125157713890076,0.4087343215942383,0.32225894927978516,0.17968937754631042,0.1878160685300827,0.17496925592422485,0.2891596257686615,0.29942914843559265,0.20761454105377197,0.1893654316663742,0.16884711384773254,0.21233566105365753
that,0.45444270968437195,0.3995479643344879,0.5473989248275757,0.2199683040380478,0.20442156493663788,0.29481130838394165,0.3044392168521881,0.41498205065727234,0.3191169500350952,0.2155666947364807,0.303214430809021,0.32716336846351624
the,0.3733934462070465,0.5823672413825989,1.0,0.29708948731422424,0.3302684724330902,0.2645063102245331,0.18860051035881042,0.733189046382904,0.33843520283699036,0.27501925826072693,0.2984413504600525,0.22068053483963013
commission,0.15008439123630524,0.19761666655540466,0.24418850243091583,0.11682301759719849,0.4039348363876343,0.43067866563796997,0.15714463591575623,0.2698368728160858,0.3155723512172699,0.3781234920024872,0.31897905468940735,0.16231559216976166
has,0.2558172643184662,0.5668748617172241,0.4177538752555847,0.160915806889534,0.17174626886844635,0.17477209866046906,0.17225517332553864,0.3909035325050354,0.1971450299024582,0.14951680600643158,0.21223624050617218,0.15994466841220856
a,0.36608949303627014,0.658733606338501,0.5829201340675354,0.2166326642036438,0.22193856537342072,0.21713398396968842,0.23905758559703827,0.5052502155303955,0.2778148651123047,0.23537522554397583,0.24198690056800842,0.23916715383529663
monopoly,0.22732922434806824,0.2046811431646347,0.21333852410316467,0.22150935232639313,0.32341185212135315,0.30461645126342773,0.1960439831018448,0.23683126270771027,0.23206979036331177,0.25248974561691284,0.27242082357406616,0.1011270210146904
on,0.2340552806854248,0.3635730445384979,0.5107308030128479,0.20267841219902039,0.17905057966709137,0.17171882092952728,0.17904417216777802,0.3966929316520691,0.2671825885772705,0.16444751620292664,0.27595654129981995,0.2714994251728058
initiating,0.2198127955198288,0.14307579398155212,0.33843520283699036,0.13994969427585602,0.3217741847038269,0.2811138331890106,0.24144266545772552,0.3090760409832001,1.0000001192092896,0.28056737780570984,0.37502068281173706,0.19326087832450867
