,ctenophores,and,cnidarians,are,classified,as,what,?
hence,0.24149483442306519,0.2663238048553467,0.2888561487197876,0.2660268545150757,0.2170955240726471,0.2840132713317871,0.31971827149391174,0.23041710257530212
ctenophores,1.0,0.20973104238510132,0.7293581366539001,0.35426098108291626,0.3224104940891266,0.23381571471691132,0.2505159080028534,0.2054179310798645
and,0.20973104238510132,1.0,0.27171704173088074,0.48576638102531433,0.19425830245018005,0.49487000703811646,0.31309178471565247,0.20544172823429108
cnidarians,0.7293581366539001,0.27171704173088074,1.0,0.41210123896598816,0.34479081630706787,0.23463699221611023,0.2743885815143585,0.18796975910663605
have,0.3612369894981384,0.4711785912513733,0.42581048607826233,0.6577680706977844,0.2995854318141937,0.37788212299346924,0.39808809757232666,0.32991164922714233
traditionally,0.18179850280284882,0.3186349868774414,0.25516435503959656,0.3667009174823761,0.28960588574409485,0.3660774230957031,0.22366398572921753,0.10789176821708679
been,0.18695539236068726,0.3424558639526367,0.22035329043865204,0.4703826308250427,0.27332448959350586,0.3975982367992401,0.2567804455757141,0.24354910850524902
labelled,0.26243695616722107,0.24595041573047638,0.2788953483104706,0.3025302290916443,0.328162282705307,0.2574884593486786,0.2833840548992157,0.1919785439968109
diploblastic,0.45978090167045593,0.24941784143447876,0.4397607147693634,0.2566336989402771,0.22960777580738068,0.2560466527938843,0.24005676805973053,0.22586658596992493
",",0.19362998008728027,0.6633074283599854,0.20915824174880981,0.4062570035457611,0.26173529028892517,0.48816442489624023,0.3087472915649414,0.31091248989105225
along,0.17224366962909698,0.4213258922100067,0.17550979554653168,0.28655800223350525,0.14382468163967133,0.31813573837280273,0.22421957552433014,0.17134909331798553
with,0.17838598787784576,0.5477725267410278,0.2120993435382843,0.38996943831443787,0.1754152923822403,0.40387406945228577,0.2464839518070221,0.2433311939239502
sponges,0.6263673901557922,0.23735865950584412,0.6077606081962585,0.4059130549430847,0.2723052501678467,0.2095397412776947,0.22694312036037445,0.20355616509914398
.,0.22269779443740845,0.588965117931366,0.2486179620027542,0.3452940285205841,0.22738878428936005,0.515582263469696,0.3567904531955719,0.4130953550338745
,ctenophores,and,cnidarians,are,classified,as,what,?
like,0.3509560823440552,0.46997135877609253,0.3467676341533661,0.4686352014541626,0.27295032143592834,0.4175155460834503,0.4320242702960968,0.3268813192844391
sponges,0.6263673901557922,0.23735865950584412,0.6077606081962585,0.4059130549430847,0.2723052501678467,0.2095397412776947,0.22694312036037445,0.20355616509914398
and,0.20973104238510132,1.0,0.27171704173088074,0.48576638102531433,0.19425830245018005,0.49487000703811646,0.31309178471565247,0.20544172823429108
cnidarians,0.7293581366539001,0.27171704173088074,1.0,0.41210123896598816,0.34479081630706787,0.23463699221611023,0.2743885815143585,0.18796975910663605
