,when,did,the,eleventh,doctor,appear,in,the,sarah,jane,series,?
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.29234778881073,0.25567495822906494,0.2517908811569214,1.0,0.6662389636039734,0.15720313787460327,0.21115761995315552,0.2914260923862457,0.20430970191955566
2010,0.1552559733390808,0.29398393630981445,0.31722962856292725,0.022845067083835602,0.06750862300395966,0.16153918206691742,0.2692960798740387,0.31722962856292725,0.15355892479419708,0.06831499189138412,0.03148118034005165,0.21232788264751434
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.25195062160491943,0.20407600700855255,0.28874364495277405,0.5201468467712402,0.4933079481124878,0.25581565499305725,0.26553842425346375,0.24060699343681335,0.31091248989105225
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.24836570024490356,0.22883038222789764,0.2526538372039795,0.539380669593811,0.5829201340675354,0.16850237548351288,0.2211165726184845,0.23966510593891144,0.23916715383529663
further,0.2538713812828064,0.216647207736969,0.32531118392944336,0.14640922844409943,0.10967762768268585,0.19125643372535706,0.233941450715065,0.32531118392944336,0.16846461594104767,0.13732023537158966,0.12352839857339859,0.20960763096809387
such,0.27679547667503357,0.24497397243976593,0.3575236201286316,0.08639275282621384,0.1368570774793625,0.33007684350013733,0.2704046070575714,0.3575236201286316,0.06412091106176376,0.046202726662158966,0.19144901633262634,0.17851735651493073
appearance,0.22544918954372406,0.21570497751235962,0.2678116261959076,0.21540993452072144,0.2350926250219345,0.5648785829544067,0.26000332832336426,0.2678116261959076,0.14647074043750763,0.18107536435127258,0.32171887159347534,0.17315366864204407
featured,0.13644278049468994,0.2333149015903473,0.28660184144973755,0.22239597141742706,0.16105584800243378,0.36224818229675293,0.2658694386482239,0.28660184144973755,0.19242267310619354,0.1944885551929474,0.3595673739910126,0.2944096624851227
matt,0.15275970101356506,0.15835079550743103,0.18786512315273285,0.2928430736064911,0.195547953248024,0.07477590441703796,0.14907358586788177,0.18786512315273285,0.26554691791534424,0.15836326777935028,0.2524152994155884,0.11641338467597961
smith,0.2326573133468628,0.1837799847126007,0.24611686170101166,0.2206416130065918,0.2512682378292084,0.15125606954097748,0.20223411917686462,0.24611686170101166,0.30190718173980713,0.351829469203949,0.1771525889635086,0.21930724382400513
as,0.4437963366508484,0.3596470057964325,0.48381632566452026,0.19966347515583038,0.17422905564308167,0.32869234681129456,0.3887844979763031,0.48381632566452026,0.1525762379169464,0.17059101164340973,0.2641415596008301,0.27043893933296204
the,0.5091903209686279,0.34736719727516174,1.0,0.3663412928581238,0.2820442318916321,0.3581200838088989,0.6662389636039734,1.0,0.22388771176338196,0.18294748663902283,0.31376904249191284,0.22068053483963013
