,preschool,targest,what,age,children,?
preschool,1.0000001192092896,0.20529958605766296,0.2599947154521942,0.2564449608325958,0.4596373438835144,0.18582090735435486
",",0.245544895529747,0.2980647385120392,0.3087472915649414,0.2693369388580322,0.28531143069267273,0.31091248989105225
which,0.24943125247955322,0.2984491288661957,0.5261979103088379,0.1620659977197647,0.1595885455608368,0.25814583897590637
targets,0.2348991334438324,0.5876948237419128,0.1900707483291626,0.17180179059505463,0.23230388760566711,0.17795707285404205
children,0.4596373438835144,0.24954408407211304,0.22469459474086761,0.3325749635696411,1.0,0.21788206696510315
from,0.18598352372646332,0.24050043523311615,0.2737620174884796,0.2786767780780792,0.17079515755176544,0.19969791173934937
age,0.2564449608325958,0.18335790932178497,0.1895245760679245,0.9999998807907104,0.3325749635696411,0.16859300434589386
three,0.1888115257024765,0.17281945049762726,0.24888746440410614,0.18630221486091614,0.24682357907295227,0.20928427577018738
to,0.27896252274513245,0.23648443818092346,0.455847829580307,0.23830388486385345,0.23135778307914734,0.29463258385658264
five,0.20415033400058746,0.20043082535266876,0.18688078224658966,0.2151055485010147,0.21360938251018524,0.18342848122119904
",",0.245544895529747,0.2980647385120392,0.3087472915649414,0.2693369388580322,0.28531143069267273,0.31091248989105225
is,0.23256751894950867,0.32066610455513,0.28837618231773376,0.17962174117565155,0.15495672821998596,0.22961433231830597
an,0.19869190454483032,0.21284522116184235,0.2821882665157318,0.17451614141464233,0.0938095897436142,0.19793890416622162
integral,0.15870770812034607,0.12049109488725662,0.25464048981666565,0.1060323491692543,0.10227885842323303,0.1463361233472824
component,0.15914832055568695,0.21155895292758942,0.19980107247829437,0.10118315368890762,0.016678551211953163,0.14409896731376648
of,0.18266068398952484,0.3353900611400604,0.33290785551071167,0.2372717410326004,0.1978350728750229,0.1826142966747284
the,0.221901074051857,0.39886513352394104,0.42745697498321533,0.24711290001869202,0.15654058754444122,0.22068053483963013
education,0.4657595753669739,0.20600055158138275,0.19940856099128723,0.2708311676979065,0.35413798689842224,0.18067774176597595
system,0.14865072071552277,0.1973392814397812,0.23557309806346893,0.11681437492370605,0.06224684417247772,0.15556083619594574
and,0.2497885525226593,0.26465559005737305,0.31309178471565247,0.20936404168605804,0.2624970078468323,0.20544172823429108
is,0.23256751894950867,0.32066610455513,0.28837618231773376,0.17962174117565155,0.15495672821998596,0.22961433231830597
a,0.26152539253234863,0.23961086571216583,0.3320399522781372,0.19297243654727936,0.12013130635023117,0.23916715383529663
key,0.13666197657585144,0.1437046229839325,0.2270265817642212,0.06853292882442474,0.054485663771629333,0.18782930076122284
requirement,0.20839619636535645,0.1813899427652359,0.3455283045768738,0.23007738590240479,0.12451810389757156,0.3024540841579437
for,0.23049373924732208,0.20320259034633636,0.3017193675041199,0.23129768669605255,0.19934585690498352,0.264628142118454
admission,0.40364357829093933,0.2282143235206604,0.29061800241470337,0.1509120911359787,0.1820322722196579,0.19312289357185364
to,0.27896252274513245,0.23648443818092346,0.455847829580307,0.23830388486385345,0.23135778307914734,0.29463258385658264
standard,0.17668087780475616,0.16641628742218018,0.22809998691082,0.11844154447317123,0.08528170734643936,0.17029257118701935
one,0.2391320765018463,0.375353068113327,0.376489520072937,0.18903999030590057,0.225452721118927,0.2673267424106598
(,0.16481421887874603,0.18873187899589539,0.2411840260028839,0.14561709761619568,0.17159132659435272,0.40561532974243164
first,0.2221665233373642,0.32247334718704224,0.28086137771606445,0.2268694043159485,0.17286105453968048,0.18701928853988647
grade,0.3898729383945465,0.1720551699399948,0.20697078108787537,0.2508246898651123,0.23506005108356476,0.12344983220100403
),0.17665976285934448,0.19333705306053162,0.26259949803352356,0.16737043857574463,0.17289341986179352,0.42300865054130554
.,0.26025423407554626,0.23957136273384094,0.3567904531955719,0.2498820275068283,0.26089367270469666,0.4130953550338745
