,at,which,level,of,education,is,this,sport,becoming,more,popular,?
rugby,0.18030089139938354,0.2071422040462494,0.19653445482254028,0.1578499972820282,0.11061445623636246,0.1589912325143814,0.162519633769989,0.32340237498283386,0.10452069342136383,0.18945159018039703,0.11365598440170288,0.026534482836723328
is,0.25906258821487427,0.4457404911518097,0.24803997576236725,0.4854315221309662,0.18778188526630402,1.0,0.480927973985672,0.1922176480293274,0.3209705054759979,0.2946030795574188,0.30144429206848145,0.22961433231830597
also,0.36980849504470825,0.6566565632820129,0.2818152606487274,0.4924938678741455,0.23276391625404358,0.5012649297714233,0.5539565086364746,0.23100067675113678,0.3299058675765991,0.40204599499702454,0.3531818091869354,0.21848613023757935
a,0.3095070421695709,0.56894451379776,0.21346178650856018,0.5052502155303955,0.21779850125312805,0.658733606338501,0.5422310829162598,0.2169417291879654,0.3309323191642761,0.3452818691730499,0.2756339907646179,0.23916715383529663
growing,0.15241709351539612,0.2895609140396118,0.14393635094165802,0.3095463812351227,0.16591401398181915,0.2603529095649719,0.312069296836853,0.13872277736663818,0.3768993616104126,0.3068521320819855,0.24073465168476105,0.10178618133068085
sport,0.19157294929027557,0.212212473154068,0.18603768944740295,0.17918744683265686,0.24200594425201416,0.1922176480293274,0.17847701907157898,0.9999999403953552,0.1445033848285675,0.20182238519191742,0.2954590320587158,0.0972188338637352
in,0.4374977946281433,0.4840516746044159,0.279204785823822,0.5696388483047485,0.2654339671134949,0.5394441485404968,0.45205554366111755,0.2268456369638443,0.2425609976053238,0.32563260197639465,0.3157482445240021,0.20430970191955566
southern,0.23545321822166443,0.2648681700229645,0.12957242131233215,0.31933003664016724,0.11975428462028503,0.2419366091489792,0.20097827911376953,0.15053148567676544,0.2070145457983017,0.13608552515506744,0.1939951330423355,0.11225555837154388
california,0.256734162569046,0.17128102481365204,0.15650886297225952,0.24929828941822052,0.2536044418811798,0.20727038383483887,0.19330458343029022,0.10210076719522476,0.18462762236595154,0.15166103839874268,0.19769582152366638,0.1409905105829239
",",0.38314947485923767,0.3658004403114319,0.23317520320415497,0.4946078956127167,0.2718683183193207,0.4691906273365021,0.4316047728061676,0.1842397302389145,0.33168935775756836,0.3696524500846863,0.2819201350212097,0.31091248989105225
particularly,0.19909445941448212,0.4413786828517914,0.1666940599679947,0.30258041620254517,0.21593768894672394,0.3122353255748749,0.41060465574264526,0.18074201047420502,0.28944191336631775,0.4343746304512024,0.36924323439598083,0.2644225060939789
at,1.0,0.3286694884300232,0.24496568739414215,0.42558613419532776,0.22585788369178772,0.25906258821487427,0.32544323801994324,0.19157294929027557,0.19560034573078156,0.2627858817577362,0.11804749071598053,0.21978627145290375
the,0.457212895154953,0.6521818041801453,0.31442487239837646,0.733189046382904,0.23982903361320496,0.5823672413825989,0.6274310946464539,0.15650692582130432,0.333665668964386,0.39758381247520447,0.2724021077156067,0.22068053483963013
high,0.2874184250831604,0.25426656007766724,0.39304521679878235,0.2803038954734802,0.32903406023979187,0.2383800595998764,0.23107047379016876,0.1464349627494812,0.1845621019601822,0.19636082649230957,0.21958932280540466,0.11137914657592773
school,0.3177914023399353,0.19108018279075623,0.21516968309879303,0.2391800880432129,0.5861870050430298,0.19488026201725006,0.1667502373456955,0.15312936902046204,0.11292047053575516,0.1141543760895729,0.16682542860507965,0.15091250836849213
