,how,many,pd,rings,are,there,?
next,0.24492809176445007,0.17440924048423767,0.024625297635793686,0.12043394148349762,0.13767699897289276,0.27865931391716003,0.167460098862648
",",0.22659391164779663,0.40610817074775696,0.24401408433914185,0.21637700498104095,0.4062570035457611,0.4587128460407257,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.12370072305202484,0.2546970844268799,0.40399202704429626,0.47025805711746216,0.22068053483963013
two,0.2499001920223236,0.5147606730461121,0.12049634009599686,0.2710493803024292,0.46276170015335083,0.40416133403778076,0.19645625352859497
plastid-dividing,0.3241896331310272,0.3825460374355316,0.17459720373153687,0.28536078333854675,0.4325936436653137,0.37539103627204895,0.22113782167434692
rings,0.1915077418088913,0.20735269784927368,0.027383439242839813,0.9999999403953552,0.24929514527320862,0.19230705499649048,0.09448361396789551
",",0.22659391164779663,0.40610817074775696,0.24401408433914185,0.21637700498104095,0.4062570035457611,0.4587128460407257,0.31091248989105225
or,0.3378981947898865,0.36905089020729065,0.1828758269548416,0.20123659074306488,0.5374364256858826,0.4594070315361023,0.32389625906944275
pd,0.08834920823574066,0.06062779948115349,0.9999999403953552,0.027383439242839813,0.15525446832180023,0.0835902988910675,0.22966104745864868
rings,0.1915077418088913,0.20735269784927368,0.027383439242839813,0.9999999403953552,0.24929514527320862,0.19230705499649048,0.09448361396789551
form,0.1948026418685913,0.223133847117424,0.1643238067626953,0.20822177827358246,0.29983413219451904,0.23102781176567078,0.1463010311126709
.,0.3287222981452942,0.3974229395389557,0.2677389681339264,0.22442109882831573,0.3452940285205841,0.43897318840026855,0.4130953550338745
