,how,did,the,unequal,treatment,of,chinese,versus,mongols,in,the,yuan,make,the,dynasty,seem,?
although,0.26196205615997314,0.29252153635025024,0.3265823423862457,0.27240505814552307,0.22591964900493622,0.3024747669696808,0.214346244931221,0.16187193989753723,0.16377876698970795,0.28763338923454285,0.3265823423862457,0.1279308795928955,0.3029307425022125,0.3265823423862457,0.1458790898323059,0.4228881001472473,0.15541206300258636
the,0.33890387415885925,0.34736719727516174,1.0,0.2615147829055786,0.2350214421749115,0.733189046382904,0.2785343527793884,0.2504773736000061,0.310281366109848,0.6662389636039734,1.0,0.2548272907733917,0.3146495521068573,1.0,0.26267939805984497,0.2749357521533966,0.22068053483963013
traditional,0.16357043385505676,0.17380854487419128,0.25703898072242737,0.24827450513839722,0.1967082917690277,0.32287317514419556,0.3516996502876282,0.08046015352010727,0.21840260922908783,0.2736763060092926,0.25703898072242737,0.2298620045185089,0.24778741598129272,0.25703898072242737,0.25863757729530334,0.16201086342334747,0.1327509582042694
chinese,0.21388240158557892,0.19065357744693756,0.2785343527793884,0.20215609669685364,0.19324198365211487,0.24275560677051544,1.0000001192092896,0.032891612499952316,0.37191540002822876,0.20821347832679749,0.2785343527793884,0.5665212273597717,0.16263119876384735,0.2785343527793884,0.39861640334129333,0.16946423053741455,0.20843194425106049
elite,0.07515942305326462,0.1803257167339325,0.2274247258901596,0.1942884624004364,0.05493273213505745,0.20099300146102905,0.16123971343040466,0.08878900110721588,0.26604482531547546,0.21455620229244232,0.2274247258901596,0.09689418971538544,0.09568355977535248,0.2274247258901596,0.14203812181949615,0.13591082394123077,0.0737992525100708
were,0.2082374095916748,0.4162326455116272,0.3906462490558624,0.2510945498943329,0.17154142260551453,0.34038281440734863,0.22925853729248047,0.15246479213237762,0.3104121685028076,0.3815755248069763,0.3906462490558624,0.19657303392887115,0.2902480363845825,0.3906462490558624,0.195143923163414,0.25584709644317627,0.17890112102031708
not,0.4869767427444458,0.6481515765190125,0.4310511648654938,0.3424813151359558,0.3213420808315277,0.3307090103626251,0.22863712906837463,0.17670845985412598,0.16677899658679962,0.3403114080429077,0.4310511648654938,0.13675616681575775,0.4738420248031616,0.4310511648654938,0.16167695820331573,0.5553889274597168,0.41942933201789856
given,0.2367049753665924,0.24950160086154938,0.37508252263069153,0.23668202757835388,0.2689914107322693,0.39388060569763184,0.1546580046415329,0.15425355732440948,0.12479256838560104,0.2528568208217621,0.37508252263069153,0.15679694712162018,0.27241361141204834,0.37508252263069153,0.18079417943954468,0.24155335128307343,0.2570464313030243
their,0.3316696584224701,0.38078752160072327,0.516537070274353,0.3242402672767639,0.2299928218126297,0.4329940676689148,0.19482123851776123,0.1816255897283554,0.2795352637767792,0.34976133704185486,0.516537070274353,0.18182556331157684,0.37166422605514526,0.516537070274353,0.17074425518512726,0.286959707736969,0.1898253709077835
share,0.2350335270166397,0.25244811177253723,0.249948650598526,0.22701989114284515,0.12396638095378876,0.2850857973098755,0.11507643014192581,0.16889062523841858,0.2122187465429306,0.21491074562072754,0.249948650598526,0.13801603019237518,0.33004412055015564,0.249948650598526,0.09881934523582458,0.28659677505493164,0.1754547506570816
