,according,to,ellen,churchill,semple,what,type,of,climate,was,necessary,for,humans,to,become,fully,human,?
for,0.1956551969051361,0.4451248347759247,0.1619325578212738,0.20187528431415558,0.16295646131038666,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.17355333268642426,0.3863949179649353,0.39725369215011597,0.9999999403953552,0.2290920615196228,0.4451248347759247,0.3047906458377838,0.25585052371025085,0.2089424729347229,0.264628142118454
instance,0.20297206938266754,0.3533851206302643,0.11129740625619888,0.16415296494960785,0.1624279022216797,0.3862040638923645,0.27324962615966797,0.3011147379875183,0.17771075665950775,0.16940481960773468,0.46919333934783936,0.4085063934326172,0.30758771300315857,0.3533851206302643,0.22982904314994812,0.23165881633758545,0.2746964693069458,0.30205854773521423
",",0.3107093870639801,0.44245919585227966,0.2508133351802826,0.2976078689098358,0.3095172941684723,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.224740669131279,0.45456063747406006,0.2641502320766449,0.4464869201183319,0.2653752565383911,0.44245919585227966,0.29676204919815063,0.2252698540687561,0.23877760767936707,0.31091248989105225
american,0.11132238805294037,0.16338081657886505,0.2585643529891968,0.1995934695005417,0.2776447832584381,0.1909721940755844,0.1438770294189453,0.22180068492889404,0.09344017505645752,0.31632548570632935,0.14049673080444336,0.2306184321641922,0.13684441149234772,0.16338081657886505,0.12331845611333847,0.13000282645225525,0.1992449015378952,0.18877598643302917
geographer,0.3245081603527069,0.1339537352323532,0.15618270635604858,0.20626899600028992,0.21448156237602234,0.2046152949333191,0.05722803622484207,0.1514570564031601,0.3221738338470459,0.17617066204547882,0.10797855257987976,0.1334618479013443,0.0987832173705101,0.1339537352323532,0.0789913460612297,0.12078893929719925,0.13130716979503632,0.1512303203344345
ellen,0.048444751650094986,0.20090872049331665,1.0,0.2182380110025406,0.2498105764389038,0.10147091001272202,0.07511154562234879,0.09427336603403091,0.09391841292381287,0.19362947344779968,0.12157437950372696,0.1619325578212738,0.12544803321361542,0.20090872049331665,0.10111916065216064,0.01469776313751936,0.15558139979839325,0.15828058123588562
churchill,0.08084182441234589,0.24589325487613678,0.2182380110025406,1.0,0.20404084026813507,0.22929787635803223,0.06818142533302307,0.27261295914649963,0.11545203626155853,0.21517615020275116,0.1407667100429535,0.20187528431415558,0.1046123057603836,0.24589325487613678,0.16854330897331238,0.1456640064716339,0.07782243937253952,0.2059834897518158
semple,0.14838364720344543,0.13676735758781433,0.2498105764389038,0.20404084026813507,1.0,0.0802750512957573,0.08219944685697556,0.14551591873168945,0.06653990596532822,0.2677863836288452,0.1152794286608696,0.16295646131038666,0.08043671399354935,0.13676735758781433,0.13738980889320374,0.12034691870212555,0.11551056802272797,0.15500497817993164
argued,0.3042967915534973,0.24650873243808746,0.14634153246879578,0.18646720051765442,0.11480726301670074,0.31776854395866394,0.13045991957187653,0.19172857701778412,0.1978204995393753,0.21668414771556854,0.19663496315479279,0.17865048348903656,0.20897865295410156,0.24650873243808746,0.2132236212491989,0.12075017392635345,0.2854573130607605,0.18905270099639893
that,0.29146862030029297,0.5436353087425232,0.16437964141368866,0.21696843206882477,0.1267785131931305,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.22277899086475372,0.33670201897621155,0.430902898311615,0.4137635827064514,0.3810921907424927,0.5436353087425232,0.33698222041130066,0.425624281167984,0.3200635015964508,0.32716336846351624
even,0.23206503689289093,0.46467068791389465,0.12035225331783295,0.19653944671154022,0.11649969965219498,0.40872135758399963,0.1578398495912552,0.34735506772994995,0.1715449094772339,0.27441510558128357,0.501523494720459,0.39184510707855225,0.3218584656715393,0.46467068791389465,0.41571176052093506,0.3726760149002075,0.26761510968208313,0.30082517862319946
though,0.2541666030883789,0.46191829442977905,0.11414594203233719,0.20441791415214539,0.11280736327171326,0.4089210331439972,0.15306183695793152,0.37307101488113403,0.18021240830421448,0.34332048892974854,0.41474854946136475,0.35697805881500244,0.250138521194458,0.46191829442977905,0.3532334566116333,0.4011991322040558,0.22188541293144226,0.3188856542110443
human,0.1972850114107132,0.25612473487854004,0.15558139979839325,0.07782243937253952,0.11551056802272797,0.24243313074111938,0.11649816483259201,0.3083189129829407,0.256576269865036,0.1688746064901352,0.28285321593284607,0.2089424729347229,0.6982435584068298,0.25612473487854004,0.17920324206352234,0.2537485361099243,1.0,0.19748784601688385
