,how,many,primes,were,included,in,derrick,norman,lehmer,'s,list,of,prime,numbers,?
for,0.3308170735836029,0.40972793102264404,0.23085950314998627,0.33592689037323,0.3889397978782654,0.4322226941585541,0.25567740201950073,0.1822807788848877,0.24701014161109924,-0.07241261005401611,0.254395067691803,0.4185989499092102,0.17833133041858673,0.2885598838329315,0.264628142118454
example,0.39914554357528687,0.43096116185188293,0.2566288113594055,0.21319323778152466,0.26775863766670227,0.30483278632164,0.1561814546585083,0.21012209355831146,0.12965308129787445,-0.045060764998197556,0.2589839994907379,0.3570667505264282,0.16545042395591736,0.3534485995769501,0.30374911427497864
",",0.22659391164779663,0.40610817074775696,0.29003697633743286,0.36755475401878357,0.3679811954498291,0.5201468467712402,0.35091638565063477,0.20281735062599182,0.43164685368537903,-0.0016132977325469255,0.26581794023513794,0.4946078956127167,0.2565026581287384,0.26479464769363403,0.31091248989105225
derrick,0.20133864879608154,0.08972878754138947,0.1345306932926178,0.15648046135902405,0.10897408425807953,0.25123330950737,1.0000001192092896,0.3216853141784668,0.4892723858356476,-0.01721121184527874,0.10911742597818375,0.17834314703941345,0.11899422854185104,0.09820405393838882,0.16336484253406525
norman,0.15114782750606537,0.2098868191242218,0.10282120853662491,0.1889636218547821,0.08181872218847275,0.17613162100315094,0.3216853141784668,1.0000001192092896,0.3272910714149475,-0.10612574219703674,0.035777319222688675,0.15827171504497528,0.1341273933649063,0.10342045873403549,0.12243545055389404
lehmer,0.16228769719600677,0.24842435121536255,0.15083438158035278,0.2473035305738449,0.15837760269641876,0.2895774245262146,0.4892723858356476,0.3272910714149475,1.0,0.032950952649116516,0.1090182512998581,0.23348896205425262,0.18962179124355316,0.1916949599981308,0.24249257147312164
's,-0.026164190843701363,0.01698932610452175,0.011744771152734756,0.007088581565767527,-0.041006240993738174,-0.037580832839012146,-0.01721121184527874,-0.10612574219703674,0.032950952649116516,0.9999999403953552,0.009258812293410301,-0.03817026689648628,-0.0056337774731218815,0.02789759822189808,-0.023395681753754616
list,0.1892312467098236,0.3007022738456726,0.17495152354240417,0.23532477021217346,0.31991514563560486,0.2799903452396393,0.10911742597818375,0.035777319222688675,0.1090182512998581,0.009258812293410301,1.0,0.3032784163951874,0.136440247297287,0.21297939121723175,0.23630984127521515
of,0.2480744868516922,0.37253960967063904,0.22199293971061707,0.34038281440734863,0.4391688108444214,0.5696388483047485,0.17834314703941345,0.15827171504497528,0.23348896205425262,-0.03817026689648628,0.3032784163951874,1.0,0.23935265839099884,0.228018656373024,0.1826142966747284
primes,0.1886630654335022,0.2377949059009552,1.0,0.19780515134334564,0.1852368712425232,0.20882321894168854,0.1345306932926178,0.10282120853662491,0.15083438158035278,0.011744771152734756,0.17495152354240417,0.22199293971061707,0.7104739546775818,0.47689586877822876,0.18851876258850098
