,besides,rivers,",",what,shapes,the,sedimentation,of,the,rivers,?
the,0.367077499628067,0.25597620010375977,0.4933079481124878,0.42745697498321533,0.22242996096611023,1.0,0.2617757022380829,0.733189046382904,1.0,0.25597620010375977,0.22068053483963013
rhine-meuse,0.2099331170320511,0.3201974332332611,0.2238120585680008,0.20504072308540344,0.2081298828125,0.3420952260494232,0.24076727032661438,0.26928308606147766,0.3420952260494232,0.3201974332332611,0.23498749732971191
delta,0.08527858555316925,0.34175604581832886,0.2192559540271759,0.11423289775848389,0.16355767846107483,0.22022446990013123,0.16993360221385956,0.20736707746982574,0.22022446990013123,0.34175604581832886,0.14208948612213135
is,0.36560124158859253,0.23340918123722076,0.4691906273365021,0.28837618231773376,0.1740560382604599,0.5823672413825989,0.22898200154304504,0.4854315221309662,0.5823672413825989,0.23340918123722076,0.22961433231830597
a,0.26277080178260803,0.1459617167711258,0.427140474319458,0.3320399522781372,0.23736044764518738,0.5829201340675354,0.2670274078845978,0.5052502155303955,0.5829201340675354,0.1459617167711258,0.23916715383529663
tidal,0.19250600039958954,0.3218938410282135,0.1638166606426239,0.1302003264427185,0.26406949758529663,0.24193012714385986,0.35954272747039795,0.19207261502742767,0.24193012714385986,0.3218938410282135,0.10142207890748978
delta,0.08527858555316925,0.34175604581832886,0.2192559540271759,0.11423289775848389,0.16355767846107483,0.22022446990013123,0.16993360221385956,0.20736707746982574,0.22022446990013123,0.34175604581832886,0.14208948612213135
",",0.340058833360672,0.30879536271095276,1.0000001192092896,0.3087472915649414,0.21984341740608215,0.4933079481124878,0.23885005712509155,0.4946078956127167,0.4933079481124878,0.30879536271095276,0.31091248989105225
shaped,0.19832269847393036,0.08353844285011292,0.18780866265296936,0.19420893490314484,0.6630568504333496,0.2863692045211792,0.23857524991035461,0.24333637952804565,0.2863692045211792,0.08353844285011292,0.11317497491836548
not,0.36641964316368103,0.16464079916477203,0.3769696354866028,0.5449194312095642,0.23960426449775696,0.4310511648654938,0.23539119958877563,0.3307090103626251,0.4310511648654938,0.16464079916477203,0.41942933201789856
only,0.41172632575035095,0.22127000987529755,0.4220978021621704,0.41415658593177795,0.1961439698934555,0.5497692227363586,0.2000957876443863,0.49632513523101807,0.5497692227363586,0.22127000987529755,0.2767370045185089
by,0.23799698054790497,0.17008231580257416,0.3680937886238098,0.2455483376979828,0.18480931222438812,0.4408751428127289,0.19334092736244202,0.3646814823150635,0.4408751428127289,0.17008231580257416,0.17966607213020325
the,0.367077499628067,0.25597620010375977,0.4933079481124878,0.42745697498321533,0.22242996096611023,1.0,0.2617757022380829,0.733189046382904,1.0,0.25597620010375977,0.22068053483963013
sedimentation,0.1656174212694168,0.3043985366821289,0.23885005712509155,0.22759993374347687,0.3729195296764374,0.2617757022380829,0.9999998807907104,0.2614911198616028,0.2617757022380829,0.3043985366821289,0.17398139834403992
of,0.3665722906589508,0.2839193344116211,0.4946078956127167,0.33290785551071167,0.25964170694351196,0.733189046382904,0.2614911198616028,1.0,0.733189046382904,0.2839193344116211,0.1826142966747284
the,0.367077499628067,0.25597620010375977,0.4933079481124878,0.42745697498321533,0.22242996096611023,1.0,0.2617757022380829,0.733189046382904,1.0,0.25597620010375977,0.22068053483963013
rivers,0.22307708859443665,1.0000001192092896,0.30879536271095276,0.14092835783958435,0.19880427420139313,0.25597620010375977,0.3043985366821289,0.2839193344116211,0.25597620010375977,1.0000001192092896,0.15866327285766602
",",0.340058833360672,0.30879536271095276,1.0000001192092896,0.3087472915649414,0.21984341740608215,0.4933079481124878,0.23885005712509155,0.4946078956127167,0.4933079481124878,0.30879536271095276,0.31091248989105225
but,0.398653119802475,0.22526226937770844,0.48126736283302307,0.5029441118240356,0.2870323359966278,0.4859698414802551,0.27185553312301636,0.39942997694015503,0.4859698414802551,0.22526226937770844,0.27921953797340393
also,0.5080614686012268,0.21169592440128326,0.4717654287815094,0.42747777700424194,0.25209954380989075,0.6021018624305725,0.1814528852701187,0.4924938678741455,0.6021018624305725,0.21169592440128326,0.21848613023757935
by,0.23799698054790497,0.17008231580257416,0.3680937886238098,0.2455483376979828,0.18480931222438812,0.4408751428127289,0.19334092736244202,0.3646814823150635,0.4408751428127289,0.17008231580257416,0.17966607213020325
tidal,0.19250600039958954,0.3218938410282135,0.1638166606426239,0.1302003264427185,0.26406949758529663,0.24193012714385986,0.35954272747039795,0.19207261502742767,0.24193012714385986,0.3218938410282135,0.10142207890748978
currents,0.22400549054145813,0.3411550223827362,0.2791174352169037,0.2076863795518875,0.29193493723869324,0.30279916524887085,0.4007657766342163,0.2825077772140503,0.30279916524887085,0.3411550223827362,0.07452256232500076
.,0.28636154532432556,0.22710572183132172,0.6812511086463928,0.3567904531955719,0.24354080855846405,0.5934505462646484,0.24440717697143555,0.5352458953857422,0.5934505462646484,0.22710572183132172,0.4130953550338745
