,who,will,carry,the,game,throughout,all,of,north,america,?
westwood,0.18958885967731476,0.19338947534561157,0.1362718790769577,0.289829283952713,0.2980734705924988,0.16354329884052277,0.19743292033672333,0.17360442876815796,0.2549668848514557,0.26917198300361633,0.17119714617729187
one,0.40083858370780945,0.3305911421775818,0.2303367257118225,0.5514441132545471,0.2554377615451813,0.30948054790496826,0.4628787636756897,0.4999135136604309,0.2486860305070877,0.2418144941329956,0.2673267424106598
will,0.24651563167572021,1.0,0.2655966579914093,0.3635469079017639,0.2308308631181717,0.23283874988555908,0.3951299488544464,0.2473582625389099,0.18236760795116425,0.15043193101882935,0.35046905279159546
carry,0.20254260301589966,0.2655966579914093,0.9999998807907104,0.26752355694770813,0.10995405167341232,0.21868085861206055,0.3000107705593109,0.23692575097084045,0.13809938728809357,0.1498301774263382,0.17171701788902283
the,0.3733934462070465,0.3635469079017639,0.26752355694770813,1.0,0.285271555185318,0.4158564507961273,0.4860881567001343,0.733189046382904,0.36298373341560364,0.37090015411376953,0.22068053483963013
game,0.2523840069770813,0.2308308631181717,0.10995405167341232,0.285271555185318,0.9999998807907104,0.21184620261192322,0.28829213976860046,0.2298848181962967,0.21917438507080078,0.23268957436084747,0.1829071193933487
throughout,0.22343657910823822,0.23283874988555908,0.21868085861206055,0.4158564507961273,0.21184620261192322,1.0,0.381315141916275,0.35374847054481506,0.23976026475429535,0.368990421295166,0.12665234506130219
north,0.11026738584041595,0.18236760795116425,0.13809938728809357,0.36298373341560364,0.21917438507080078,0.23976026475429535,0.19873790442943573,0.3604778051376343,1.0,0.4837384521961212,0.11829731613397598
america,0.1830417811870575,0.15043193101882935,0.1498301774263382,0.37090015411376953,0.23268957436084747,0.368990421295166,0.2561219334602356,0.28803038597106934,0.4837384521961212,0.9999998807907104,0.19333907961845398
",",0.3365725874900818,0.29706671833992004,0.1951419711112976,0.4933079481124878,0.2653886377811432,0.22385434806346893,0.425624817609787,0.4946078956127167,0.31834840774536133,0.253568559885025,0.31091248989105225
with,0.3282766342163086,0.33888739347457886,0.22976382076740265,0.4223487675189972,0.19394829869270325,0.3559260964393616,0.3876307010650635,0.41827285289764404,0.185934916138649,0.21664398908615112,0.2433311939239502
kevin,0.2511484920978546,0.16147591173648834,0.06210843101143837,0.179534912109375,0.24218951165676117,0.13990426063537598,0.10803444683551788,0.1545790284872055,0.16022376716136932,0.11462417989969254,0.1176677793264389
harlan,0.2475024312734604,0.18245328962802887,0.1799660474061966,0.22123396396636963,0.18107891082763672,0.1251491904258728,0.10692723840475082,0.2112726867198944,0.15086877346038818,0.1662990301847458,0.1691509187221527
as,0.3923053741455078,0.3047071695327759,0.21199582517147064,0.48381632566452026,0.18194591999053955,0.2935595214366913,0.33195313811302185,0.3886612355709076,0.22670356929302216,0.22265762090682983,0.27043893933296204
play-by-play,0.2488287091255188,0.27736732363700867,0.16973386704921722,0.2794552743434906,0.5630475878715515,0.1791004091501236,0.24427002668380737,0.1987355500459671,0.1820400208234787,0.21793006360530853,0.2925850749015808
announcer,0.1876700222492218,0.2673320770263672,0.161343514919281,0.2399389147758484,0.3478502333164215,0.21392063796520233,0.1315714567899704,0.1977396309375763,0.16061589121818542,0.21081584692001343,0.18424807488918304
",",0.3365725874900818,0.29706671833992004,0.1951419711112976,0.4933079481124878,0.2653886377811432,0.22385434806346893,0.425624817609787,0.4946078956127167,0.31834840774536133,0.253568559885025,0.31091248989105225
boomer,0.2918093502521515,0.17781823873519897,0.192132368683815,0.19121207296848297,0.28211361169815063,0.1939123123884201,0.11286644637584686,0.10107629746198654,0.12364542484283447,0.26717329025268555,0.1773107945919037
esiason,0.276216596364975,0.23175455629825592,0.1959918588399887,0.3538505434989929,0.25870415568351746,0.27064645290374756,0.2509050965309143,0.36101555824279785,0.21954388916492462,0.3236932158470154,0.276677668094635
and,0.41279885172843933,0.35983073711395264,0.2731964588165283,0.5171257257461548,0.25192898511886597,0.36296960711479187,0.4542157053947449,0.5116966962814331,0.2776443064212799,0.2647855281829834,0.20544172823429108
dan,0.24452054500579834,0.12697359919548035,0.11332044005393982,0.21507468819618225,0.16820552945137024,0.06019116938114166,0.09976687282323837,0.10533523559570312,0.10491226613521576,0.1509472131729126,0.12045673280954361
fouts,0.27286213636398315,0.3012094497680664,0.19571222364902496,0.28466182947158813,0.3081877529621124,0.30584099888801575,0.31042301654815674,0.21609565615653992,0.21657173335552216,0.23016029596328735,0.22210446000099182
as,0.3923053741455078,0.3047071695327759,0.21199582517147064,0.48381632566452026,0.18194591999053955,0.2935595214366913,0.33195313811302185,0.3886612355709076,0.22670356929302216,0.22265762090682983,0.27043893933296204
color,0.1621498465538025,0.1928393542766571,0.1438634842634201,0.21895472705364227,0.24641147255897522,0.15362001955509186,0.2018435001373291,0.1876296103000641,0.13689766824245453,0.1663532704114914,0.21299609541893005
analysts,0.23764149844646454,0.24817821383476257,0.19374823570251465,0.23779353499412537,0.3419187068939209,0.20607022941112518,0.1999249905347824,0.16706980764865875,0.156694695353508,0.23104476928710938,0.18784141540527344
