,disney-abc,television,group,implemented,restrictions,for,hulu,and,watch,abc,that,made,episodes,available,only,after,how,many,days,after,initial,broadcast,?
restrictions,0.23441089689731598,0.2153932750225067,0.12378605455160141,0.461088091135025,0.9999999403953552,0.35240620374679565,0.2418903410434723,0.2769484221935272,0.18999379873275757,0.21731826663017273,0.39437928795814514,0.21272386610507965,0.24777643382549286,0.3370513617992401,0.3320808410644531,0.2078155279159546,0.3477668762207031,0.3680284321308136,0.2901079058647156,0.2078155279159546,0.32618939876556396,0.21426740288734436,0.28638559579849243
implemented,0.1873796284198761,0.17061826586723328,0.13253548741340637,0.9999998807907104,0.461088091135025,0.2980538010597229,0.23113109171390533,0.2268121838569641,0.14707835018634796,0.1553271859884262,0.36002328991889954,0.24007590115070343,0.11814753711223602,0.3606359362602234,0.2909030318260193,0.12904800474643707,0.3128129839897156,0.25018545985221863,0.17497245967388153,0.12904800474643707,0.35851943492889404,0.15925663709640503,0.27067989110946655
by,0.23710590600967407,0.23368048667907715,0.2915726900100708,0.20912706851959229,0.2322007566690445,0.3248702883720398,0.2041175216436386,0.4289871156215668,0.19258670508861542,0.17600902915000916,0.37496164441108704,0.34175434708595276,0.16738691926002502,0.21741925179958344,0.36511722207069397,0.41259682178497314,0.34370526671409607,0.3409687578678131,0.17279444634914398,0.41259682178497314,0.23085512220859528,0.22584840655326843,0.17966607213020325
disney–abc,0.9854602813720703,0.4371485412120819,0.237766295671463,0.2149915248155594,0.2664775252342224,0.2590659558773041,0.4232902526855469,0.29275235533714294,0.28188660740852356,0.4950595200061798,0.30842772126197815,0.24335241317749023,0.4562341868877411,0.29845863580703735,0.284832239151001,0.2147825062274933,0.22864416241645813,0.29555410146713257,0.21079221367835999,0.2147825062274933,0.24256961047649384,0.4232049286365509,0.2595943808555603
television,0.419070303440094,1.0000001192092896,0.14428815245628357,0.17061826586723328,0.2153932750225067,0.27045196294784546,0.3873722553253174,0.29514092206954956,0.27474769949913025,0.46871840953826904,0.21588699519634247,0.1979951560497284,0.558925449848175,0.19089162349700928,0.19228580594062805,0.19225278496742249,0.20427560806274414,0.23433995246887207,0.1740061640739441,0.19225278496742249,0.1804770529270172,0.6160560846328735,0.16825827956199646
group,0.20508883893489838,0.14428815245628357,0.9999999403953552,0.13253548741340637,0.12378605455160141,0.24519909918308258,0.18565963208675385,0.3510662019252777,0.19515079259872437,0.11665991693735123,0.3089635670185089,0.18988968431949615,0.1459723263978958,0.10910189151763916,0.28742367029190063,0.21563246846199036,0.15481124818325043,0.2776661217212677,0.10802968591451645,0.21563246846199036,0.20023269951343536,0.15232448279857635,0.13827809691429138
on,0.2713024616241455,0.2825660705566406,0.22796137630939484,0.2729615569114685,0.3151613473892212,0.36199691891670227,0.24615328013896942,0.4077630043029785,0.26631927490234375,0.2862928807735443,0.42569106817245483,0.37619519233703613,0.25720518827438354,0.3133032023906708,0.38586410880088806,0.39330315589904785,0.32655060291290283,0.32520127296447754,0.3459240794181824,0.39330315589904785,0.25930091738700867,0.2845228910446167,0.2714994251728058
january,0.18773828446865082,0.2761542797088623,0.09421050548553467,0.1642177700996399,0.1445445716381073,0.27304044365882874,0.18753062188625336,0.24588775634765625,0.15011392533779144,0.1682562232017517,0.2010406255722046,0.15270842611789703,0.21189670264720917,0.16966059803962708,0.18532583117485046,0.31672435998916626,0.11096196621656418,0.11292167752981186,0.32241755723953247,0.31672435998916626,0.16676963865756989,0.22064052522182465,0.28608936071395874
7,-0.25275716185569763,-0.04479142650961876,-0.11532794684171677,-0.09718666225671768,-0.16750025749206543,-0.11536749452352524,-0.05073731020092964,-0.012642918154597282,-0.14313922822475433,-0.025838254019618034,-0.24410472810268402,-0.18194791674613953,-0.22145551443099976,-0.16434931755065918,-0.18451572954654694,-0.120082326233387,-0.2171877920627594,-0.167693629860878,-0.12300753593444824,-0.120082326233387,-0.12061435729265213,-0.09431280195713043,-0.15092156827449799
",",0.24468442797660828,0.27995240688323975,0.2809832692146301,0.25661253929138184,0.2838693857192993,0.4464869201183319,0.19695565104484558,0.6633074283599854,0.19597528874874115,0.2097204476594925,0.4137537479400635,0.32507219910621643,0.2131132036447525,0.2614012062549591,0.4220978021621704,0.38860568404197693,0.22659391164779663,0.40610817074775696,0.34504905343055725,0.38860568404197693,0.1954146921634674,0.24917922914028168,0.31091248989105225
