,what,did,john,paul,ii,'s,visits,in,1979,and,1983,encourage,?
john,0.18237407505512238,0.18785913288593292,1.0000001192092896,0.40013134479522705,0.22211971879005432,-0.1023898646235466,0.1957291215658188,0.22177861630916595,0.06071684882044792,0.21634717285633087,0.020268190652132034,0.1390354186296463,0.13162356615066528
paul,0.11217030137777328,0.16905230283737183,0.40013134479522705,1.0000001192092896,0.21350431442260742,-0.028859924525022507,0.21113893389701843,0.21331322193145752,0.06355631351470947,0.2447807937860489,0.006122701335698366,0.11587915569543839,0.16611461341381073
ii,0.13866674900054932,0.17836059629917145,0.22211971879005432,0.21350431442260742,0.9999999403953552,0.06274007260799408,0.17494027316570282,0.21453368663787842,0.13414698839187622,0.27599602937698364,0.052556440234184265,0.10773914307355881,0.11928234249353409
's,0.02692362666130066,0.05069678649306297,-0.1023898646235466,-0.028859924525022507,0.06274007260799408,0.9999999403953552,-0.07412194460630417,-0.037580832839012146,0.08197584748268127,0.06895173341035843,0.13286671042442322,0.001149789779447019,-0.023395681753754616
visits,0.22003546357154846,0.22067385911941528,0.1957291215658188,0.21113893389701843,0.17494027316570282,-0.07412194460630417,1.0,0.21705220639705658,0.14101475477218628,0.26874175667762756,-0.08741424977779388,0.16281622648239136,0.07980519533157349
to,0.455847829580307,0.4452643394470215,0.2070634365081787,0.16250576078891754,0.20368696749210358,0.03782717138528824,0.2664123475551605,0.45010748505592346,0.260578453540802,0.48971283435821533,-0.05231504887342453,0.4254889488220215,0.29463258385658264
his,0.26976513862609863,0.3546801507472992,0.288114070892334,0.24743995070457458,0.2508064806461334,0.047556519508361816,0.2484646588563919,0.3598145842552185,0.12734022736549377,0.4234102666378021,-0.05349263176321983,0.25989416241645813,0.18075084686279297
native,0.19453833997249603,0.15632417798042297,0.20526620745658875,0.1025228276848793,0.11271893233060837,0.0551753006875515,0.20794808864593506,0.24378694593906403,0.3537660539150238,0.26731550693511963,0.12277300655841827,0.2842707931995392,0.1457047313451767
country,0.22705033421516418,0.24348343908786774,0.07300809770822525,0.08158335834741592,0.15848034620285034,0.0747150406241417,0.186263769865036,0.3040012717247009,0.15858979523181915,0.30884742736816406,0.0029708899091929197,0.1764954924583435,0.12647280097007751
in,0.30808621644973755,0.2593238651752472,0.22177861630916595,0.21331322193145752,0.21453368663787842,-0.037580832839012146,0.21705220639705658,1.0,0.26264503598213196,0.4954058527946472,-0.00395767018198967,0.2503052353858948,0.20430970191955566
1979,0.17707666754722595,0.12377073615789413,0.06071684882044792,0.06355631351470947,0.13414698839187622,0.08197584748268127,0.14101475477218628,0.26264503598213196,1.0000001192092896,0.23599638044834137,0.10462303459644318,0.10370680689811707,0.09159877151250839
and,0.31309178471565247,0.34479495882987976,0.21634717285633087,0.2447807937860489,0.27599602937698364,0.06895173341035843,0.26874175667762756,0.4954058527946472,0.23599638044834137,1.0,0.04959265887737274,0.3351057767868042,0.20544172823429108
1983,0.025786560028791428,0.04747678339481354,0.020268190652132034,0.006122701335698366,0.052556440234184265,0.13286671042442322,-0.08741424977779388,-0.00395767018198967,0.10462303459644318,0.04959265887737274,1.0,0.07407964766025543,0.09926492720842361
brought,0.26212388277053833,0.3238873779773712,0.16459371149539948,0.09320385754108429,0.15157219767570496,-0.03164028376340866,0.20686590671539307,0.25879573822021484,0.192618727684021,0.3560350239276886,0.08140980452299118,0.29724812507629395,0.2339296191930771
support,0.2797985076904297,0.2911772131919861,0.08038270473480225,0.1048886850476265,0.1747847944498062,-0.013377348892390728,0.13979940116405487,0.17618270218372345,0.05329355597496033,0.25609129667282104,0.06955406814813614,0.34820225834846497,0.22626608610153198
to,0.455847829580307,0.4452643394470215,0.2070634365081787,0.16250576078891754,0.20368696749210358,0.03782717138528824,0.2664123475551605,0.45010748505592346,0.260578453540802,0.48971283435821533,-0.05231504887342453,0.4254889488220215,0.29463258385658264
the,0.42745697498321533,0.34736719727516174,0.2230520099401474,0.19191958010196686,0.2631464898586273,-0.01540423184633255,0.25869712233543396,0.6662389636039734,0.3323744237422943,0.5171257257461548,-0.019107989966869354,0.25321751832962036,0.22068053483963013
budding,0.26056715846061707,0.10566187649965286,0.17546606063842773,0.1510305404663086,0.14375990629196167,-0.03215624392032623,0.12841321527957916,0.199446439743042,0.0791301280260086,0.29832854866981506,0.0715007483959198,0.23173372447490692,0.19821655750274658
solidarity,0.21004708111286163,0.16829939186573029,0.17549435794353485,0.19011591374874115,0.1122819036245346,-0.030227020382881165,0.1439666599035263,0.21580742299556732,-0.0068125477991998196,0.2898171544075012,0.10070262104272842,0.3814655542373657,0.21046410501003265
movement,0.23934946954250336,0.12124674767255783,0.11585292965173721,0.12191195040941238,0.14483147859573364,0.009452048689126968,0.0888141617178917,0.26725053787231445,0.053098585456609726,0.2837696671485901,0.038963157683610916,0.27852290868759155,0.1423349231481552
and,0.31309178471565247,0.34479495882987976,0.21634717285633087,0.2447807937860489,0.27599602937698364,0.06895173341035843,0.26874175667762756,0.4954058527946472,0.23599638044834137,1.0,0.04959265887737274,0.3351057767868042,0.20544172823429108
encouraged,0.23193751275539398,0.4058409631252289,0.19180063903331757,0.17015531659126282,0.1300882250070572,-0.008538385853171349,0.1904318928718567,0.2440156191587448,0.07279686629772186,0.35324954986572266,0.05934474244713783,0.8438761234283447,0.2192683219909668
the,0.42745697498321533,0.34736719727516174,0.2230520099401474,0.19191958010196686,0.2631464898586273,-0.01540423184633255,0.25869712233543396,0.6662389636039734,0.3323744237422943,0.5171257257461548,-0.019107989966869354,0.25321751832962036,0.22068053483963013
growing,0.20045997202396393,0.171597421169281,0.1007700189948082,0.059890639036893845,0.13279719650745392,0.03153179585933685,0.1868439018726349,0.33161869645118713,0.19890190660953522,0.3007805347442627,0.1677972376346588,0.30905506014823914,0.10178618133068085
anti-communist,0.1593143343925476,0.2236778438091278,0.22270111739635468,0.2201252430677414,0.3186677098274231,0.007144283503293991,0.14894822239875793,0.20220577716827393,0.0906219556927681,0.23633693158626556,0.08585593104362488,0.235457643866539,0.17045876383781433
fervor,0.35266974568367004,0.24641446769237518,0.10985536128282547,0.13134267926216125,0.08319137990474701,0.045529574155807495,0.1477675586938858,0.21393463015556335,0.2453950196504593,0.33076855540275574,0.04714871197938919,0.3129774034023285,0.21508917212486267
there,0.35085538029670715,0.29736605286598206,0.09766856580972672,0.08689841628074646,0.1522369086742401,-0.04860968142747879,0.24343626201152802,0.5361666083335876,0.25395074486732483,0.4242868423461914,0.007874884642660618,0.2719033658504486,0.29405656456947327
.,0.3567904531955719,0.35288307070732117,0.26428887248039246,0.25831571221351624,0.27393630146980286,-0.003708066651597619,0.2560616433620453,0.5591574311256409,0.21473710238933563,0.588965117931366,0.02804282307624817,0.2384900003671646,0.4130953550338745
