,what,function,do,compounds,like,phenol,and,acetone,serve,in,the,manufacture,of,many,other,substances,?
acetone,0.1980755478143692,0.2848406136035919,0.1932084858417511,0.5910801887512207,0.26172375679016113,0.6234889626502991,0.1770493984222412,0.9999998807907104,0.17372357845306396,0.17584823071956635,0.15705901384353638,0.36827516555786133,0.1713211089372635,0.19551688432693481,0.2589280605316162,0.556911289691925,0.20486292243003845
(,0.2411840260028839,0.25402042269706726,0.24216170608997345,0.21791891753673553,0.2465965300798416,0.16854704916477203,0.4862271547317505,0.2199263870716095,0.177357017993927,0.3087427020072937,0.33289089798927307,0.10889578610658646,0.35032153129577637,0.1455259770154953,0.25035592913627625,0.15720635652542114,0.40561532974243164
(,0.2411840260028839,0.25402042269706726,0.24216170608997345,0.21791891753673553,0.2465965300798416,0.16854704916477203,0.4862271547317505,0.2199263870716095,0.177357017993927,0.3087427020072937,0.33289089798927307,0.10889578610658646,0.35032153129577637,0.1455259770154953,0.25035592913627625,0.15720635652542114,0.40561532974243164
ch,0.1359475553035736,0.12402849644422531,0.09075220674276352,0.2751961350440979,0.14010028541088104,0.2762337327003479,0.13119883835315704,0.37019819021224976,0.13679955899715424,0.178436741232872,0.16925649344921112,0.13608017563819885,0.14837117493152618,0.13478443026542664,0.1716265082359314,0.18552620708942413,0.18607352674007416
3,0.04473085701465607,0.11545535176992416,0.04615037143230438,0.10565092414617538,0.0777333527803421,0.10664466768503189,0.07610447704792023,0.12403065711259842,0.0882168710231781,0.06326868385076523,0.06283142417669296,0.06470811367034912,0.046857766807079315,0.026462629437446594,0.02411104179918766,0.1075897291302681,0.005975271109491587
),0.26259949803352356,0.24718981981277466,0.24460165202617645,0.2126024067401886,0.2585170269012451,0.15918488800525665,0.4961937665939331,0.21202994883060455,0.17221702635288239,0.3326910734176636,0.3456730246543884,0.11404915899038315,0.3680361211299896,0.16602720320224762,0.26200005412101746,0.1445392221212387,0.42300865054130554
2co,0.039734236896038055,-0.03312957286834717,0.13114967942237854,0.03675634413957596,0.0667540431022644,0.048449356108903885,0.14420762658119202,0.1740727573633194,-0.008301260881125927,0.10276561230421066,0.05508783087134361,0.09387946873903275,0.03060396946966648,0.070369191467762,0.04743737354874611,-0.026398301124572754,0.11551650613546371
),0.26259949803352356,0.24718981981277466,0.24460165202617645,0.2126024067401886,0.2585170269012451,0.15918488800525665,0.4961937665939331,0.21202994883060455,0.17221702635288239,0.3326910734176636,0.3456730246543884,0.11404915899038315,0.3680361211299896,0.16602720320224762,0.26200005412101746,0.1445392221212387,0.42300865054130554
and,0.31309178471565247,0.22180378437042236,0.276123583316803,0.25433242321014404,0.46997135877609253,0.17140381038188934,1.0,0.1770493984222412,0.27672067284584045,0.4954058527946472,0.5171257257461548,0.22259432077407837,0.5116966962814331,0.5296266674995422,0.5504306554794312,0.2670387327671051,0.20544172823429108
phenol,0.14603357017040253,0.24884410202503204,0.2295411080121994,0.5789523720741272,0.24911460280418396,1.0,0.17140381038188934,0.6234889626502991,0.1971096694469452,0.16283291578292847,0.1690700799226761,0.43650564551353455,0.15803095698356628,0.276018887758255,0.2571257948875427,0.6052056550979614,0.2022712677717209
