,what,is,the,low-power,station,that,serves,birmingham,",",alabama,for,abc,?
abc,0.1317344456911087,0.16037321090698242,0.2068762183189392,0.2579306364059448,0.21780119836330414,0.17440107464790344,0.12717047333717346,0.20163780450820923,0.2097204476594925,0.21730148792266846,0.22510288655757904,1.0000001192092896,0.19065172970294952
maintains,0.17929726839065552,0.2847173810005188,0.2744854986667633,0.33186599612236023,0.23137059807777405,0.2821052670478821,0.36392584443092346,0.09090939909219742,0.1875990927219391,0.09920430183410645,0.27840328216552734,0.14086058735847473,0.13273680210113525
affiliations,0.15080924332141876,0.15128561854362488,0.24564355611801147,0.24883897602558136,0.23245295882225037,0.142246276140213,0.2657128870487213,0.14304955303668976,0.21957238018512726,0.13612249493598938,0.2291165143251419,0.180287703871727,0.14362381398677826
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.30220693349838257,0.13595768809318542,0.4154358208179474,0.2114870548248291,0.1960766464471817,0.4120737314224243,0.11591243743896484,0.39140474796295166,0.17432008683681488,0.2433311939239502
low-power,0.2962779700756073,0.18936294317245483,0.3769046366214752,1.0,0.25346192717552185,0.37583810091018677,0.1503816545009613,0.19657722115516663,0.32468271255493164,0.2806616723537445,0.27879178524017334,0.2579306364059448,0.23557345569133759
stations,0.1621520221233368,0.2002124935388565,0.24762700498104095,0.31826359033584595,0.8503052592277527,0.2291857898235321,0.3038341701030731,0.2661106288433075,0.26337406039237976,0.14447012543678284,0.236822247505188,0.23858611285686493,0.13192185759544373
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.25557267665863037,0.15589678287506104,0.2264307141304016,0.23397299647331238,0.19569063186645508,0.6363511681556702,0.1669350564479828,0.3357032239437103,0.183883935213089,0.40561532974243164
broadcasting,0.18499015271663666,0.1978546530008316,0.29916465282440186,0.31199920177459717,0.40611958503723145,0.23971983790397644,0.25048476457595825,0.24235782027244568,0.2411014288663864,0.17742390930652618,0.29230615496635437,0.45669859647750854,0.10870421677827835
either,0.3851809501647949,0.3086068034172058,0.3795609474182129,0.275995135307312,0.10085946321487427,0.44538983702659607,0.21632584929466248,0.13806754350662231,0.28548023104667664,0.16777899861335754,0.3058042526245117,0.13232512772083282,0.31498292088508606
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.25661608576774597,0.21784305572509766,0.435920387506485,0.2791841924190521,0.25057855248451233,0.5201468467712402,0.2201618254184723,0.4322226941585541,0.1697147786617279,0.20430970191955566
analog,0.2780171036720276,0.2597258985042572,0.21098314225673676,0.33874139189720154,0.28299224376678467,0.2722201347351074,0.1385621875524521,0.03382529690861702,0.20826497673988342,0.09540987759828568,0.22018004953861237,0.18717388808727264,0.17692391574382782
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.30601856112480164,0.18221348524093628,0.4729836881160736,0.22351416945457458,0.15655425190925598,0.3769497275352478,0.19901351630687714,0.4111599624156952,0.10767780989408493,0.32389625906944275
