,who,was,the,defensive,coordinator,for,the,broncos,in,2015,?
under,0.2962189018726349,0.2672741413116455,0.3348022699356079,0.12383861839771271,0.09180725365877151,0.2930702269077301,0.3348022699356079,0.17581799626350403,0.2535393238067627,0.14021112024784088,0.18233340978622437
defensive,0.18336546421051025,0.21982474625110626,0.2644767463207245,1.0,0.43236586451530457,0.2951942980289459,0.2644767463207245,0.4772093892097473,0.22513550519943237,0.011006657965481281,0.1711898148059845
coordinator,0.1555744856595993,0.17281489074230194,0.2257796972990036,0.43236586451530457,0.9999999403953552,0.2630251348018646,0.2257796972990036,0.3769373893737793,0.19911305606365204,-0.0207134447991848,0.16231635212898254
wade,0.2628155052661896,0.1981361210346222,0.2089441865682602,0.21088892221450806,0.17198967933654785,0.192043736577034,0.2089441865682602,0.23329652845859528,0.19125641882419586,-0.036708831787109375,0.2663079500198364
phillips,0.24433107674121857,0.2839582860469818,0.1886449009180069,0.2105974704027176,0.2828969955444336,0.1842086762189865,0.1886449009180069,0.3256951868534088,0.21452437341213226,0.02514871209859848,0.15470919013023376
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.238240584731102,0.26595932245254517,0.4464869201183319,0.4933079481124878,0.2558487057685852,0.5201468467712402,0.06568983197212219,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,1.0,0.2644767463207245,0.2257796972990036,0.4739971458911896,1.0,0.25985947251319885,0.6662389636039734,0.1466771513223648,0.22068053483963013
broncos,0.1763724684715271,0.23574475944042206,0.25985947251319885,0.4772093892097473,0.3769373893737793,0.2739109396934509,0.25985947251319885,1.0000001192092896,0.20316283404827118,-0.0028495145961642265,0.18377114832401276
',0.22534559667110443,0.33675912022590637,0.474788099527359,0.193093404173851,0.2433193475008011,0.31184524297714233,0.474788099527359,0.10725529491901398,0.4158826768398285,0.08155038207769394,0.330942302942276
defense,0.19970577955245972,0.2295428365468979,0.2604767382144928,0.6053637862205505,0.33035925030708313,0.2780293822288513,0.2604767382144928,0.29830923676490784,0.20235490798950195,0.04832323640584946,0.21935760974884033
