,what,metal,was,used,in,inalchuq,'s,execution,?
genghis,0.24369274079799652,0.13768552243709564,0.3037589192390442,0.08568748086690903,0.224680557847023,0.3578783869743347,0.031423866748809814,0.212908536195755,0.18813461065292358
khan,0.16476042568683624,0.06503641605377197,0.23483267426490784,0.07771505415439606,0.1527150720357895,0.23091517388820648,0.05307086929678917,0.10762982070446014,0.12862591445446014
ordered,0.1877245008945465,0.12139483541250229,0.3286064863204956,0.30064135789871216,0.24971742928028107,0.2791030704975128,-0.06286894530057907,0.3463138937950134,0.11423391848802567
the,0.42745697498321533,0.22397266328334808,0.48711544275283813,0.3718377649784088,0.6662389636039734,0.3083098828792572,-0.01540423184633255,0.2074618637561798,0.22068053483963013
wholesale,0.29576560854911804,0.12010852992534637,0.18312016129493713,0.24087342619895935,0.2396775633096695,0.1808980256319046,0.01381632499396801,0.1490176022052765,0.29312044382095337
massacre,0.16681800782680511,0.1027633547782898,0.2228357344865799,0.06887379288673401,0.223619282245636,0.2192111760377884,-0.0143845584243536,0.3364885151386261,0.17941462993621826
of,0.33290785551071167,0.20934239029884338,0.4069072902202606,0.3075267970561981,0.5696388483047485,0.2910105884075165,-0.03817026689648628,0.2427012324333191,0.1826142966747284
many,0.36131182312965393,0.21107390522956848,0.260356068611145,0.38759201765060425,0.41474202275276184,0.30678626894950867,0.01698932610452175,0.18342025578022003,0.2124512493610382
of,0.33290785551071167,0.20934239029884338,0.4069072902202606,0.3075267970561981,0.5696388483047485,0.2910105884075165,-0.03817026689648628,0.2427012324333191,0.1826142966747284
the,0.42745697498321533,0.22397266328334808,0.48711544275283813,0.3718377649784088,0.6662389636039734,0.3083098828792572,-0.01540423184633255,0.2074618637561798,0.22068053483963013
civilians,0.17200390994548798,0.15645475685596466,0.2154027819633484,0.20078563690185547,0.27921220660209656,0.22679798305034637,0.023238888010382652,0.31928396224975586,0.12947234511375427
",",0.3087472915649414,0.22670342028141022,0.45456063747406006,0.3120402991771698,0.5201468467712402,0.39962732791900635,-0.0016132977325469255,0.214806467294693,0.31091248989105225
enslaved,0.17422811686992645,0.29380208253860474,0.26464980840682983,0.20533616840839386,0.23485803604125977,0.3058599531650543,0.12345366179943085,0.2243044376373291,0.20439322292804718
the,0.42745697498321533,0.22397266328334808,0.48711544275283813,0.3718377649784088,0.6662389636039734,0.3083098828792572,-0.01540423184633255,0.2074618637561798,0.22068053483963013
rest,0.35225364565849304,0.2025892585515976,0.22034120559692383,0.18946392834186554,0.3255048990249634,0.24565783143043518,0.04253825545310974,0.20196983218193054,0.1725541204214096
of,0.33290785551071167,0.20934239029884338,0.4069072902202606,0.3075267970561981,0.5696388483047485,0.2910105884075165,-0.03817026689648628,0.2427012324333191,0.1826142966747284
the,0.42745697498321533,0.22397266328334808,0.48711544275283813,0.3718377649784088,0.6662389636039734,0.3083098828792572,-0.01540423184633255,0.2074618637561798,0.22068053483963013
population,0.2000674307346344,0.09038981795310974,0.1935066133737564,0.09774527698755264,0.3268454372882843,0.1879950761795044,0.012951160781085491,0.21814371645450592,0.14449454843997955
and,0.31309178471565247,0.26332223415374756,0.3740963041782379,0.3150506615638733,0.4954058527946472,0.3482957184314728,0.06895173341035843,0.16205447912216187,0.20544172823429108
