,who,was,first,on,the,team,in,total,tackles,?
linebacker,0.18917565047740936,0.24367733299732208,0.1597832888364792,0.15558040142059326,0.19719967246055603,0.29453736543655396,0.22480759024620056,0.07187900692224503,0.5526763200759888,0.15540370345115662
brandon,0.2876533269882202,0.1891031265258789,0.18101564049720764,0.15651966631412506,0.1588345170021057,0.14998823404312134,0.2295675128698349,0.1201949492096901,0.2839891314506531,0.2774931490421295
marshall,0.20374739170074463,0.2693496644496918,0.24818076193332672,0.15066194534301758,0.22928133606910706,0.17010095715522766,0.2483098953962326,0.1861344575881958,0.17849864065647125,0.18167579174041748
led,0.2450801581144333,0.34443995356559753,0.29928895831108093,0.23411796987056732,0.3267505168914795,0.2298295497894287,0.2990247309207916,0.18356472253799438,0.23647460341453552,0.09273858368396759
the,0.3733934462070465,0.48711544275283813,0.49448907375335693,0.5107308030128479,1.0,0.22564226388931274,0.6662389636039734,0.27068960666656494,0.19076409935951233,0.22068053483963013
team,0.22248858213424683,0.13986483216285706,0.24193075299263,0.13870710134506226,0.22564226388931274,1.0,0.18841172754764557,0.16802360117435455,0.2287295162677765,0.11243411153554916
in,0.2792111933231354,0.45514053106307983,0.4127444326877594,0.46853652596473694,0.6662389636039734,0.18841172754764557,1.0,0.27667245268821716,0.18025051057338715,0.20430970191955566
total,0.16190829873085022,0.14069223403930664,0.18841083347797394,0.19572006165981293,0.27068960666656494,0.16802360117435455,0.27667245268821716,0.9999999403953552,0.20596396923065186,0.14396025240421295
tackles,0.22380411624908447,0.17499198019504547,0.22319237887859344,0.18727943301200867,0.19076409935951233,0.2287295162677765,0.18025051057338715,0.20596396923065186,1.0,0.20188532769680023
with,0.3282766342163086,0.27411898970603943,0.2691199779510498,0.40749499201774597,0.4223487675189972,0.21111343801021576,0.4080928862094879,0.1768326759338379,0.2096734493970871,0.2433311939239502
109,-0.046523354947566986,0.05964163318276405,0.10882045328617096,0.08553416281938553,0.02574852481484413,0.14057420194149017,0.05819336697459221,0.04216969013214111,0.18589657545089722,0.12295328080654144
",",0.3365725874900818,0.45456063747406006,0.34503069519996643,0.49057599902153015,0.4933079481124878,0.21287471055984497,0.5201468467712402,0.25815486907958984,0.22343356907367706,0.31091248989105225
while,0.4068111777305603,0.3253832161426544,0.30667605996131897,0.44084006547927856,0.39804592728614807,0.1699109524488449,0.3399278521537781,0.18519343435764313,0.2451677918434143,0.21076419949531555
danny,0.34686461091041565,0.26494842767715454,0.22015516459941864,0.15787217020988464,0.24839186668395996,0.15450404584407806,0.1784662902355194,0.11771417409181595,0.2404375523328781,0.12230359762907028
trevathan,0.314143568277359,0.2675512135028839,0.2667577266693115,0.2281339317560196,0.3371354937553406,0.2699650228023529,0.2938757836818695,0.2673678398132324,0.2949202358722687,0.19781902432441711
ranked,0.17860917747020721,0.28979501128196716,0.20918375253677368,0.22424578666687012,0.2711145281791687,0.1821238398551941,0.2005387395620346,0.27332717180252075,0.20761750638484955,0.12953443825244904
second,0.21920166909694672,0.3858029544353485,0.6953977942466736,0.26659107208251953,0.4620301127433777,0.24546074867248535,0.34510284662246704,0.1745782345533371,0.2140425741672516,0.17239587008953094
with,0.3282766342163086,0.27411898970603943,0.2691199779510498,0.40749499201774597,0.4223487675189972,0.21111343801021576,0.4080928862094879,0.1768326759338379,0.2096734493970871,0.2433311939239502
102,0.1878558099269867,0.1054166927933693,0.09860865771770477,0.16556856036186218,0.14157715439796448,0.016576332971453667,0.16278687119483948,0.1472158432006836,0.15206991136074066,-0.019286835566163063
.,0.3541337847709656,0.40146201848983765,0.4345304071903229,0.49257001280784607,0.5934505462646484,0.26467522978782654,0.5591574311256409,0.2295650690793991,0.2241174876689911,0.4130953550338745
