,who,said,that,writing,a,good,description,of,civil,disobedience,is,hard,?
legrande,0.19471417367458344,0.11337755620479584,0.13519932329654694,0.22591280937194824,0.21506553888320923,0.133646622300148,0.19097986817359924,0.18667367100715637,0.189771369099617,0.24445345997810364,0.1521839201450348,0.07386983186006546,0.19861237704753876
writes,0.3401142954826355,0.3614566922187805,0.3191187381744385,0.5985892415046692,0.25101935863494873,0.15882986783981323,0.25539371371269226,0.2183077037334442,0.18793687224388123,0.3484453856945038,0.2639923393726349,0.1785239577293396,0.17896029353141785
that,0.45444270968437195,0.5459781289100647,1.0,0.3479996919631958,0.47537946701049805,0.44230329990386963,0.3175562024116516,0.41498205065727234,0.16867391765117645,0.3551425039768219,0.3995479643344879,0.32640764117240906,0.32716336846351624
``,0.02397952415049076,0.01132358517497778,0.05285148695111275,0.07805828750133514,0.07272057235240936,0.008140034973621368,-0.007686436641961336,0.06780257821083069,0.06784805655479431,0.06214885041117668,0.058766357600688934,-0.015135983936488628,0.0685480609536171
the,0.3733934462070465,0.3024602234363556,0.5473989248275757,0.2579600512981415,0.5829201340675354,0.2735973596572876,0.27126896381378174,0.733189046382904,0.2477465271949768,0.30963727831840515,0.5823672413825989,0.25233224034309387,0.22068053483963013
formulation,0.16351023316383362,0.2766316533088684,0.33252260088920593,0.29106608033180237,0.2687523066997528,0.20304137468338013,0.3312181234359741,0.30079418420791626,0.13623063266277313,0.3299887776374817,0.28397709131240845,0.17165756225585938,0.22288775444030762
of,0.2827862501144409,0.29014745354652405,0.41498205065727234,0.25490155816078186,0.5052502155303955,0.2696770131587982,0.3067724406719208,1.0,0.24698495864868164,0.31932318210601807,0.4854315221309662,0.21288733184337616,0.1826142966747284
a,0.36608949303627014,0.31069710850715637,0.47537946701049805,0.3032566010951996,1.0,0.3146486282348633,0.3590884506702423,0.5052502155303955,0.21693918108940125,0.25352153182029724,0.658733606338501,0.29863545298576355,0.23916715383529663
single,0.15813320875167847,0.13117899000644684,0.2703927755355835,0.13661058247089386,0.3884310722351074,0.15194489061832428,0.17843914031982422,0.22455744445323944,0.11561005562543869,0.17388775944709778,0.27151715755462646,0.19655999541282654,0.2151121199131012
all-encompassing,0.17251285910606384,0.18764179944992065,0.27678245306015015,0.2672865390777588,0.23362486064434052,0.2599963843822479,0.2643600404262543,0.3615778088569641,0.19823211431503296,0.32571911811828613,0.25857222080230713,0.19525982439517975,0.22248730063438416
definition,0.11727189272642136,0.24346569180488586,0.36495500802993774,0.15151287615299225,0.2941339910030365,0.221534863114357,0.3760363459587097,0.24912455677986145,0.11440393328666687,0.20017720758914948,0.29006320238113403,0.18420696258544922,0.2796523869037628
of,0.2827862501144409,0.29014745354652405,0.41498205065727234,0.25490155816078186,0.5052502155303955,0.2696770131587982,0.3067724406719208,1.0,0.24698495864868164,0.31932318210601807,0.4854315221309662,0.21288733184337616,0.1826142966747284
the,0.3733934462070465,0.3024602234363556,0.5473989248275757,0.2579600512981415,0.5829201340675354,0.2735973596572876,0.27126896381378174,0.733189046382904,0.2477465271949768,0.30963727831840515,0.5823672413825989,0.25233224034309387,0.22068053483963013
term,0.19649659097194672,0.1903727501630783,0.2833994925022125,0.13783711194992065,0.3080509603023529,0.12922491133213043,0.2469106912612915,0.26047757267951965,0.15453830361366272,0.19347046315670013,0.270183801651001,0.16871723532676697,0.1901002675294876
is,0.24293622374534607,0.2595660388469696,0.3995479643344879,0.22832350432872772,0.658733606338501,0.24055646359920502,0.262004554271698,0.4854315221309662,0.16941262781620026,0.21453623473644257,1.0,0.25768035650253296,0.22961433231830597
extremely,0.26703035831451416,0.22144833207130432,0.42188143730163574,0.2387690395116806,0.3637830913066864,0.4086635410785675,0.2135310024023056,0.2816111445426941,0.12712882459163666,0.22631780803203583,0.3267810046672821,0.3496827483177185,0.14809079468250275
difficult,0.31716156005859375,0.24852056801319122,0.401099294424057,0.2303593009710312,0.3425796926021576,0.45644646883010864,0.28421831130981445,0.2539307773113251,0.12648345530033112,0.2820698320865631,0.29025518894195557,0.5320233106613159,0.20408590137958527
",",0.3365725874900818,0.34496036171913147,0.4137537479400635,0.2835220992565155,0.427140474319458,0.3217065632343292,0.25347864627838135,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.4691906273365021,0.2742401659488678,0.31091248989105225
if,0.3758285641670227,0.3028488755226135,0.5634250640869141,0.24789243936538696,0.41272827982902527,0.3476333022117615,0.29017922282218933,0.2557544410228729,0.12512178719043732,0.20446431636810303,0.30927813053131104,0.30554935336112976,0.4441644251346588
not,0.369414746761322,0.40718916058540344,0.6600887179374695,0.2697814106941223,0.3791346549987793,0.4180275499820709,0.2696972191333771,0.3307090103626251,0.18740713596343994,0.38157403469085693,0.3776007890701294,0.33726248145103455,0.41942933201789856
impossible,0.23874926567077637,0.3105037212371826,0.4126266539096832,0.24765965342521667,0.2736610472202301,0.3846348822116852,0.29959073662757874,0.2370135635137558,0.1679188311100006,0.3074643015861511,0.23904062807559967,0.4165956974029541,0.2244972586631775
.,0.3541337847709656,0.33782967925071716,0.4460422694683075,0.2785428464412689,0.50484299659729,0.29664117097854614,0.2588009834289551,0.5352458953857422,0.2541380822658539,0.2603943943977356,0.4569662809371948,0.28411775827407837,0.4130953550338745
