,what,changes,macroscopic,closed,system,energies,?
in,0.30808621644973755,0.226434126496315,0.21586230397224426,0.21606552600860596,0.21978288888931274,0.1551506370306015,0.20430970191955566
macroscopic,0.2585065960884094,0.2867050766944885,1.0000001192092896,0.13524049520492554,0.18136651813983917,0.3705742061138153,0.1954335868358612
closed,0.1689339131116867,0.24560798704624176,0.13524049520492554,1.0,0.24776631593704224,0.22838608920574188,0.15595348179340363
systems,0.1871482878923416,0.24582713842391968,0.24152782559394836,0.21670429408550262,0.7890681028366089,0.25668832659721375,0.1575973927974701
",",0.3087472915649414,0.23045918345451355,0.1709860861301422,0.2763722538948059,0.18439900875091553,0.21392779052257538,0.31091248989105225
nonconservative,0.25337398052215576,0.2610875368118286,0.21262341737747192,0.18273518979549408,0.1471623331308365,0.3072757124900818,0.2374468743801117
forces,0.2112482488155365,0.18860189616680145,0.27319493889808655,0.15826721489429474,0.17889748513698578,0.21439121663570404,0.16984491050243378
act,0.2622668445110321,0.22283723950386047,0.1609940081834793,0.11320570111274719,0.22195035219192505,0.16864363849163055,0.1482519507408142
to,0.455847829580307,0.32918253540992737,0.21222761273384094,0.2852984070777893,0.26662686467170715,0.2650201916694641,0.29463258385658264
change,0.3690716028213501,0.7008803486824036,0.2857252061367035,0.24566787481307983,0.21607841551303864,0.2660702168941498,0.24115969240665436
the,0.42745697498321533,0.3427845537662506,0.22794966399669647,0.2359541952610016,0.3233085572719574,0.2364770919084549,0.22068053483963013
internal,0.2065390944480896,0.2231590747833252,0.2974002957344055,0.17583207786083221,0.2739976644515991,0.16622263193130493,0.1665428727865219
energies,0.24132846295833588,0.22295255959033966,0.3705742061138153,0.22838608920574188,0.2004896104335785,0.9999998807907104,0.20904763042926788
of,0.33290785551071167,0.25827232003211975,0.2728501558303833,0.15899594128131866,0.25597915053367615,0.22040630877017975,0.1826142966747284
the,0.42745697498321533,0.3427845537662506,0.22794966399669647,0.2359541952610016,0.3233085572719574,0.2364770919084549,0.22068053483963013
system,0.23557309806346893,0.24996984004974365,0.18136651813983917,0.24776631593704224,1.0000001192092896,0.2004896104335785,0.15556083619594574
",",0.3087472915649414,0.23045918345451355,0.1709860861301422,0.2763722538948059,0.18439900875091553,0.21392779052257538,0.31091248989105225
and,0.31309178471565247,0.27557092905044556,0.21026022732257843,0.21235816180706024,0.231138214468956,0.2059018313884735,0.20544172823429108
are,0.29724663496017456,0.22349703311920166,0.28226616978645325,0.16469426453113556,0.21917270123958588,0.28349384665489197,0.24591213464736938
often,0.3849453330039978,0.24769875407218933,0.2676734924316406,0.18654537200927734,0.20662763714790344,0.24994781613349915,0.23748154938220978
associated,0.15836219489574432,0.1613387167453766,0.19096747040748596,0.23027709126472473,0.1672019064426422,0.3174441158771515,0.1453326791524887
with,0.2464839518070221,0.23350933194160461,0.22209064662456512,0.1538650244474411,0.14296101033687592,0.2152749001979828,0.2433311939239502
the,0.42745697498321533,0.3427845537662506,0.22794966399669647,0.2359541952610016,0.3233085572719574,0.2364770919084549,0.22068053483963013
transfer,0.16232657432556152,0.2663007080554962,0.3184662163257599,0.1942819505929947,0.27937406301498413,0.27624237537384033,0.13552898168563843
of,0.33290785551071167,0.25827232003211975,0.2728501558303833,0.15899594128131866,0.25597915053367615,0.22040630877017975,0.1826142966747284
heat,0.1933984011411667,0.18943370878696442,0.30888593196868896,0.17847010493278503,0.21058917045593262,0.396619975566864,0.16343188285827637
.,0.3567904531955719,0.29733169078826904,0.19957120716571808,0.24888747930526733,0.2277725487947464,0.19578783214092255,0.4130953550338745
