,who,was,the,sideline,reporter,for,espn,deportes,?
the,0.3733934462070465,0.48711544275283813,1.0,0.2606579065322876,0.2277432680130005,0.4739971458911896,0.19345609843730927,0.19800831377506256,0.22068053483963013
game,0.2523840069770813,0.2568269371986389,0.285271555185318,0.34350115060806274,0.23228363692760468,0.2608485519886017,0.3451416492462158,0.106756791472435,0.1829071193933487
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.23175807297229767,0.30165693163871765,0.3863949179649353,0.22374993562698364,0.23367711901664734,0.18412111699581146
called,0.3151143789291382,0.33927658200263977,0.489897221326828,0.1902214139699936,0.17887479066848755,0.29870352149009705,0.1659700870513916,0.09565199166536331,0.18963319063186646
by,0.39727845788002014,0.4752357602119446,0.4408751428127289,0.17284393310546875,0.2150280624628067,0.3248702883720398,0.17316046357154846,0.1527092456817627,0.17966607213020325
espn,0.1444098949432373,0.22374993562698364,0.19345609843730927,0.6030219793319702,0.5605667233467102,0.26341113448143005,1.0000001192092896,0.32324373722076416,0.1709517240524292
deportes,0.22150161862373352,0.23367711901664734,0.19800831377506256,0.2749320864677429,0.4426693320274353,0.13191863894462585,0.32324373722076416,1.0,0.14327947795391083
',0.22534559667110443,0.33675912022590637,0.474788099527359,0.21540838479995728,0.2061297744512558,0.31184524297714233,0.17692457139492035,0.13256627321243286,0.330942302942276
monday,0.11816827207803726,0.20968683063983917,0.2114151269197464,0.41877520084381104,0.2698265314102173,0.23415252566337585,0.3335578143596649,0.2128833830356598,0.21348176896572113
night,0.21137207746505737,0.21724213659763336,0.2817382514476776,0.36735108494758606,0.2775985598564148,0.16021959483623505,0.22658604383468628,0.18213298916816711,0.13794848322868347
football,0.17791859805583954,0.23601193726062775,0.18794101476669312,0.3784019351005554,0.2646423578262329,0.23134100437164307,0.3977890610694885,0.3279736340045929,0.14957410097122192
commentary,0.2012261152267456,0.20984318852424622,0.2209595888853073,0.3704718053340912,0.3517038822174072,0.21193501353263855,0.31577548384666443,0.12071069329977036,0.20364898443222046
crew,0.28323259949684143,0.20329242944717407,0.25329816341400146,0.18590179085731506,0.19896338880062103,0.22704027593135834,0.1919521689414978,0.2748790979385376,0.16586194932460785
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.11210323870182037,0.16590984165668488,0.4185989499092102,0.12878696620464325,0.15270814299583435,0.1826142966747284
alvaro,0.2570241689682007,0.23670901358127594,0.2146955132484436,0.1289384812116623,0.12070398777723312,0.16567622125148773,0.08924838900566101,0.2884156405925751,0.18580129742622375
martin,0.22000780701637268,0.2089129239320755,0.22029393911361694,0.1797003448009491,0.2087782770395279,0.1178249642252922,0.1840549260377884,0.20121045410633087,0.060103293508291245
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.22910010814666748,0.24292436242103577,0.5064792633056641,0.17554140090942383,0.17138513922691345,0.20544172823429108
raul,0.2931964695453644,0.2609989643096924,0.20411646366119385,0.24789027869701385,0.21792170405387878,0.2234547734260559,0.2236608862876892,0.4071432054042816,0.2333424836397171
allegre,0.13213099539279938,0.23344998061656952,0.21357136964797974,0.24421975016593933,0.2963363826274872,0.16064125299453735,0.21151140332221985,0.4518875479698181,0.21779847145080566
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.22783276438713074,0.278059720993042,0.4464869201183319,0.18262942135334015,0.23202872276306152,0.31091248989105225
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.22910010814666748,0.24292436242103577,0.5064792633056641,0.17554140090942383,0.17138513922691345,0.20544172823429108
sideline,0.25843048095703125,0.23175807297229767,0.2606579065322876,1.0,0.5717231631278992,0.27458781003952026,0.6030219793319702,0.2749320864677429,0.2637002468109131
reporter,0.26350149512290955,0.30165693163871765,0.2277432680130005,0.5717231631278992,1.0,0.24308809638023376,0.5605667233467102,0.4426693320274353,0.17684806883335114
john,0.30388808250427246,0.2875721752643585,0.2230520099401474,0.21402111649513245,0.21333135664463043,0.22649751603603363,0.19256550073623657,0.15350927412509918,0.13162356615066528
sutcliffe,0.37904348969459534,0.33484333753585815,0.2572650909423828,0.3892761766910553,0.3929300010204315,0.23579242825508118,0.3204881548881531,0.2055523842573166,0.17327718436717987
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.254624605178833,0.24028262495994568,0.4726039469242096,0.19926497340202332,0.18397417664527893,0.4130953550338745
